 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  v   
 -6.7268 -6.4730 -6.2685 -6.1143 -6.0041 -5.9287 -5.8791 -5.8436 -5.8007 -5.7445
 -5.6724 -5.5830 -5.4741 -5.3439 -5.1911 -4.7403 -4.2915 -3.9030 -3.5669 -3.2736
 -3.0252 -2.8212 -2.6557 -2.5220 -2.4139 -2.3242 -2.2478 -2.1809 -2.1211 -2.0670
 -2.0200
 -7.0818 -6.7673 -6.4948 -6.2653 -6.0793 -5.9329 -5.8202 -5.7379 -5.6838 -5.6342
 -5.5713 -5.4903 -5.3914 -5.2746 -5.1377 -4.7150 -4.2696 -3.8832 -3.5548 -3.2701
 -3.0271 -2.8274 -2.6667 -2.5383 -2.4365 -2.3546 -2.2870 -2.2295 -2.1799 -2.1369
 -2.0994
 -7.5057 -7.1201 -6.7858 -6.4960 -6.2478 -6.0403 -5.8705 -5.7332 -5.6261 -5.5467
 -5.4798 -5.4116 -5.3310 -5.2295 -5.1061 -4.7160 -4.2755 -3.8852 -3.5578 -3.2774
 -3.0369 -2.8383 -2.6793 -2.5538 -2.4563 -2.3805 -2.3206 -2.2706 -2.2286 -2.1939
 -2.1658
 -8.0923 -7.5971 -7.1763 -6.8150 -6.5040 -6.2372 -6.0110 -5.8220 -5.6664 -5.5403
 -5.4367 -5.3456 -5.2579 -5.1674 -5.0668 -4.7355 -4.3128 -3.9158 -3.5834 -3.3022
 -3.0612 -2.8598 -2.6983 -2.5719 -2.4752 -2.4025 -2.3480 -2.3057 -2.2719 -2.2442
 -2.2219
 -8.9125 -8.2763 -7.7288 -7.2643 -6.8682 -6.5304 -6.2420 -5.9964 -5.7887 -5.6144
 -5.4680 -5.3420 -5.2279 -5.1188 -5.0109 -4.7256 -4.3653 -3.9677 -3.6258 -3.3393
 -3.0950 -2.8885 -2.7212 -2.5903 -2.4910 -2.4182 -2.3664 -2.3292 -2.3018 -2.2813
 -2.2677
 -9.9408 -9.1729 -8.4933 -7.9001 -7.3883 -6.9536 -6.5838 -6.2688 -6.0002 -5.7710
 -5.5750 -5.4062 -5.2576 -5.1223 -4.9384 -4.6863 -4.4330 -4.0409 -3.6850
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  v   
 -8.1625 -8.1844 -8.1907 -8.1746 -8.1295 -8.0499 -7.9319 -7.7825 -7.6369 -7.4964
 -7.3570 -7.2138 -7.0612 -6.8925 -6.7043 -6.1684 -5.5931 -5.0270 -4.4642
 -7.5989 -7.6249 -7.6342 -7.6269 -7.5981 -7.5449 -7.4635 -7.3505 -7.2242 -7.0957
 -6.9629 -6.8222 -6.6693 -6.4997 -6.3107 -5.7819 -5.2346 -4.7089 -4.2262 -3.7927
 -7.1000 -7.1261 -7.1415 -7.1430 -7.1276 -7.0928 -7.0360 -6.9528 -6.8498 -6.7366
 -6.6149 -6.4825 -6.3366 -6.1742 -5.9933 -5.4877 -4.9708 -4.4823 -4.0394 -3.6486
 -3.3109
 -6.6851 -6.7067 -6.7231 -6.7301 -6.7244 -6.7034 -6.6649 -6.6053 -6.5240 -6.4273
 -6.3181 -6.1965 -6.0607 -5.9085 -5.7386 -5.2600 -4.7722 -4.3159 -3.9038 -3.5425
 -3.2334 -2.9721
 -6.3765 -6.3785 -6.3860 -6.3916 -6.3900 -6.3776 -6.3517 -6.3094 -6.2473 -6.1670
 -6.0712 -5.9615 -5.8370 -5.6961 -5.5378 -5.0850 -4.6208 -4.1918 -3.8057 -3.4665
 -3.1777 -2.9352 -2.7336 -2.5664
 -6.3180 -6.1916 -6.1522 -6.1357 -6.1267 -6.1153 -6.0956 -6.0641 -6.0170 -5.9520
 -5.8702 -5.7730 -5.6604 -5.5313 -5.3847 -4.9561 -4.5092 -4.1012 -3.7370 -3.4156
 -3.1411 -2.9121 -2.7228 -2.5666 -2.4370 -2.3272 -2.2315 -2.1452 -2.0663 -1.9985
 -6.5002 -6.2903 -6.1385 -6.0345 -5.9663 -5.9249 -5.8982 -5.8697 -5.8312 -5.7785
 -5.7095 -5.6249 -5.5247 -5.4080 -5.2737 -4.8702 -4.4353 -4.0401 -3.6927 -3.3859
 -3.1216 -2.9014 -2.7208 -2.5730 -2.4528 -2.3537 -2.2702 -2.1979 -2.1331 -2.0745
 -2.0233
 -6.8426 -6.5582 -6.3180 -6.1251 -5.9770 -5.8666 -5.7860 -5.7293 -5.6900 -5.6443
 -5.5851 -5.5114 -5.4229 -5.3187 -5.1972 -4.8215 -4.3973 -4.0075 -3.6701 -3.3740
 -3.1168 -2.9016 -2.7262 -2.5843 -2.4704 -2.3791 -2.3048 -2.2423 -2.1888 -2.1424
 -2.1013
 -7.2301 -6.8833 -6.5809 -6.3210 -6.1038 -5.9275 -5.7864 -5.6742 -5.5915 -5.5351
 -5.4836 -5.4231 -5.3477 -5.2554 -5.1462 -4.8002 -4.3884 -3.9989 -3.6639 -3.3739
 -3.1213 -2.9082 -2.7350 -2.5964 -2.4868 -2.4013 -2.3344 -2.2800 -2.2351 -2.1978
 -2.1665
 -7.7328 -7.3000 -6.9248 -6.6010 -6.3217 -6.0843 -5.8864 -5.7234 -5.5907 -5.4865
 -5.4066 -5.3376 -5.2694 -5.1941 -5.1048 -4.8030 -4.4112 -4.0210 -3.6827 -3.3930
 -3.1416 -2.9274 -2.7524 -2.6135 -2.5049 -2.4220 -2.3596 -2.3121 -2.2748 -2.2433
 -2.2203
 -8.4450 -7.8805 -7.3990 -6.9880 -6.6357 -6.3335 -6.0757 -5.8581 -5.6765 -5.5267
 -5.4045 -5.3030 -5.2130 -5.1270 -5.0403 -4.7920 -4.4523 -4.0650 -3.7202 -3.4261
 -3.1727 -2.9551 -2.7754 -2.6326 -2.5220 -2.4386 -2.3779 -2.3344 -2.3030 -2.2798
 -2.2628
 -9.4013 -8.6992 -8.0783 -7.5429 -7.0879 -6.7001 -6.3695 -6.0884 -5.8499 -5.6489
 -5.4803 -5.3384 -5.2159 -5.1051 -4.9527 -4.7672 -4.5117 -4.1309 -3.7764
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  v   
 -8.3502 -8.3675 -8.3518 -8.3023 -8.2215 -8.1093 -7.9745 -7.8001 -7.6594 -7.5263
 -7.3988 -7.2739 -7.1462 -7.0082 -6.8534 -6.3802 -5.8268 -5.2576 -4.6819
 -7.7809 -7.8028 -7.8062 -7.7867 -7.7404 -7.6641 -7.5537 -7.4096 -7.2716 -7.1442
 -7.0225 -6.9005 -6.7725 -6.6330 -6.4761 -6.0041 -5.4703 -4.9340 -4.4348 -3.9855
