 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.9101  0.8986  0.8823  0.8602  0.8346  0.8067  0.7780  0.7494  0.7213  0.6938
  0.6667  0.6400  0.6142  0.5905  0.5702  0.5128  0.4155  0.2962  0.1773  0.0610
 -0.0531 -0.1655 -0.2762 -0.3844 -0.4896 -0.5914 -0.6901 -0.7860 -0.8794 -0.9707
 -1.0605
  0.8858  0.8792  0.8673  0.8504  0.8284  0.8030  0.7754  0.7467  0.7175  0.6880
  0.6584  0.6286  0.5987  0.5692  0.5407  0.4770  0.4003  0.2955  0.1784  0.0625
 -0.0512 -0.1630 -0.2732 -0.3815 -0.4872 -0.5898 -0.6892 -0.7854 -0.8788 -0.9697
 -1.0586
  0.8555  0.8526  0.8449  0.8325  0.8149  0.7934  0.7688  0.7421  0.7139  0.6846
  0.6544  0.6233  0.5916  0.5593  0.5304  0.4287  0.3714  0.2936  0.1800
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =F150W2
  1.0926  1.1029  1.1112  1.1156  1.1139  1.1027  1.0785  1.0401  0.9917  0.9393
  0.8869  0.8364  0.7880  0.7410  0.6948  0.5805  0.4656  0.3487  0.2285
  1.0625  1.0719  1.0801  1.0855  1.0855  1.0777  1.0582  1.0250  0.9812  0.9314
  0.8796  0.8285  0.7789  0.7306  0.6831  0.5658  0.4497  0.3335  0.2154  0.0951
  1.0334  1.0400  1.0469  1.0524  1.0543  1.0500  1.0354  1.0082  0.9702  0.9245
  0.8749  0.8241  0.7740  0.7248  0.6763  0.5565  0.4387  0.3221  0.2051  0.0871
 -0.0315
  1.0061  1.0098  1.0143  1.0187  1.0210  1.0189  1.0091  0.9879  0.9562  0.9159
  0.8700  0.8210  0.7712  0.7217  0.6727  0.5511  0.4314  0.3140  0.1973  0.0806
 -0.0360 -0.1516
  0.9639  0.9672  0.9760  0.9833  0.9869  0.9860  0.9792  0.9636  0.9379  0.9037
  0.8627  0.8171  0.7690  0.7200  0.6708  0.5481  0.4270  0.3085  0.1916  0.0757
 -0.0397 -0.1538 -0.2657 -0.3753
  0.9457  0.9316  0.9234  0.9224  0.9284  0.9373  0.9408  0.9334  0.9148  0.8869
  0.8516  0.8106  0.7656  0.7182  0.6696  0.5468  0.4246  0.3051  0.1878  0.0721
 -0.0425 -0.1557 -0.2666 -0.3749 -0.4809 -0.5849 -0.6874 -0.7887 -0.8881 -0.9831
  0.9437  0.9236  0.9045  0.8886  0.8773  0.8701  0.8661  0.8647  0.8625  0.8531
  0.8317  0.7991  0.7593  0.7151  0.6682  0.5463  0.4237  0.3033  0.1855  0.0697
 -0.0444 -0.1569 -0.2672 -0.3749 -0.4800 -0.5827 -0.6834 -0.7825 -0.8804 -0.9767
 -1.0691
  0.9460  0.9246  0.9017  0.8787  0.8570  0.8378  0.8212  0.8056  0.7906  0.7778
  0.7686  0.7579  0.7379  0.7058  0.6646  0.5463  0.4237  0.3027  0.1845  0.0687
 -0.0452 -0.1574 -0.2675 -0.3750 -0.4796 -0.5816 -0.6813 -0.7789 -0.8749 -0.9696
 -1.0631
  0.9465  0.9271  0.9038  0.8783  0.8517  0.8255  0.8006  0.7772  0.7543  0.7316
  0.7100  0.6916  0.6774  0.6631  0.6412  0.5444  0.4232  0.3018  0.1831  0.0670
 -0.0469 -0.1589 -0.2690 -0.3768 -0.4816 -0.5834 -0.6827 -0.7796 -0.8743 -0.9675
 -1.0594
  0.9408  0.9247  0.9046  0.8799  0.8524  0.8233  0.7940  0.7654  0.7375  0.7102
  0.6832  0.6565  0.6315  0.6097  0.5911  0.5296  0.4240  0.3035  0.1847  0.0686
 -0.0451 -0.1570 -0.2670 -0.3749 -0.4801 -0.5823 -0.6816 -0.7781 -0.8722 -0.9642
 -1.0547
  0.9258  0.9147  0.8983  0.8776  0.8520  0.8233  0.7929  0.7620  0.7312  0.7008
  0.6706  0.6404  0.6104  0.5812  0.5539  0.4937  0.4148  0.3050  0.1868  0.0708
 -0.0426 -0.1541 -0.2638 -0.3717 -0.4774 -0.5802 -0.6800 -0.7768 -0.8708 -0.9625
 -1.0521
  0.9028  0.8962  0.8844  0.8675  0.8462  0.8202  0.7914  0.7609  0.7294  0.6975
  0.6656  0.6333  0.6009  0.5684  0.5296  0.4367  0.3956  0.3063  0.1894
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =F150W2
  1.1243  1.1353  1.1434  1.1469  1.1435  1.1294  1.1009  1.0569  1.0032  0.9466
  0.8911  0.8379  0.7875  0.7392  0.6923  0.5780  0.4646  0.3497  0.2318
  1.0956  1.1063  1.1150  1.1199  1.1184  1.1081  1.0848  1.0464  0.9968  0.9419
  0.8864  0.8324  0.7807  0.7311  0.6829  0.5654  0.4502  0.3355  0.2192  0.1007
  1.0658  1.0746  1.0827  1.0885  1.0896  1.0835  1.0660  1.0343  0.9905  0.9390
  0.8846  0.8304  0.7780  0.7274  0.6781  0.5580  0.4407  0.3251  0.2095  0.0929
 -0.0246
  1.0379  1.0435  1.0497  1.0549  1.0574  1.0547  1.0431  1.0185  0.9814  0.9350
  0.8835  0.8302  0.7774  0.7261  0.6761  0.5540  0.4347  0.3179  0.2023  0.0868
 -0.0289 -0.1441
  1.0054  1.0117  1.0168  1.0212  1.0238  1.0227  1.0155  0.9977  0.9678  0.9277
