 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -1.0897
 -6.0085 -5.5181 -5.1030 -4.7645 -4.4887 -4.2531 -4.0343 -3.8143 -3.5732 -3.3092
 -3.0350 -2.7683 -2.5246 -2.3145 -2.1403 -1.8345 -1.6337 -1.4864 -1.3793 -1.3027
 -1.2474 -1.2067 -1.1770 -1.1548 -1.1371 -1.1222 -1.1100 -1.1003 -1.0946 -1.0949
 -1.1039
 -6.0422 -5.4992 -5.0191 -4.6095 -4.2689 -3.9864 -3.7437 -3.5216 -3.3037 -3.0786
 -2.8566 -2.6530 -2.4696 -2.3023 -2.1496 -1.8475 -1.6434 -1.4939 -1.3838 -1.3052
 -1.2500 -1.2111 -1.1841 -1.1654 -1.1519 -1.1410 -1.1320 -1.1256 -1.1217 -1.1202
 -1.1207
 -6.1649 -5.5911 -5.0671 -4.6024 -4.2036 -3.8675 -3.5855 -3.3431 -3.1251 -2.9189
 -2.7195 -2.5343 -2.3722 -2.2347 -2.1156 -1.8597 -1.6556 -1.5038 -1.3906 -1.3089
 -1.2522 -1.2138 -1.1886 -1.1730 -1.1634 -1.1570 -1.1522 -1.1482 -1.1451 -1.1441
 -1.1452
 -6.2840 -5.7151 -5.1720 -4.6760 -4.2341 -3.8528 -3.5296 -3.2575 -3.0250 -2.8208
 -2.6358 -2.4662 -2.3138 -2.1815 -2.0690 -1.8499 -1.6662 -1.5139 -1.3980 -1.3128
 -1.2534 -1.2142 -1.1899 -1.1764 -1.1703 -1.1683 -1.1684 -1.1689 -1.1696 -1.1709
 -1.1774
 -6.3624 -5.8139 -5.2824 -4.7782 -4.3133 -3.9025 -3.5462 -3.2441 -2.9901 -2.7751
 -2.5901 -2.4277 -2.2838 -2.1568 -2.0098 -1.8181 -1.6752 -1.5242 -1.4060
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  V   
 -7.6781 -7.4428 -7.3923 -7.3860 -7.2865 -6.9829 -6.3861 -5.5065 -4.6119 -3.8094
 -3.2073 -2.7915 -2.5026 -2.2936 -2.1339 -1.8477 -1.6444 -1.4893 -1.3626
 -7.3681 -7.0899 -6.8732 -6.7112 -6.5799 -6.4006 -6.0382 -5.3072 -4.4920 -3.7455
 -3.1673 -2.7559 -2.4664 -2.2572 -2.0979 -1.8156 -1.6182 -1.4708 -1.3559 -1.2632
 -7.1665 -6.8349 -6.5668 -6.3612 -6.1993 -6.0293 -5.7361 -5.1539 -4.4428 -3.7515
 -3.1868 -2.7687 -2.4686 -2.2512 -2.0874 -1.8026 -1.6063 -1.4623 -1.3529 -1.2662
 -1.1966
 -7.0479 -6.6655 -6.3406 -6.0784 -5.8725 -5.6917 -5.4572 -5.0105 -4.4075 -3.7808
 -3.2343 -2.8094 -2.4954 -2.2655 -2.0933 -1.8015 -1.6038 -1.4603 -1.3536 -1.2709
 -1.2051 -1.1525
 -6.9604 -6.5500 -6.1833 -5.8684 -5.6081 -5.3920 -5.1792 -4.8485 -4.3556 -3.8032
 -3.2876 -2.8635 -2.5377 -2.2939 -2.1111 -1.8080 -1.6074 -1.4624 -1.3566 -1.2764
 -1.2135 -1.1635 -1.1237 -1.0909
