 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value = G_BP 
 -8.7849 -8.5541 -8.5027 -8.4977 -8.4091 -8.1322 -7.5824 -6.7667 -5.9237 -5.1434
 -4.5452 -4.1303 -3.8442 -3.6408 -3.4891 -3.2247 -3.0370 -2.8907 -2.7683
 -8.4812 -8.2142 -8.0052 -7.8487 -7.7265 -7.5672 -7.2419 -6.5643 -5.7984 -5.0773
 -4.5064 -4.0970 -3.8101 -3.6058 -3.4539 -3.1931 -3.0109 -2.8708 -2.7589 -2.6670
 -8.2703 -7.9651 -7.7114 -7.5149 -7.3629 -7.2096 -6.9448 -6.4056 -5.7400 -5.0776
 -4.5243 -4.1100 -3.8124 -3.5991 -3.4417 -3.1777 -2.9971 -2.8602 -2.7532 -2.6666
 -2.5958
 -8.1221 -7.7867 -7.4895 -7.2438 -7.0501 -6.8836 -6.6714 -6.2576 -5.6948 -5.0987
 -4.5677 -4.1490 -3.8382 -3.6117 -3.4448 -3.1722 -2.9910 -2.8555 -2.7512 -2.6684
 -2.6011 -2.5461
 -7.9928 -7.6475 -7.3249 -7.0383 -6.7964 -6.5954 -6.4008 -6.0948 -5.6350 -5.1124
 -4.6152 -4.2000 -3.8785 -3.6380 -3.4593 -3.1733 -2.9900 -2.8545 -2.7516 -2.6713
 -2.6070 -2.5547 -2.5121 -2.4768
 -7.7272 -7.4645 -7.1558 -6.8653 -6.5988 -6.3600 -6.1453 -5.9059 -5.5454 -5.1021
 -4.6512 -4.2508 -3.9255 -3.6736 -3.4828 -3.1791 -2.9921 -2.8558 -2.7532 -2.6746
 -2.6126 -2.5628 -2.5229 -2.4905 -2.4636 -2.4422 -2.4263 -2.4163 -2.4122 -2.4148
 -7.4219 -7.1030 -6.8426 -6.6100 -6.3846 -6.1581 -5.9288 -5.6987 -5.4200 -5.0581
 -4.6639 -4.2914 -3.9719 -3.7140 -3.5128 -3.1891 -2.9964 -2.8586 -2.7555 -2.6777
 -2.6175 -2.5701 -2.5327 -2.5032 -2.4795 -2.4604 -2.4455 -2.4349 -2.4293 -2.4301
 -2.4377
 -7.2325 -6.8230 -6.4892 -6.2282 -6.0200 -5.8399 -5.6643 -5.4706 -5.2405 -4.9613
 -4.6386 -4.3099 -4.0095 -3.7540 -3.5466 -3.2028 -3.0023 -2.8623 -2.7582 -2.6802
 -2.6212 -2.5759 -2.5411 -2.5146 -2.4941 -2.4780 -2.4655 -2.4560 -2.4503 -2.4494
 -2.4551
