 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  o   
 -2.2864 -2.2099 -2.1352 -2.0630 -1.9958 -1.9334 -1.8758 -1.8231 -1.7751 -1.7314
 -1.6916 -1.6553 -1.6225 -1.5931 -1.5736 -1.5022 -1.4772 -1.4646 -1.4426
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  o   
 -3.1660 -3.0924 -3.0228 -2.9492 -2.8649 -2.7547 -2.6037 -2.4161 -2.2451 -2.1043
 -1.9914 -1.8990 -1.8225 -1.7574 -1.7009 -1.5867 -1.5018 -1.4399 -1.3996
 -2.9884 -2.9073 -2.8379 -2.7723 -2.7026 -2.6174 -2.4982 -2.3509 -2.2078 -2.0827
 -1.9770 -1.8888 -1.8145 -1.7513 -1.6964 -1.5866 -1.5059 -1.4490 -1.4135 -1.3959
 -2.8561 -2.7637 -2.6887 -2.6245 -2.5639 -2.4976 -2.4084 -2.2938 -2.1757 -2.0658
 -1.9684 -1.8839 -1.8115 -1.7493 -1.6954 -1.5882 -1.5107 -1.4572 -1.4244 -1.4082
 -1.4045
 -2.7547 -2.6545 -2.5722 -2.5042 -2.4455 -2.3893 -2.3236 -2.2364 -2.1407 -2.0467
 -1.9592 -1.8803 -1.8104 -1.7494 -1.6962 -1.5909 -1.5157 -1.4643 -1.4335 -1.4185
 -1.4155 -1.4203
 -2.6245 -2.5319 -2.4624 -2.4020 -2.3460 -2.2938 -2.2409 -2.1758 -2.1002 -2.0219
 -1.9458 -1.8743 -1.8087 -1.7497 -1.6975 -1.5938 -1.5202 -1.4704 -1.4409 -1.4270
 -1.4247 -1.4305 -1.4407 -1.4540
 -2.5598 -2.4357 -2.3395 -2.2690 -2.2202 -2.1857 -2.1524 -2.1090 -2.0531 -1.9904
 -1.9261 -1.8634 -1.8038 -1.7485 -1.6980 -1.5961 -1.5239 -1.4752 -1.4465 -1.4335
 -1.4321 -1.4390 -1.4508 -1.4652 -1.4819 -1.5009 -1.5229 -1.5488 -1.5789 -1.6103
 -2.5424 -2.4062 -2.2921 -2.1995 -2.1270 -2.0712 -2.0287 -1.9962 -1.9680 -1.9360
 -1.8945 -1.8454 -1.7940 -1.7438 -1.6964 -1.5973 -1.5262 -1.4784 -1.4502 -1.4379
