 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -0.1184
 -5.3820 -4.8234 -4.2927 -3.8093 -3.3785 -3.0061 -2.6896 -2.4225 -2.1939 -1.9933
 -1.8118 -1.6456 -1.4957 -1.3645 -1.2515 -1.0235 -0.8232 -0.6542 -0.5237 -0.4241
 -0.3486 -0.2917 -0.2495 -0.2194 -0.1985 -0.1840 -0.1737 -0.1656 -0.1590 -0.1536
 -0.1529
 -5.4995 -4.9592 -4.4356 -3.9394 -3.4824 -3.0784 -2.7275 -2.4292 -2.1775 -1.9635
 -1.7788 -1.6163 -1.4719 -1.3438 -1.1953 -0.9987 -0.8351 -0.6647 -0.5304
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.5956 -6.3960 -6.3540 -6.3453 -6.2483 -5.9651 -5.4168 -4.6105 -3.7756 -3.0119
 -2.4288 -2.0217 -1.7371 -1.5309 -1.3734 -1.0895 -0.8809 -0.7126 -0.5664
 -6.2379 -6.0125 -5.8293 -5.6842 -5.5605 -5.3925 -5.0612 -4.3947 -3.6384 -2.9332
 -2.3772 -1.9766 -1.6921 -1.4853 -1.3276 -1.0462 -0.8420 -0.6797 -0.5450 -0.4296
 -5.9573 -5.7084 -5.4924 -5.3168 -5.1712 -5.0142 -4.7470 -4.2202 -3.5663 -2.9195
 -2.3816 -1.9777 -1.6843 -1.4697 -1.3072 -1.0221 -0.8185 -0.6593 -0.5298 -0.4210
 -0.3284
 -5.7320 -5.4665 -5.2206 -5.0082 -4.8315 -4.6692 -4.4565 -4.0552 -3.5067 -2.9264
 -2.4114 -2.0048 -1.7002 -1.4743 -1.3035 -1.0103 -0.8054 -0.6472 -0.5208 -0.4165
 -0.3286 -0.2537
 -5.5402 -5.2682 -5.0047 -4.7618 -4.5484 -4.3617 -4.1715 -3.8758 -3.4322 -2.9263
 -2.4457 -2.0439 -1.7307 -1.4930 -1.3122 -1.0070 -0.7992 -0.6407 -0.5160 -0.4147
 -0.3304 -0.2593 -0.1991 -0.1477
 -5.3085 -5.0696 -4.8068 -4.5565 -4.3219 -4.1056 -3.9037 -3.6733 -3.3291 -2.9032
 -2.4691 -2.0831 -1.7680 -1.5210 -1.3302 -1.0099 -0.7980 -0.6382 -0.5139 -0.4146
 -0.3331 -0.2653 -0.2084 -0.1604 -0.1191 -0.0839 -0.0545 -0.0307 -0.0132 -0.0050
 -5.0907 -4.7837 -4.5336 -4.3126 -4.1009 -3.8895 -3.6753 -3.4577 -3.1929 -2.8482
 -2.4709 -2.1131 -1.8049 -1.5539 -1.3548 -1.0181 -0.8006 -0.6386 -0.5138 -0.4155
 -0.3361 -0.2710 -0.2172 -0.1726 -0.1352 -0.1034 -0.0767 -0.0544 -0.0363 -0.0251
 -0.0229
 -4.9726 -4.5735 -4.2444 -3.9835 -3.7734 -3.5916 -3.4165 -3.2282 -3.0100 -2.7452
 -2.4374 -2.1228 -1.8340 -1.5866 -1.3831 -1.0309 -0.8064 -0.6414 -0.5152 -0.4168
 -0.3388 -0.2759 -0.2250 -0.1837 -0.1499 -0.1218 -0.0983 -0.0786 -0.0624 -0.0505
 -0.0454
 -4.9998 -4.5348 -4.1307 -3.7923 -3.5176 -3.2942 -3.1026 -2.9251 -2.7397 -2.5296
 -2.2969 -2.0566 -1.8210 -1.6010 -1.4062 -1.0455 -0.8132 -0.6448 -0.5164 -0.4173
 -0.3400 -0.2787 -0.2302 -0.1920 -0.1620 -0.1380 -0.1183 -0.1016 -0.0880 -0.0782
 -0.0723
 -5.1420 -4.6262 -4.1677 -3.7642 -3.4224 -3.1384 -2.9019 -2.6967 -2.5060 -2.3142
 -2.1126 -1.9110 -1.7231 -1.5525 -1.3966 -1.0653 -0.8257 -0.6527 -0.5211 -0.4201
 -0.3421 -0.2816 -0.2347 -0.1989 -0.1720 -0.1519 -0.1364 -0.1241 -0.1141 -0.1058
 -0.1019
 -5.3358 -4.7980 -4.2966 -3.8442 -3.4471 -3.1068 -2.8195 -2.5760 -2.3642 -2.1705
 -1.9838 -1.8016 -1.6299 -1.4762 -1.3421 -1.0674 -0.8405 -0.6628 -0.5276 -0.4237
 -0.3442 -0.2835 -0.2374 -0.2033 -0.1788 -0.1620 -0.1506 -0.1427 -0.1369 -0.1330
 -0.1341
 -5.5048 -4.9751 -4.4632 -3.9817 -3.5469 -3.1625 -2.8301 -2.5466 -2.3050 -2.0957
 -1.9086 -1.7365 -1.5770 -1.4315 -1.2427 -1.0518 -0.8576 -0.6751 -0.5359
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.6058 -6.4486 -6.4627 -6.4960 -6.4129 -6.1251 -5.5692 -4.7505 -3.9799 -3.2158
 -2.5766 -2.1165 -1.7944 -1.5630 -1.3902 -1.0912 -0.8804 -0.7127 -0.5676
 -6.2667 -6.0797 -5.9399 -5.8404 -5.7555 -5.6284 -5.3185 -4.6274 -3.8742 -3.1450
 -2.5344 -2.0823 -1.7595 -1.5264 -1.3521 -1.0537 -0.8458 -0.6825 -0.5473 -0.4315
