 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.8438 -1.7215 -1.6242 -1.5497 -1.4920 -1.3932 -1.3335 -1.2980 -1.2803 -1.2775
 -1.2864 -1.3040 -1.3289 -1.3599 -1.3956 -1.4350 -1.4779 -1.5251 -1.5769 -1.6313
 -1.6843
 -2.7224 -2.5608 -2.4288 -2.3256 -2.2448 -2.1788 -2.1200 -2.0617 -1.9979 -1.9147
 -1.8128 -1.7100 -1.6204 -1.5481 -1.4909 -1.3923 -1.3335 -1.2995 -1.2830 -1.2805
 -1.2896 -1.3075 -1.3325 -1.3635 -1.3990 -1.4377 -1.4794 -1.5236 -1.5712 -1.6229
 -1.6777
 -2.6994 -2.5185 -2.3617 -2.2299 -2.1229 -2.0370 -1.9661 -1.9056 -1.8498 -1.7927
 -1.7282 -1.6608 -1.5956 -1.5360 -1.4842 -1.3886 -1.3306 -1.2981 -1.2830 -1.2813
 -1.2908 -1.3094 -1.3350 -1.3664 -1.4025 -1.4416 -1.4829 -1.5259 -1.5713 -1.6196
 -1.6713
 -2.7124 -2.5189 -2.3480 -2.1983 -2.0710 -1.9652 -1.8784 -1.8060 -1.7434 -1.6863
 -1.6305 -1.5769 -1.5298 -1.4902 -1.4561 -1.3821 -1.3260 -1.2944 -1.2806 -1.2796
 -1.2896 -1.3087 -1.3349 -1.3670 -1.4038 -1.4438 -1.4858 -1.5291 -1.5736 -1.6197
 -1.6676
 -2.7482 -2.5450 -2.3623 -2.2005 -2.0593 -1.9386 -1.8373 -1.7531 -1.6829 -1.6227
 -1.5687 -1.5190 -1.4745 -1.4373 -1.4077 -1.3573 -1.3177 -1.2879 -1.2752 -1.2753
 -1.2858 -1.3053 -1.3323 -1.3652 -1.4029 -1.4441 -1.4875 -1.5319 -1.5768 -1.6224
 -1.6666
 -2.8008 -2.5879 -2.3954 -2.2225 -2.0709 -1.9388 -1.8260 -1.7311 -1.6523 -1.5868
 -1.5313 -1.4834 -1.4413 -1.4047 -1.3390 -1.3142 -1.3057 -1.2786 -1.2668
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  i   
 -4.0670 -4.0706 -4.0779 -4.0407 -3.9287 -3.7006 -3.3375 -2.8048 -2.3989 -2.0755
 -1.8483 -1.7011 -1.6016 -1.5279 -1.4696 -1.3616 -1.2858 -1.2340 -1.2052
 -3.8211 -3.8088 -3.8025 -3.7853 -3.7291 -3.5863 -3.2871 -2.8186 -2.4024 -2.0776
 -1.8505 -1.7017 -1.6014 -1.5283 -1.4707 -1.3659 -1.2944 -1.2468 -1.2207 -1.2136
