 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -5.2996 -5.1543 -4.9629 -4.7425 -4.5070 -3.9251 -3.3846 -2.8943 -2.4674 -2.1134
 -1.8337 -1.6254 -1.4845 -1.3987 -1.3515 -1.3284 -1.3198 -1.3188 -1.3214 -1.3242
 -1.3244
 -6.7896 -6.6977 -6.5708 -6.4065 -6.1934 -5.9658 -5.7565 -5.5740 -5.4094 -5.2526
 -5.1023 -4.9623 -4.8246 -4.6747 -4.5002 -3.9620 -3.4159 -2.9192 -2.4836 -2.1174
 -1.8220 -1.5948 -1.4335 -1.3307 -1.2721 -1.2427 -1.2314 -1.2306 -1.2355 -1.2426
 -1.2494
 -6.7458 -6.6179 -6.5179 -6.3946 -6.2201 -6.0002 -5.7669 -5.5492 -5.3558 -5.1794
 -5.0099 -4.8444 -4.6864 -4.5362 -4.3912 -3.9860 -3.4770 -2.9763 -2.5327 -2.1535
 -1.8409 -1.5927 -1.4072 -1.2816 -1.2054 -1.1644 -1.1464 -1.1427 -1.1473 -1.1564
 -1.1672
 -6.7602 -6.5729 -6.4599 -6.3585 -6.2279 -6.0468 -5.8236 -5.5870 -5.3625 -5.1596
 -4.9741 -4.7973 -4.6247 -4.4569 -4.2964 -3.9266 -3.5225 -3.0509 -2.6019 -2.2110
 -1.8822 -1.6141 -1.4051 -1.2540 -1.1556 -1.0979 -1.0690 -1.0586 -1.0601 -1.0688
 -1.0809
 -6.8700 -6.5766 -6.4187 -6.3119 -6.2075 -6.0714 -5.8871 -5.6635 -5.4257 -5.1966
 -4.9860 -4.7930 -4.6108 -4.4340 -4.2612 -3.8632 -3.5040 -3.1118 -2.6831
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  u   
 -7.8287 -7.6265 -7.4289 -7.2370 -7.0133 -6.7550 -6.5326 -6.3381 -6.1739 -6.0185
 -5.8627 -5.7073 -5.5523 -5.3961 -5.2366 -4.8133 -4.3517 -3.8686 -3.3903
 -7.6252 -7.5817 -7.3867 -7.1898 -6.9762 -6.7130 -6.4574 -6.2376 -6.0470 -5.8709
 -5.6980 -5.5270 -5.3567 -5.1857 -5.0118 -4.5591 -4.0818 -3.6042 -3.1577 -2.7696
 -7.4156 -7.4289 -7.3145 -7.1331 -6.9395 -6.7032 -6.4279 -6.1712 -5.9523 -5.7547
 -5.5650 -5.3787 -5.1947 -5.0115 -4.8272 -4.3565 -3.8725 -3.4002 -2.9724 -2.6090
 -2.3260
 -7.2279 -7.1099 -7.1045 -7.0307 -6.8709 -6.6829 -6.4383 -6.1537 -5.8983 -5.6754
 -5.4699 -5.2693 -5.0722 -4.8780 -4.6850 -4.2018 -3.7152 -3.2465 -2.8283 -2.4784
 -2.2054 -2.0122
 -7.1451 -6.9567 -6.8076 -6.7560 -6.7248 -6.5992 -6.4223 -6.1782 -5.8927 -5.6375
 -5.4131 -5.2001 -4.9915 -4.7871 -4.5856 -4.0909 -3.6024 -3.1355 -2.7207 -2.3758
 -2.1060 -1.9120 -1.7844 -1.7030
 -7.0829 -6.8956 -6.6890 -6.5188 -6.4182 -6.3779 -6.3064 -6.1538 -5.9268 -5.6455
 -5.3922 -5.1673 -4.9497 -4.7367 -4.5276 -4.0209 -3.5294 -3.0622 -2.6463 -2.3000
 -2.0277 -1.8277 -1.6937 -1.6107 -1.5605 -1.5309 -1.5130 -1.4998 -1.4854 -1.4630
