 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.7151 -1.6576 -1.6032 -1.5451 -1.4818 -1.3950 -1.2650 -1.0924 -0.9311 -0.8006
 -0.6978 -0.6147 -0.5458 -0.4872 -0.4364 -0.3364 -0.2657 -0.2233 -0.2067
 -1.5329 -1.4683 -1.4130 -1.3606 -1.3045 -1.2358 -1.1380 -1.0040 -0.8764 -0.7683
 -0.6790 -0.6042 -0.5404 -0.4858 -0.4385 -0.3460 -0.2828 -0.2447 -0.2300 -0.2347
 -0.2529
 -1.3949 -1.3191 -1.2578 -1.2056 -1.1565 -1.1034 -1.0325 -0.9314 -0.8295 -0.7395
 -0.6625 -0.5959 -0.5375 -0.4862 -0.4416 -0.3548 -0.2964 -0.2617 -0.2483 -0.2523
 -0.2694 -0.2939 -0.3245
 -1.2937 -1.2069 -1.1367 -1.0795 -1.0308 -0.9856 -0.9352 -0.8625 -0.7826 -0.7084
 -0.6431 -0.5853 -0.5332 -0.4860 -0.4439 -0.3618 -0.3071 -0.2751 -0.2629 -0.2668
 -0.2831 -0.3073 -0.3365 -0.3693 -0.4070
 -1.1949 -1.1041 -1.0340 -0.9763 -0.9267 -0.8834 -0.8425 -0.7930 -0.7327 -0.6731
 -0.6187 -0.5698 -0.5249 -0.4830 -0.4442 -0.3665 -0.3150 -0.2852 -0.2742 -0.2784
 -0.2944 -0.3185 -0.3472 -0.3794 -0.4146 -0.4540
 -1.1467 -1.0306 -0.9372 -0.8664 -0.8157 -0.7802 -0.7508 -0.7192 -0.6786 -0.6333
 -0.5892 -0.5486 -0.5110 -0.4754 -0.4411 -0.3686 -0.3201 -0.2922 -0.2824 -0.2872
 -0.3034 -0.3279 -0.3570 -0.3890 -0.4236 -0.4609 -0.5016 -0.5467 -0.5964 -0.6452
 -1.1327 -1.0073 -0.8997 -0.8103 -0.7398 -0.6860 -0.6462 -0.6180 -0.5957 -0.5741
 -0.5494 -0.5212 -0.4914 -0.4621 -0.4334 -0.3678 -0.3221 -0.2963 -0.2875 -0.2930
 -0.3098 -0.3351 -0.3654 -0.3983 -0.4329 -0.4695 -0.5082 -0.5499 -0.5956 -0.6459
 -0.6963
 -1.1292 -1.0015 -0.8888 -0.7916 -0.7100 -0.6441 -0.5922 -0.5517 -0.5194 -0.4939
 -0.4760 -0.4641 -0.4529 -0.4379 -0.4185 -0.3636 -0.3211 -0.2972 -0.2895 -0.2955
 -0.3130 -0.3394 -0.3714 -0.4061 -0.4420 -0.4788 -0.5171 -0.5571 -0.5999 -0.6456
 -0.6965
 -1.1248 -0.9985 -0.8859 -0.7863 -0.7001 -0.6277 -0.5684 -0.5206 -0.4823 -0.4512
 -0.4258 -0.4063 -0.3935 -0.3863 -0.3802 -0.3531 -0.3163 -0.2946 -0.2882 -0.2950
 -0.3132 -0.3407 -0.3748 -0.4120 -0.4502 -0.4885 -0.5275 -0.5671 -0.6081 -0.6514
 -0.6982
 -1.1085 -0.9915 -0.8826 -0.7848 -0.6982 -0.6234 -0.5604 -0.5081 -0.4652 -0.4302
 -0.4014 -0.3777 -0.3585 -0.3441 -0.3348 -0.3242 -0.3071 -0.2888 -0.2837 -0.2909
 -0.3094 -0.3375 -0.3732 -0.4132 -0.4544 -0.4953 -0.5360 -0.5765 -0.6174 -0.6594
 -0.7033
 -1.0712 -0.9665 -0.8680 -0.7759 -0.6923 -0.6188 -0.5556 -0.5020 -0.4571 -0.4195
 -0.3881 -0.3618 -0.3398 -0.3217 -0.3071 -0.2887 -0.2839 -0.2785 -0.2759 -0.2839
 -0.3024 -0.3307 -0.3674 -0.4097 -0.4541 -0.4984 -0.5419 -0.5846 -0.6267 -0.6690
 -0.7118
 -1.0133 -0.9222 -0.8348 -0.7525 -0.6753 -0.6060 -0.5456 -0.4935 -0.4492 -0.4116
 -0.3793 -0.3517 -0.3280 -0.3079 -0.2971 -0.2466 -0.2467 -0.2637 -0.2648
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = G_RP 
 -2.1278 -2.0735 -2.0123 -1.9357 -1.8509 -1.7187 -1.5140 -1.2519 -1.0366 -0.8414
 -0.7167 -0.6225 -0.5474 -0.4854 -0.4311 -0.3230
 -1.8860 -1.8284 -1.7715 -1.7073 -1.6323 -1.5259 -1.3662 -1.1560 -0.9629 -0.8124
 -0.6993 -0.6115 -0.5408 -0.4821 -0.4316 -0.3326 -0.2634 -0.2197 -0.2003
 -1.6879 -1.6226 -1.5649 -1.5076 -1.4425 -1.3589 -1.2382 -1.0736 -0.9166 -0.7873
 -0.6852 -0.6036 -0.5368 -0.4809 -0.4333 -0.3412 -0.2779 -0.2389 -0.2225 -0.2255
 -0.2419
 -1.5335 -1.4561 -1.3925 -1.3366 -1.2814 -1.2178 -1.1300 -1.0047 -0.8773 -0.7661
 -0.6744 -0.5988 -0.5354 -0.4818 -0.4362 -0.3488 -0.2899 -0.2544 -0.2398 -0.2425
 -0.2586 -0.2832 -0.3144
 -1.4192 -1.3287 -1.2553 -1.1947 -1.1417 -1.0898 -1.0282 -0.9373 -0.8360 -0.7422
 -0.6614 -0.5927 -0.5337 -0.4826 -0.4386 -0.3550 -0.2995 -0.2665 -0.2534 -0.2562
 -0.2716 -0.2956 -0.3247 -0.3585 -0.3975
 -1.3110 -1.2218 -1.1457 -1.0809 -1.0253 -0.9764 -0.9285 -0.8664 -0.7892 -0.7124
 -0.6432 -0.5825 -0.5291 -0.4816 -0.4397 -0.3593 -0.3067 -0.2758 -0.2639 -0.2671
 -0.2821 -0.3058 -0.3348 -0.3676 -0.4040 -0.4443
 -1.2263 -1.1129 -1.0252 -0.9603 -0.9121 -0.8718 -0.8329 -0.7905 -0.7358 -0.6759
 -0.6185 -0.5666 -0.5197 -0.4771 -0.4383 -0.3615 -0.3114 -0.2824 -0.2715 -0.2753
 -0.2905 -0.3142 -0.3434 -0.3761 -0.4115 -0.4496 -0.4915 -0.5382 -0.5887 -0.6381
 -1.1990 -1.0699 -0.9609 -0.8732 -0.8053 -0.7539 -0.7164 -0.6881 -0.6594 -0.6245
 -0.5849 -0.5439 -0.5046 -0.4678 -0.4333 -0.3612 -0.3135 -0.2863 -0.2763 -0.2807
 -0.2963 -0.3206 -0.3507 -0.3841 -0.4197 -0.4572 -0.4974 -0.5402 -0.5872 -0.6384
 -0.6892
