 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.9156 -5.4391 -4.9884 -4.5727 -4.1970 -3.8587 -3.5430 -3.2301 -2.9548 -2.7253
 -2.5353 -2.3744 -2.2320 -2.1025 -1.9850 -1.7411 -1.5530 -1.4037 -1.2825 -1.1838
 -1.1034 -1.0365 -0.9800
 -5.5608 -5.0742 -4.6794 -4.3064 -3.9555 -3.6346 -3.3473 -3.0805 -2.8397 -2.6341
 -2.4616 -2.3152 -2.1853 -2.0643 -1.9511 -1.7130 -1.5313 -1.3898 -1.2771 -1.1860
 -1.1118 -1.0497 -0.9966 -0.9501 -0.9098
 -5.2644 -4.7519 -4.3249 -3.9679 -3.6663 -3.4080 -3.1785 -2.9569 -2.7485 -2.5631
 -2.4036 -2.2673 -2.1481 -2.0376 -1.9305 -1.6973 -1.5189 -1.3821 -1.2753 -1.1903
 -1.1216 -1.0644 -1.0150 -0.9716 -0.9330 -0.8992
 -5.1616 -4.6045 -4.1341 -3.7457 -3.4285 -3.1688 -2.9571 -2.7842 -2.6353 -2.4963
 -2.3593 -2.2316 -2.1174 -2.0147 -1.9162 -1.6891 -1.5122 -1.3780 -1.2751 -1.1948
 -1.1313 -1.0790 -1.0339 -0.9939 -0.9579 -0.9256 -0.8972 -0.8739 -0.8574 -0.8510
 -5.1591 -4.5726 -4.0717 -3.6592 -3.3246 -3.0545 -2.8358 -2.6569 -2.5091 -2.3883
 -2.2874 -2.1921 -2.0939 -1.9965 -1.9033 -1.6852 -1.5089 -1.3756 -1.2750 -1.1982
 -1.1391 -1.0918 -1.0516 -1.0159 -0.9834 -0.9536 -0.9269 -0.9037 -0.8852 -0.8747
 -0.8749
 -5.1887 -4.5947 -4.0781 -3.6468 -3.2965 -3.0148 -2.7878 -2.6033 -2.4521 -2.3262
 -2.2201 -2.1299 -2.0504 -1.9717 -1.8899 -1.6832 -1.5077 -1.3741 -1.2742 -1.1995
 -1.1418 -1.1009 -1.0660 -1.0354 -1.0074 -0.9813 -0.9574 -0.9349 -0.9160 -0.9037
 -0.8996
 -5.1881 -4.6137 -4.0991 -3.6641 -3.3052 -3.0145 -2.7798 -2.5886 -2.4314 -2.3007
 -2.1901 -2.0943 -2.0097 -1.9336 -1.8622 -1.6780 -1.5059 -1.3716 -1.2715 -1.1976
 -1.1438 -1.1047 -1.0749 -1.0500 -1.0274 -1.0062 -0.9864 -0.9678 -0.9511 -0.9374
 -0.9287
 -5.1444 -4.6068 -4.1203 -3.6940 -3.3359 -3.0410 -2.8006 -2.6029 -2.4392 -2.3017
 -2.1847 -2.0836 -1.9942 -1.9135 -1.8395 -1.6695 -1.5067 -1.3717 -1.2702 -1.1955
 -1.1419 -1.1045 -1.0785 -1.0589 -1.0423 -1.0269 -1.0123 -0.9982 -0.9849 -0.9731
 -0.9622
 -5.0590 -4.5712 -4.1235 -3.7177 -3.3696 -3.0767 -2.8333 -2.6313 -2.4621 -2.3183
 -2.1946 -2.0870 -1.9922 -1.9072 -1.8297 -1.6589 -1.5058 -1.3727 -1.2694 -1.1931
 -1.1385 -1.1012 -1.0769 -1.0613 -1.0501 -1.0408 -1.0323 -1.0238 -1.0154 -1.0073
 -1.0003
 -4.9331 -4.5070 -4.1068 -3.7342 -3.4029 -3.1164 -2.8732 -2.6678 -2.4936 -2.3443
 -2.2146 -2.1009 -2.0001 -1.9101 -1.8328 -1.6462 -1.5032 -1.3746 -1.2691
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -7.5388 -7.2581 -6.9922 -6.7329 -6.5589 -6.2545 -5.6785 -4.8222 -4.1132 -3.3948
 -2.9783 -2.6909 -2.4825 -2.3181 -2.1806 -1.9057
 -7.0719 -6.7528 -6.4557 -6.1764 -5.9296 -5.6105 -5.1028 -4.3922 -3.7288 -3.2102
 -2.8360 -2.5684 -2.3707 -2.2149 -2.0844 -1.8234 -1.6199 -1.4498 -1.3058
 -6.7032 -6.3524 -6.0245 -5.7198 -5.4256 -5.1018 -4.6592 -4.0721 -3.5254 -3.0786
 -2.7380 -2.4849 -2.2939 -2.1430 -2.0167 -1.7648 -1.5709 -1.4153 -1.2869 -1.1797
 -1.0911
 -6.4327 -6.0569 -5.6986 -5.3631 -5.0469 -4.7284 -4.3477 -3.8619 -3.3960 -3.0000
 -2.6843 -2.4404 -2.2521 -2.1024 -1.9775 -1.7299 -1.5421 -1.3946 -1.2753 -1.1765
 -1.0946 -1.0263 -0.9690
 -6.2068 -5.8215 -5.4475 -5.0900 -4.7520 -4.4297 -4.0987 -3.6988 -3.2977 -2.9440
 -2.6511 -2.4167 -2.2308 -2.0814 -1.9568 -1.7107 -1.5258 -1.3828 -1.2693 -1.1768
 -1.1005 -1.0369 -0.9831 -0.9367 -0.8969
 -5.8972 -5.5274 -5.1858 -4.8523 -4.5191 -4.1951 -3.8823 -3.5540 -3.2106 -2.8953
 -2.6250 -2.4017 -2.2201 -2.0718 -1.9473 -1.7016 -1.5175 -1.3767 -1.2671 -1.1792
 -1.1077 -1.0486 -0.9986 -0.9552 -0.9171 -0.8843
 -5.6452 -5.1980 -4.8209 -4.4994 -4.2135 -3.9450 -3.6760 -3.4008 -3.1166 -2.8427
 -2.5977 -2.3882 -2.2130 -2.0674 -1.9441 -1.6987 -1.5142 -1.3743 -1.2668 -1.1824
 -1.1149 -1.0601 -1.0143 -0.9745 -0.9393 -0.9082 -0.8815 -0.8593 -0.8440 -0.8377
 -5.5673 -5.0503 -4.6046 -4.2291 -3.9130 -3.6389 -3.3934 -3.1680 -2.9523 -2.7461
 -2.5494 -2.3671 -2.2045 -2.0644 -1.9433 -1.6995 -1.5140 -1.3737 -1.2673 -1.1851
 -1.1210 -1.0703 -1.0289 -0.9934 -0.9618 -0.9334 -0.9083 -0.8869 -0.8699 -0.8603
 -0.8599
 -5.6136 -5.0456 -4.5441 -4.1156 -3.7564 -3.4564 -3.2009 -2.9770 -2.7747 -2.5926
 -2.4356 -2.3000 -2.1748 -2.0548 -1.9417 -1.7026 -1.5160 -1.3743 -1.2677 -1.1868
 -1.1251 -1.0779 -1.0408 -1.0101 -0.9830 -0.9583 -0.9362 -0.9165 -0.9005 -0.8882
 -0.8838
 -5.7123 -5.1157 -4.5765 -4.1051 -3.7061 -3.3751 -3.1010 -2.8706 -2.6725 -2.4991
 -2.3471 -2.2168 -2.1074 -2.0126 -1.9223 -1.7038 -1.5176 -1.3743 -1.2667 -1.1862
 -1.1260 -1.0814 -1.0484 -1.0226 -1.0007 -0.9808 -0.9627 -0.9461 -0.9315 -0.9199
 -0.9129
 -5.8032 -5.2123 -4.6577 -4.1613 -3.7326 -3.3730 -3.0765 -2.8324 -2.6289 -2.4565
 -2.3081 -2.1797 -2.0685 -1.9727 -1.8891 -1.7010 -1.5223 -1.3770 -1.2674 -1.1858
 -1.1259 -1.0825 -1.0522 -1.0306 -1.0139 -0.9995 -0.9865 -0.9743 -0.9631 -0.9535
 -0.9464
 -5.8389 -5.2699 -4.7342 -4.2351 -3.7935 -3.4154 -3.1003 -2.8406 -2.6263 -2.4478
 -2.2967 -2.1672 -2.0548 -1.9564 -1.8695 -1.6883 -1.5252 -1.3807 -1.2686 -1.1852
 -1.1243 -1.0811 -1.0520 -1.0333 -1.0212 -1.0123 -1.0049 -0.9980 -0.9915 -0.9856
 -0.9809
 -5.8131 -5.2891 -4.7786 -4.3005 -3.8626 -3.4797 -3.1540 -2.8813 -2.6554 -2.4675
 -2.3094 -2.1744 -2.0577 -1.9558 -1.8635 -1.6657 -1.5263 -1.3854 -1.2703
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = G_BP 
 -7.6691 -7.4005 -7.1472 -6.9064 -6.7798 -6.5060 -5.9164 -5.0100 -4.2234 -3.4429
 -2.9918 -2.6850 -2.4661 -2.2977 -2.1589 -1.8855
 -7.2075 -6.9042 -6.6254 -6.3700 -6.1600 -5.8698 -5.3590 -4.5995 -3.8591 -3.2764
 -2.8632 -2.5741 -2.3650 -2.2042 -2.0716 -1.8110 -1.6098 -1.4446 -1.3039
 -6.8434 -6.5105 -6.2037 -5.9250 -5.6611 -5.3640 -4.9233 -4.2914 -3.6736 -3.1633
 -2.7802 -2.5024 -2.2980 -2.1406 -2.0113 -1.7583 -1.5657 -1.4120 -1.2848 -1.1779
 -1.0885
 -6.5768 -6.2194 -5.8821 -5.5714 -5.2831 -4.9887 -4.6093 -4.0857 -3.5596 -3.1036
 -2.7428 -2.4699 -2.2651 -2.1069 -1.9780 -1.7274 -1.5392 -1.3919 -1.2728 -1.1738
 -1.0911 -1.0220 -0.9639
 -6.3625 -5.9920 -5.6342 -5.2963 -4.9805 -4.6779 -4.3516 -3.9218 -3.4708 -3.0635
 -2.7254 -2.4588 -2.2527 -2.0920 -1.9617 -1.7111 -1.5244 -1.3805 -1.2665 -1.1731
 -1.0957 -1.0311 -0.9759 -0.9289 -0.8892
 -6.0946 -5.7425 -5.4021 -5.0685 -4.7415 -4.4275 -4.1197 -3.7713 -3.3874 -3.0259
 -2.7132 -2.4564 -2.2514 -2.0885 -1.9563 -1.7041 -1.5172 -1.3747 -1.2638 -1.1746
 -1.1016 -1.0412 -0.9903 -0.9466 -0.9088 -0.8762
 -5.7903 -5.3804 -5.0391 -4.7445 -4.4714 -4.1969 -3.9099 -3.6149 -3.2957 -2.9810
 -2.6968 -2.4544 -2.2541 -2.0911 -1.9573 -1.7028 -1.5149 -1.3725 -1.2631 -1.1770
 -1.1077 -1.0512 -1.0043 -0.9642 -0.9291 -0.8982 -0.8719 -0.8509 -0.8362 -0.8304
 -5.6674 -5.1772 -4.7589 -4.4119 -4.1189 -3.8596 -3.6198 -3.3856 -3.1439 -2.8978
 -2.6602 -2.4433 -2.2548 -2.0954 -1.9616 -1.7052 -1.5157 -1.3724 -1.2635 -1.1792
 -1.1129 -1.0602 -1.0174 -0.9813 -0.9498 -0.9219 -0.8977 -0.8769 -0.8610 -0.8521
 -0.8521
 -5.6885 -5.1399 -4.6578 -4.2475 -3.9053 -3.6176 -3.3673 -3.1396 -2.9251 -2.7247
 -2.5468 -2.3859 -2.2348 -2.0936 -1.9657 -1.7101 -1.5188 -1.3737 -1.2641 -1.1808
