 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.3034 -2.2388 -2.1784 -2.1218 -2.0690 -1.9514 -1.8572 -1.7844 -1.7301
 -3.4985 -3.3595 -3.1628 -2.9899 -2.8407 -2.7063 -2.6003 -2.5079 -2.4261 -2.3539
 -2.2868 -2.2238 -2.1650 -2.1098 -2.0580 -1.9442 -1.8530 -1.7846 -1.7384 -1.7111
 -3.4031 -3.3563 -3.1876 -3.0062 -2.8467 -2.7074 -2.5916 -2.4964 -2.4144 -2.3410
 -2.2752 -2.2139 -2.1567 -2.1030 -2.0526 -1.9417 -1.8533 -1.7883 -1.7453 -1.7205
 -1.7097
 -3.2631 -3.1820 -3.1668 -3.0247 -2.8624 -2.7179 -2.5934 -2.4909 -2.4058 -2.3314
 -2.2662 -2.2064 -2.1508 -2.0986 -2.0496 -1.9416 -1.8554 -1.7923 -1.7513 -1.7280
 -1.7180 -1.7175
 -3.1587 -3.0261 -2.9708 -2.9742 -2.8738 -2.7328 -2.6037 -2.4929 -2.4015 -2.3251
 -2.2587 -2.1999 -2.1456 -2.0949 -2.0474 -1.9425 -1.8580 -1.7962 -1.7564 -1.7342
 -1.7249 -1.7251 -1.7314 -1.7409
 -3.1445 -2.9954 -2.8682 -2.7888 -2.7721 -2.7288 -2.6165 -2.5024 -2.4035 -2.3218
 -2.2527 -2.1936 -2.1403 -2.0910 -2.0449 -1.9430 -1.8606 -1.7998 -1.7606 -1.7391
 -1.7305 -1.7314 -1.7387 -1.7497 -1.7635 -1.7802 -1.8010 -1.8268 -1.8560 -1.8869
 -3.1337 -2.9876 -2.8496 -2.7299 -2.6409 -2.5916 -2.5666 -2.5059 -2.4122 -2.3238
 -2.2500 -2.1880 -2.1348 -2.0863 -2.0414 -1.9426 -1.8624 -1.8025 -1.7637 -1.7425
 -1.7345 -1.7361 -1.7447 -1.7573 -1.7724 -1.7897 -1.8098 -1.8333 -1.8610 -1.8927
 -1.9264
 -3.1200 -2.9815 -2.8463 -2.7204 -2.6095 -2.5199 -2.4542 -2.4107 -2.3764 -2.3230
 -2.2513 -2.1850 -2.1293 -2.0812 -2.0370 -1.9409 -1.8628 -1.8040 -1.7654 -1.7442
 -1.7366 -1.7391 -1.7491 -1.7637 -1.7807 -1.7995 -1.8203 -1.8432 -1.8690 -1.8988
