 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.2977 -4.7281 -4.1862 -3.6814 -3.2333 -2.8453 -2.5180 -2.2448 -2.0161 -1.8218
 -1.6538 -1.5066 -1.3771 -1.2641 -1.1655 -0.9629 -0.7794 -0.6175 -0.4917 -0.3964
 -0.3247 -0.2716 -0.2331 -0.2065 -0.1883 -0.1752 -0.1651 -0.1564 -0.1486 -0.1419
 -0.1403
 -5.3804 -4.8104 -4.2846 -3.7876 -3.3281 -2.9218 -2.5718 -2.2767 -2.0306 -1.8247
 -1.6505 -1.5009 -1.3709 -1.2569 -1.1426 -0.9379 -0.7871 -0.6263 -0.4967
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.5105 -6.2755 -6.0760 -5.9024 -5.7140 -5.4353 -4.9967 -4.3416 -3.5087 -2.7938
 -2.2791 -1.9220 -1.6710 -1.4856 -1.3397 -1.0647 -0.8567 -0.6861 -0.5374
 -6.1388 -5.8837 -5.6591 -5.4685 -5.2945 -5.0851 -4.7192 -4.0654 -3.3447 -2.7007
 -2.2131 -1.8640 -1.6147 -1.4301 -1.2854 -1.0150 -0.8126 -0.6505 -0.5154 -0.4001
 -5.8516 -5.5758 -5.3233 -5.1027 -4.9086 -4.7045 -4.3975 -3.8650 -3.2481 -2.6674
 -2.1989 -1.8496 -1.5945 -1.4049 -1.2576 -0.9862 -0.7860 -0.6284 -0.4999 -0.3921
 -0.3004
 -5.6239 -5.3349 -5.0578 -4.8050 -4.5804 -4.3681 -4.1130 -3.6916 -3.1708 -2.6519
 -2.2079 -1.8596 -1.5969 -1.3995 -1.2468 -0.9711 -0.7708 -0.6153 -0.4909 -0.3882
 -0.3017 -0.2285
 -5.4257 -5.1301 -4.8425 -4.5687 -4.3145 -4.0791 -3.8423 -3.5183 -3.0870 -2.6333
 -2.2207 -1.8800 -1.6128 -1.4075 -1.2481 -0.9652 -0.7632 -0.6082 -0.4861 -0.3870
 -0.3047 -0.2357 -0.1772 -0.1272
 -5.1850 -4.8886 -4.6157 -4.3531 -4.0963 -3.8447 -3.5980 -3.3331 -2.9862 -2.5980
 -2.2251 -1.9003 -1.6344 -1.4237 -1.2577 -0.9656 -0.7610 -0.6052 -0.4842 -0.3875
 -0.3085 -0.2430 -0.1884 -0.1422 -0.1024 -0.0679 -0.0384 -0.0133  0.0051  0.0139
 -4.9790 -4.5993 -4.2906 -4.0374 -3.8150 -3.6008 -3.3760 -3.1327 -2.8581 -2.5381
 -2.2116 -1.9121 -1.6550 -1.4436 -1.2727 -0.9708 -0.7626 -0.6051 -0.4839 -0.3887
 -0.3122 -0.2499 -0.1989 -0.1565 -0.1205 -0.0892 -0.0622 -0.0390 -0.0201 -0.0079
 -0.0051
 -4.9367 -4.4799 -4.0888 -3.7664 -3.5022 -3.2771 -3.0705 -2.8663 -2.6454 -2.4026
 -2.1474 -1.8962 -1.6641 -1.4614 -1.2904 -0.9798 -0.7671 -0.6072 -0.4850 -0.3902
 -0.3154 -0.2556 -0.2079 -0.1694 -0.1374 -0.1100 -0.0862 -0.0656 -0.0483 -0.0353
 -0.0292
 -5.0166 -4.5036 -4.0478 -3.6563 -3.3284 -3.0555 -2.8213 -2.6085 -2.4018 -2.1903
 -1.9816 -1.7883 -1.6116 -1.4480 -1.2966 -0.9897 -0.7726 -0.6098 -0.4857 -0.3904
 -0.3165 -0.2587 -0.2138 -0.1790 -0.1514 -0.1284 -0.1088 -0.0922 -0.0783 -0.0669
 -0.0577
 -5.1832 -4.6303 -4.1266 -3.6791 -3.2935 -2.9672 -2.6927 -2.4568 -2.2455 -2.0467
 -1.8554 -1.6775 -1.5204 -1.3852 -1.2658 -1.0010 -0.7829 -0.6164 -0.4894 -0.3924
 -0.3182 -0.2613 -0.2183 -0.1863 -0.1624 -0.1439 -0.1289 -0.1160 -0.1049 -0.0960
 -0.0892
