 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  R   
 -1.5639 -1.5709 -1.5871 -1.6083 -1.6308 -1.6532 -1.6754 -1.6975 -1.7202 -1.7441
 -1.7705
 -4.0423 -3.7520 -3.4723 -3.2052 -2.9623 -2.7494 -2.5691 -2.4183 -2.2924 -2.1857
 -2.0938 -2.0140 -1.9448 -1.8856 -1.8356 -1.7449 -1.6774 -1.6226 -1.5838 -1.5620
 -1.5557 -1.5628 -1.5806 -1.6051 -1.6321 -1.6590 -1.6853 -1.7107 -1.7356 -1.7606
 -1.7863
 -4.0311 -3.7399 -3.4625 -3.2020 -2.9662 -2.7581 -2.5790 -2.4273 -2.2996 -2.1913
 -2.0979 -2.0162 -1.9443 -1.8815 -1.8324 -1.7120 -1.6530 -1.6096 -1.5730
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  R   
 -5.2461 -5.0467 -4.8615 -4.6798 -4.5031 -4.2807 -3.9578 -3.5242 -3.0921 -2.7344
 -2.4718 -2.2840 -2.1477 -2.0430 -1.9579 -1.7944 -1.6765 -1.5922 -1.5355
 -4.9858 -4.7734 -4.5831 -4.4048 -4.2281 -4.0287 -3.7482 -3.3835 -3.0115 -2.6899
 -2.4410 -2.2590 -2.1259 -2.0247 -1.9429 -1.7873 -1.6760 -1.5983 -1.5475 -1.5175
 -4.8012 -4.5752 -4.3749 -4.1910 -4.0151 -3.8307 -3.5913 -3.2842 -2.9636 -2.6724
 -2.4348 -2.2537 -2.1196 -2.0183 -1.9377 -1.7863 -1.6795 -1.6056 -1.5579 -1.5297
 -1.5166
 -4.6472 -4.4203 -4.2150 -4.0250 -3.8436 -3.6629 -3.4579 -3.1995 -2.9230 -2.6619
 -2.4377 -2.2586 -2.1220 -2.0186 -1.9375 -1.7886 -1.6847 -1.6130 -1.5672 -1.5403
 -1.5278 -1.5252
 -4.4089 -4.2075 -4.0349 -3.8683 -3.6982 -3.5215 -3.3341 -3.1167 -2.8793 -2.6477
 -2.4402 -2.2665 -2.1287 -2.0224 -1.9398 -1.7918 -1.6900 -1.6198 -1.5751 -1.5492
 -1.5373 -1.5354 -1.5396 -1.5486
 -4.2531 -3.9993 -3.7887 -3.6157 -3.4696 -3.3351 -3.1893 -3.0157 -2.8206 -2.6217
 -2.4353 -2.2718 -2.1358 -2.0277 -1.9429 -1.7944 -1.6943 -1.6251 -1.5812 -1.5561
 -1.5450 -1.5440 -1.5494 -1.5588 -1.5718 -1.5884 -1.6099 -1.6376 -1.6710 -1.7047
 -4.1987 -3.9111 -3.6570 -3.4387 -3.2543 -3.0951 -2.9512 -2.8144 -2.6798 -2.5434
 -2.4026 -2.2643 -2.1391 -2.0324 -1.9460 -1.7957 -1.6968 -1.6286 -1.5850 -1.5606
 -1.5503 -1.5505 -1.5577 -1.5688 -1.5826 -1.5990 -1.6184 -1.6419 -1.6710 -1.7062
 -1.7424
 -4.1988 -3.8938 -3.6121 -3.3593 -3.1410 -2.9552 -2.7939 -2.6476 -2.5119 -2.3909
 -2.2890 -2.2005 -2.1147 -2.0283 -1.9472 -1.7954 -1.6970 -1.6298 -1.5864 -1.5622
 -1.5528 -1.5543 -1.5637 -1.5774 -1.5931 -1.6106 -1.6301 -1.6519 -1.6769 -1.7073
 -1.7446
 -4.2167 -3.9054 -3.6113 -3.3377 -3.0940 -2.8850 -2.7083 -2.5562 -2.4218 -2.3013
 -2.1959 -2.1086 -2.0392 -1.9812 -1.9257 -1.7919 -1.6938 -1.6275 -1.5846 -1.5606
 -1.5519 -1.5550 -1.5667 -1.5835 -1.6024 -1.6222 -1.6431 -1.6651 -1.6889 -1.7157
 -1.7474
 -4.2354 -3.9285 -3.6305 -3.3488 -3.0904 -2.8648 -2.6742 -2.5141 -2.3782 -2.2602
