 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1500W
 -2.8584 -2.9365 -3.0117 -3.0851 -3.1589 -3.3456 -3.5261 -3.6980 -3.8621 -4.0188
 -4.1700 -4.3163 -4.4566 -4.5913
 -1.9028 -2.0102 -2.1209 -2.2299 -2.3365 -2.4389 -2.5348 -2.6234 -2.7082 -2.7908
 -2.8718 -2.9506 -3.0257 -3.0976 -3.1689 -3.3524 -3.5333 -3.7056 -3.8699 -4.0267
 -4.1774 -4.3233 -4.4636 -4.5983 -4.7278 -4.8529 -4.9743 -5.0923 -5.2070 -5.3176
 -1.8936 -2.0032 -2.1095 -2.2139 -2.3169 -2.4177 -2.5144 -2.6062 -2.6953 -2.7835
 -2.8701 -2.9537 -3.0331 -3.1078 -3.1786 -3.3572 -3.5377 -3.7105 -3.8751 -4.0321
 -4.1825 -4.3278 -4.4680 -4.6027 -4.7321 -4.8567 -4.9774 -5.0945 -5.2084 -5.3188
 -5.4250
 -1.8948 -2.0032 -2.1069 -2.2080 -2.3074 -2.4057 -2.5016 -2.5942 -2.6831 -2.7691
 -2.8540 -2.9390 -3.0232 -3.1047 -3.1820 -3.3614 -3.5404 -3.7136 -3.8785 -4.0357
 -4.1862 -4.3309 -4.4709 -4.6056 -4.7349 -4.8594 -4.9796 -5.0960 -5.2091 -5.3190
 -5.4248
 -1.8979 -2.0064 -2.1097 -2.2091 -2.3062 -2.4020 -2.4962 -2.5883 -2.6777 -2.7637
 -2.8466 -2.9275 -3.0081 -3.0893 -3.1707 -3.3660 -3.5446 -3.7181 -3.8835 -4.0410
 -4.1914 -4.3359 -4.4755 -4.6103 -4.7399 -4.8646 -4.9848 -5.1008 -5.2133 -5.3227
 -5.4285
 -1.8974 -2.0071 -2.1105 -2.2097 -2.3059 -2.4000 -2.4927 -2.5832 -2.6721 -2.7583
 -2.8414 -2.9214 -2.9990 -3.0757 -3.1536 -3.3543 -3.5452 -3.7186 -3.8843 -4.0420
 -4.1924 -4.3366 -4.4757 -4.6104 -4.7403 -4.8653 -4.9856 -5.1015 -5.2136 -5.3224
 -5.4278
 -1.8964 -2.0060 -2.1104 -2.2099 -2.3061 -2.3998 -2.4914 -2.5808 -2.6685 -2.7541
 -2.8374 -2.9178 -2.9953 -3.0704 -3.1448 -3.3377 -3.5367 -3.7185 -3.8845 -4.0424
 -4.1928 -4.3369 -4.4756 -4.6101 -4.7402 -4.8656 -4.9863 -5.1024 -5.2144 -5.3229
 -5.4280
 -1.8970 -2.0052 -2.1094 -2.2094 -2.3060 -2.3997 -2.4910 -2.5798 -2.6665 -2.7513
 -2.8341 -2.9147 -2.9927 -3.0683 -3.1443 -3.3162 -3.5191 -3.7178 -3.8841
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =F1500W
 -1.8619 -1.9560 -2.0421 -2.1218 -2.1953 -2.2689 -2.3496 -2.4407 -2.5367 -2.6330
 -2.7264 -2.8154 -2.9000 -2.9806 -3.0578 -3.2393 -3.4119 -3.5805 -3.7453
 -1.9153 -2.0180 -2.1121 -2.1977 -2.2759 -2.3477 -2.4202 -2.5030 -2.5910 -2.6814
 -2.7712 -2.8583 -2.9422 -3.0232 -3.1017 -3.2878 -3.4631 -3.6329 -3.7975 -3.9561
 -1.9416 -2.0505 -2.1510 -2.2426 -2.3249 -2.3978 -2.4670 -2.5451 -2.6281 -2.7141
 -2.8009 -2.8862 -2.9689 -3.0493 -3.1280 -3.3167 -3.4942 -3.6648 -3.8292 -3.9865
 -4.1386
 -1.9470 -2.0623 -2.1693 -2.2674 -2.3558 -2.4334 -2.5018 -2.5765 -2.6561 -2.7387
 -2.8226 -2.9060 -2.9873 -3.0666 -3.1446 -3.3341 -3.5133 -3.6844 -3.8488 -4.0058
 -4.1570 -4.3033
 -1.9232 -2.0456 -2.1626 -2.2713 -2.3699 -2.4567 -2.5298 -2.6019 -2.6790 -2.7589
 -2.8402 -2.9216 -3.0014 -3.0793 -3.1560 -3.3447 -3.5251 -3.6966 -3.8611 -4.0182
 -4.1689 -4.3147 -4.4550 -4.5897
 -1.9017 -2.0177 -2.1319 -2.2438 -2.3518 -2.4530 -2.5419 -2.6192 -2.6967 -2.7756
 -2.8553 -2.9351 -3.0135 -3.0900 -3.1651 -3.3515 -3.5324 -3.7045 -3.8690 -4.0263
 -4.1768 -4.3220 -4.4619 -4.5964 -4.7259 -4.8511 -4.9726 -5.0909 -5.2059 -5.3170
 -1.8937 -2.0048 -2.1133 -2.2199 -2.3248 -2.4264 -2.5215 -2.6098 -2.6954 -2.7800
 -2.8630 -2.9442 -3.0235 -3.0998 -3.1735 -3.3563 -3.5370 -3.7096 -3.8743 -4.0317
 -4.1822 -4.3268 -4.4663 -4.6006 -4.7299 -4.8546 -4.9754 -5.0929 -5.2072 -5.3180
 -5.4248
 -1.8939 -2.0025 -2.1071 -2.2092 -2.3099 -2.4089 -2.5043 -2.5947 -2.6811 -2.7662
 -2.8518 -2.9378 -3.0222 -3.1032 -3.1801 -3.3604 -3.5399 -3.7130 -3.8779 -4.0353
 -4.1859 -4.3302 -4.4691 -4.6032 -4.7324 -4.8569 -4.9773 -5.0941 -5.2077 -5.3178
 -5.4244
 -1.8987 -2.0067 -2.1096 -2.2089 -2.3062 -2.4022 -2.4964 -2.5876 -2.6754 -2.7599
 -2.8425 -2.9251 -3.0086 -3.0926 -3.1753 -3.3667 -3.5443 -3.7177 -3.8831 -4.0407
 -4.1913 -4.3354 -4.4739 -4.6078 -4.7371 -4.8617 -4.9821 -5.0985 -5.2113 -5.3211
 -5.4276
 -1.8997 -2.0091 -2.1119 -2.2102 -2.3055 -2.3991 -2.4914 -2.5818 -2.6701 -2.7555
 -2.8379 -2.9180 -2.9973 -3.0769 -3.1578 -3.3604 -3.5455 -3.7184 -3.8841 -4.0418
 -4.1923 -4.3363 -4.4744 -4.6080 -4.7373 -4.8621 -4.9825 -5.0988 -5.2112 -5.3204
 -5.4263
 -1.8986 -2.0091 -2.1134 -2.2118 -2.3067 -2.3992 -2.4900 -2.5792 -2.6668 -2.7523
 -2.8354 -2.9156 -2.9935 -3.0699 -3.1465 -3.3438 -3.5412 -3.7188 -3.8846 -4.0425
 -4.1929 -4.3368 -4.4747 -4.6080 -4.7373 -4.8623 -4.9830 -5.0993 -5.2117 -5.3205
 -5.4261
 -1.8963 -2.0071 -2.1123 -2.2122 -2.3075 -2.4000 -2.4903 -2.5786 -2.6653 -2.7502
 -2.8332 -2.9139 -2.9921 -3.0680 -3.1414 -3.3169 -3.5314 -3.7189 -3.8846
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =F1500W
 -1.8480 -1.9399 -2.0244 -2.1034 -2.1766 -2.2503 -2.3312 -2.4230 -2.5213 -2.6207
 -2.7174 -2.8097 -2.8970 -2.9796 -3.0577 -3.2387 -3.4089 -3.5762 -3.7410
 -1.9068 -2.0073 -2.0994 -2.1833 -2.2602 -2.3312 -2.4022 -2.4838 -2.5727 -2.6658
 -2.7593 -2.8502 -2.9374 -3.0207 -3.1005 -3.2871 -3.4611 -3.6298 -3.7947 -3.9529
 -1.9375 -2.0443 -2.1428 -2.2322 -2.3125 -2.3836 -2.4505 -2.5263 -2.6087 -2.6965
 -2.7865 -2.8757 -2.9623 -3.0457 -3.1261 -3.3159 -3.4926 -3.6624 -3.8272 -3.9850
 -4.1365
 -1.9501 -2.0623 -2.1663 -2.2616 -2.3472 -2.4220 -2.4874 -2.5590 -2.6370 -2.7199
 -2.8062 -2.8932 -2.9787 -3.0616 -3.1419 -3.3333 -3.5121 -3.6825 -3.8472 -4.0049
 -4.1558 -4.3017
 -1.9400 -2.0603 -2.1722 -2.2750 -2.3681 -2.4498 -2.5183 -2.5864 -2.6609 -2.7400
 -2.8225 -2.9068 -2.9907 -3.0727 -3.1524 -3.3438 -3.5242 -3.6951 -3.8597 -4.0176
 -4.1684 -4.3136 -4.4536 -4.5882
