 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  Hp  
 -4.7199 -4.3163 -3.9277 -3.5683 -3.2530 -2.9863 -2.7631 -2.5730 -2.4067 -2.2593
 -2.1303 -2.0210 -1.9293 -1.8465 -1.7625 -1.5507 -1.3743 -1.2399 -1.1408 -1.0683
 -1.0151 -0.9762 -0.9481 -0.9271 -0.9102 -0.8954 -0.8825 -0.8712 -0.8620 -0.8559
 -0.8544
 -4.7524 -4.3582 -3.9650 -3.5935 -3.2584 -2.9712 -2.7315 -2.5320 -2.3634 -2.2178
 -2.0903 -1.9785 -1.8816 -1.7983 -1.7252 -1.5510 -1.3809 -1.2441 -1.1421 -1.0679
 -1.0146 -0.9771 -0.9517 -0.9349 -0.9230 -0.9135 -0.9055 -0.8983 -0.8921 -0.8877
 -0.8857
 -4.7750 -4.3865 -4.0052 -3.6322 -3.2912 -2.9921 -2.7390 -2.5287 -2.3535 -2.2050
 -2.0766 -1.9640 -1.8646 -1.7767 -1.6990 -1.5363 -1.3849 -1.2489 -1.1439 -1.0672
 -1.0127 -0.9754 -0.9515 -0.9377 -0.9304 -0.9262 -0.9237 -0.9216 -0.9199 -0.9187
 -0.9189
 -4.7917 -4.4067 -4.0315 -3.6711 -3.3330 -3.0319 -2.7717 -2.5526 -2.3689 -2.2143
 -2.0818 -1.9663 -1.8641 -1.7730 -1.6839 -1.5066 -1.3863 -1.2543 -1.1462
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  Hp  
 -6.1401 -5.9243 -5.7197 -5.5175 -5.3227 -5.0554 -4.6283 -4.0236 -3.4138 -2.9150
 -2.5521 -2.2933 -2.1031 -1.9556 -1.8340 -1.5983 -1.4215 -1.2797 -1.1606
 -5.8423 -5.6031 -5.3840 -5.1778 -4.9725 -4.7311 -4.3634 -3.8499 -3.3120 -2.8520
 -2.5040 -2.2499 -2.0615 -1.9155 -1.7955 -1.5631 -1.3908 -1.2565 -1.1470 -1.0543
 -5.6241 -5.3619 -5.1234 -4.9033 -4.6939 -4.4695 -4.1567 -3.7242 -3.2552 -2.8312
 -2.4930 -2.2379 -2.0464 -1.8981 -1.7773 -1.5443 -1.3733 -1.2430 -1.1391 -1.0529
 -0.9804
 -5.4564 -5.1783 -4.9223 -4.6848 -4.4612 -4.2396 -3.9747 -3.6129 -3.2087 -2.8238
 -2.4992 -2.2438 -2.0477 -1.8953 -1.7721 -1.5367 -1.3648 -1.2359 -1.1354 -1.0536
 -0.9855 -0.9287
 -5.2464 -4.9922 -4.7448 -4.5052 -4.2720 -4.0419 -3.8017 -3.5018 -3.1563 -2.8134
 -2.5089 -2.2578 -2.0586 -1.9017 -1.7752 -1.5364 -1.3623 -1.2330 -1.1344 -1.0558
 -0.9913 -0.9380 -0.8932 -0.8547
 -4.9561 -4.6809 -4.4543 -4.2576 -4.0653 -3.8597 -3.6340 -3.3808 -3.0899 -2.7903
 -2.5119 -2.2715 -2.0733 -1.9134 -1.7835 -1.5406 -1.3640 -1.2330 -1.1350 -1.0585
 -0.9971 -0.9471 -0.9057 -0.8706 -0.8404 -0.8151 -0.7946 -0.7792 -0.7705 -0.7698
 -4.8259 -4.4865 -4.1938 -3.9489 -3.7420 -3.5589 -3.3840 -3.1943 -2.9755 -2.7360
 -2.4970 -2.2774 -2.0867 -1.9271 -1.7947 -1.5474 -1.3684 -1.2350 -1.1363 -1.0611
 -1.0021 -0.9551 -0.9172 -0.8857 -0.8589 -0.8360 -0.8170 -0.8021 -0.7919 -0.7887
 -0.7936
 -4.8050 -4.4267 -4.0831 -3.7823 -3.5266 -3.3075 -3.1120 -2.9268 -2.7454 -2.5725
 -2.4072 -2.2445 -2.0851 -1.9373 -1.8070 -1.5562 -1.3747 -1.2385 -1.1380 -1.0630
 -1.0058 -0.9614 -0.9269 -0.8994 -0.8765 -0.8570 -0.8408 -0.8274 -0.8175 -0.8124
 -0.8146
 -4.8383 -4.4417 -4.0664 -3.7244 -3.4251 -3.1697 -2.9510 -2.7567 -2.5766 -2.4090
 -2.2593 -2.1312 -2.0191 -1.9127 -1.8059 -1.5641 -1.3804 -1.2416 -1.1388 -1.0631
 -1.0068 -0.9648 -0.9334 -0.9098 -0.8914 -0.8763 -0.8637 -0.8532 -0.8451 -0.8401
 -0.8399
 -4.8974 -4.4959 -4.1069 -3.7403 -3.4084 -3.1211 -2.8777 -2.6704 -2.4900 -2.3283
 -2.1830 -2.0548 -1.9452 -1.8522 -1.7697 -1.5708 -1.3891 -1.2475 -1.1416 -1.0638
 -1.0073 -0.9664 -0.9374 -0.9172 -0.9032 -0.8928 -0.8848 -0.8782 -0.8731 -0.8700
 -0.8695
 -4.9517 -4.5530 -4.1640 -3.7871 -3.4382 -3.1278 -2.8622 -2.6392 -2.4509 -2.2892
 -2.1474 -2.0221 -1.9116 -1.8156 -1.7323 -1.5588 -1.3966 -1.2542 -1.1450 -1.0645
 -1.0065 -0.9657 -0.9381 -0.9205 -0.9102 -0.9045 -0.9015 -0.8998 -0.8990 -0.8991
 -0.9006
 -5.0015 -4.6030 -4.2162 -3.8431 -3.4883 -3.1672 -2.8867 -2.6486 -2.4491 -2.2811
 -2.1372 -2.0120 -1.9015 -1.8038 -1.6937 -1.5281 -1.4029 -1.2617 -1.1490
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  Hp  
 -6.3448 -6.1519 -5.9711 -5.7940 -5.5967 -5.3187 -4.8650 -4.2160 -3.5720 -3.0199
 -2.6129 -2.3240 -2.1152 -1.9558 -1.8291 -1.5889 -1.4122 -1.2721 -1.1547
 -6.0517 -5.8316 -5.6326 -5.4485 -5.2613 -5.0252 -4.6365 -4.0797 -3.4905 -2.9717
 -2.5766 -2.2901 -2.0810 -1.9227 -1.7962 -1.5585 -1.3848 -1.2502 -1.1409 -1.0483
