 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
  1.0663  0.9812  0.8947  0.8081  0.7229  0.6392  0.5566  0.4751  0.3941  0.3131
  0.2312
  1.9588  1.9221  1.8858  1.8495  1.8140  1.7797  1.7467  1.7143  1.6818  1.6488
  1.6157  1.5831  1.5520  1.5226  1.4950  1.4336  1.3715  1.3031  1.2290  1.1505
  1.0681  0.9829  0.8958  0.8081  0.7215  0.6368  0.5538  0.4724  0.3922  0.3127
  0.2334
  1.9728  1.9332  1.8942  1.8562  1.8184  1.7818  1.7466  1.7134  1.6815  1.6502
  1.6193  1.5885  1.5584  1.5295  1.5020  1.4383  1.3763  1.3073  1.2326  1.1539
  1.0717  0.9864  0.8989  0.8104  0.7224  0.6361  0.5519  0.4697  0.3894  0.3103
  0.2322
  1.9925  1.9503  1.9092  1.8691  1.8302  1.7917  1.7547  1.7197  1.6865  1.6551
  1.6248  1.5950  1.5655  1.5366  1.5082  1.4429  1.3826  1.3134  1.2379
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  J   
  2.0101  1.9558  1.9022  1.8505  1.8023  1.7582  1.7185  1.6832  1.6515  1.6244
  1.6024  1.5853  1.5716  1.5593  1.5469  1.5082  1.4557  1.3907  1.3156
  2.0403  1.9836  1.9262  1.8699  1.8160  1.7659  1.7203  1.6791  1.6425  1.6110
  1.5852  1.5650  1.5492  1.5355  1.5219  1.4812  1.4281  1.3639  1.2909  1.2102
  2.0681  2.0122  1.9540  1.8954  1.8383  1.7839  1.7331  1.6865  1.6448  1.6085
  1.5783  1.5541  1.5352  1.5196  1.5050  1.4629  1.4091  1.3448  1.2726  1.1938
  1.1093
  2.0892  2.0371  1.9808  1.9225  1.8642  1.8073  1.7530  1.7021  1.6557  1.6145
  1.5795  1.5508  1.5281  1.5098  1.4936  1.4500  1.3956  1.3311  1.2591  1.1814
  1.0988  1.0127
  2.0840  2.0461  1.9993  1.9461  1.8895  1.8324  1.7766  1.7230  1.6728  1.6273
  1.5875  1.5540  1.5269  1.5052  1.4867  1.4410  1.3860  1.3214  1.2494  1.1720
  1.0905  1.0059  0.9198  0.8331
  2.0377  2.0178  1.9884  1.9483  1.9014  1.8507  1.7976  1.7445  1.6931  1.6448
  1.6012  1.5631  1.5313  1.5054  1.4839  1.4352  1.3794  1.3146  1.2425  1.1652
  1.0842  1.0005  0.9153  0.8298  0.7442  0.6582  0.5712  0.4825  0.3938  0.3083
  1.9951  1.9741  1.9515  1.9249  1.8923  1.8526  1.8063  1.7559  1.7061  1.6594
  1.6160  1.5760  1.5406  1.5104  1.4853  1.4323  1.3754  1.3102  1.2380  1.1607
  1.0798  0.9965  0.9117  0.8266  0.7419  0.6574  0.5727  0.4873  0.4007  0.3140
  0.2301
  1.9750  1.9487  1.9223  1.8958  1.8675  1.8359  1.8001  1.7596  1.7143  1.6674
  1.6231  1.5840  1.5497  1.5188  1.4908  1.4322  1.3738  1.3079  1.2356  1.1582
  1.0773  0.9940  0.9091  0.8239  0.7393  0.6554  0.5719  0.4887  0.4050  0.3204
  0.2353
  1.9690  1.9385  1.9078  1.8775  1.8476  1.8171  1.7847  1.7497  1.7116  1.6712
  1.6305  1.5913  1.5555  1.5243  1.4968  1.4347  1.3741  1.3073  1.2343  1.1568
  1.0756  0.9918  0.9066  0.8208  0.7355  0.6514  0.5681  0.4857  0.4038  0.3218
  0.2389
  1.9693  1.9372  1.9042  1.8708  1.8378  1.8053  1.7731  1.7402  1.7058  1.6700
  1.6335  1.5975  1.5635  1.5319  1.5030  1.4399  1.3772  1.3095  1.2362  1.1584
  1.0772  0.9931  0.9074  0.8209  0.7348  0.6499  0.5663  0.4841  0.4030  0.3224
  0.2420
  1.9733  1.9397  1.9055  1.8711  1.8361  1.8013  1.7673  1.7342  1.7014  1.6683
  1.6348  1.6014  1.5690  1.5382  1.5094  1.4445  1.3823  1.3136  1.2397  1.1618
  1.0804  0.9962  0.9102  0.8231  0.7359  0.6498  0.5652  0.4824  0.4011  0.3211
  0.2419
  1.9822  1.9462  1.9107  1.8753  1.8401  1.8042  1.7687  1.7343  1.7010  1.6688
  1.6371  1.6056  1.5745  1.5442  1.5160  1.4485  1.3894  1.3196  1.2448
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  J   
  1.9942  1.9442  1.8962  1.8515  1.8112  1.7762  1.7451  1.7157  1.6859  1.6572
  1.6317  1.6102  1.5924  1.5769  1.5617  1.5196  1.4657  1.4000  1.3249
  2.0314  1.9772  1.9236  1.8724  1.8248  1.7817  1.7433  1.7082  1.6748  1.6433
  1.6150  1.5910  1.5711  1.5541  1.5382  1.4943  1.4397  1.3747  1.3013  1.2215
  2.0669  2.0118  1.9556  1.9003  1.8474  1.7982  1.7531  1.7120  1.6742  1.6392
  1.6077  1.5805  1.5579  1.5390  1.5220  1.4770  1.4219  1.3568  1.2842  1.2059
  1.1221
  2.0969  2.0436  1.9875  1.9306  1.8748  1.8213  1.7711  1.7245  1.6818  1.6427
  1.6077  1.5770  1.5512  1.5296  1.5109  1.4645  1.4092  1.3442  1.2718  1.1942
  1.1122  1.0263
  2.1086  2.0677  2.0152  1.9596  1.9032  1.8476  1.7941  1.7433  1.6960  1.6527
  1.6138  1.5794  1.5499  1.5252  1.5041  1.4554  1.3999  1.3350  1.2628  1.1856
  1.1045  1.0202  0.9338  0.8462
  2.0867  2.0601  2.0228  1.9780  1.9271  1.8730  1.8187  1.7658  1.7152  1.6680
  1.6251  1.5869  1.5537  1.5254  1.5014  1.4493  1.3931  1.3283  1.2563  1.1794
  1.0988  1.0155  0.9301  0.8439  0.7573  0.6703  0.5819  0.4917  0.4023  0.3160
  2.0333  2.0165  1.9948  1.9653  1.9274  1.8832  1.8354  1.7852  1.7351  1.6864
  1.6407  1.5990  1.5620  1.5300  1.5027  1.4458  1.3885  1.3236  1.2519  1.1751
  1.0947  1.0119  0.9272  0.8417  0.7562  0.6708  0.5849  0.4979  0.4098  0.3223
  0.2378
  2.0018  1.9798  1.9574  1.9332  1.9053  1.8726  1.8348  1.7918  1.7448  1.6978
  1.6535  1.6120  1.5736  1.5387  1.5080  1.4453  1.3863  1.3209  1.2491  1.1725
