 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -4.1319 -3.9541 -3.7886 -3.6351 -3.4933 -3.1796 -2.8924 -2.6220 -2.3665
 -7.2812 -6.8920 -6.3850 -5.9326 -5.5449 -5.2036 -4.9194 -4.6594 -4.4223 -4.2162
 -4.0233 -3.8428 -3.6747 -3.5191 -3.3754 -3.0626 -2.7907 -2.5357 -2.2908 -2.0582
 -7.0518 -6.8416 -6.4247 -5.9716 -5.5563 -5.1903 -4.8796 -4.6107 -4.3689 -4.1559
 -3.9601 -3.7768 -3.6058 -3.4470 -3.3004 -2.9834 -2.7140 -2.4675 -2.2359 -2.0207
 -1.8253
 -6.7773 -6.4944 -6.3609 -6.0126 -5.6090 -5.2283 -4.8899 -4.6012 -4.3502 -4.1281
 -3.9288 -3.7426 -3.5684 -3.4059 -3.2554 -2.9308 -2.6605 -2.4191 -2.1970 -1.9941
 -1.8116 -1.6499
 -6.6127 -6.2075 -5.9986 -5.9084 -5.6422 -5.2882 -4.9418 -4.6297 -4.3610 -4.1274
 -3.9218 -3.7323 -3.5546 -3.3884 -3.2335 -2.8986 -2.6241 -2.3854 -2.1701 -1.9765
 -1.8044 -1.6521 -1.5196 -1.4065
 -6.6641 -6.1836 -5.8125 -5.5762 -5.4615 -5.2966 -5.0017 -4.6903 -4.4023 -4.1525
 -3.9344 -3.7407 -3.5597 -3.3897 -3.2304 -2.8833 -2.6016 -2.3629 -2.1523 -1.9658
 -1.8021 -1.6581 -1.5323 -1.4240 -1.3303 -1.2488 -1.1740 -1.1034 -1.0454 -1.0075
 -6.7656 -6.2480 -5.8123 -5.4699 -5.2251 -5.0629 -4.9357 -4.7341 -4.4668 -4.2030
 -3.9693 -3.7649 -3.5803 -3.4066 -3.2434 -2.8836 -2.5917 -2.3499 -2.1417 -1.9604
 -1.8031 -1.6662 -1.5471 -1.4443 -1.3562 -1.2798 -1.2113 -1.1498 -1.0949 -1.0490
 -1.0212
 -6.8990 -6.3593 -5.8866 -5.4889 -5.1715 -4.9299 -4.7436 -4.5924 -4.4451 -4.2525
