 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  I   
 -1.3804 -1.2451 -1.1365 -1.0534 -0.9901 -0.9403 -0.8984 -0.8599 -0.8211 -0.7691
 -0.7054 -0.6454 -0.5992 -0.5672 -0.5450 -0.5057 -0.4744 -0.4565 -0.4532 -0.4623
 -0.4819 -0.5094 -0.5432 -0.5825 -0.6261 -0.6728 -0.7224 -0.7745 -0.8295 -0.8878
 -0.9482
 -1.3527 -1.2017 -1.0731 -0.9671 -0.8826 -0.8165 -0.7641 -0.7224 -0.6891 -0.6604
 -0.6288 -0.5972 -0.5692 -0.5462 -0.5286 -0.4973 -0.4711 -0.4557 -0.4537 -0.4634
 -0.4832 -0.5111 -0.5453 -0.5847 -0.6284 -0.6752 -0.7243 -0.7753 -0.8284 -0.8841
 -0.9425
 -1.3515 -1.1901 -1.0509 -0.9322 -0.8337 -0.7542 -0.6912 -0.6416 -0.6024 -0.5717
 -0.5464 -0.5254 -0.5106 -0.5017 -0.4964 -0.4839 -0.4650 -0.4524 -0.4519 -0.4623
 -0.4822 -0.5105 -0.5450 -0.5848 -0.6288 -0.6759 -0.7252 -0.7758 -0.8279 -0.8820
 -0.9367
 -1.3650 -1.1965 -1.0482 -0.9208 -0.8137 -0.7256 -0.6548 -0.5989 -0.5556 -0.5225
 -0.4971 -0.4777 -0.4637 -0.4553 -0.4518 -0.4549 -0.4540 -0.4462 -0.4475 -0.4588
 -0.4792 -0.5076 -0.5426 -0.5829 -0.6274 -0.6753 -0.7252 -0.7763 -0.8281 -0.8808
 -0.9307
 -1.3808 -1.2104 -1.0571 -0.9225 -0.8090 -0.7146 -0.6382 -0.5775 -0.5304 -0.4946
 -0.4679 -0.4486 -0.4349 -0.4257 -0.3948 -0.4103 -0.4381 -0.4371 -0.4405
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  I   
 -2.6607 -2.6831 -2.7049 -2.6822 -2.5900 -2.3870 -2.0482 -1.5545 -1.1877 -0.9239
 -0.7661 -0.6786 -0.6249 -0.5854 -0.5520 -0.4822 -0.4305 -0.3977 -0.3845
 -2.4300 -2.4393 -2.4522 -2.4515 -2.4101 -2.2835 -2.0083 -1.5745 -1.1970 -0.9289
 -0.7680 -0.6781 -0.6244 -0.5863 -0.5545 -0.4880 -0.4394 -0.4097 -0.3986 -0.4041
