 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -8.5047 -8.0275 -7.5854 -7.1917 -6.8528 -6.5658 -6.3229 -6.1154 -5.9361 -5.7784
 -5.6366 -5.5073 -5.3884 -5.2732 -5.1450 -4.7206 -4.2457 -3.8187 -3.4481 -3.1353
 -2.8832 -2.6907 -2.5559 -2.4717 -2.4254 -2.4041 -2.3988 -2.4026 -2.4115 -2.4220
 -2.4316
 -8.6093 -8.1743 -7.7431 -7.3430 -6.9853 -6.6739 -6.4052 -6.1717 -5.9672 -5.7856
 -5.6219 -5.4715 -5.3310 -5.1983 -5.0713 -4.7270 -4.2921 -3.8595 -3.4819 -3.1590
 -2.8915 -2.6799 -2.5235 -2.4192 -2.3576 -2.3261 -2.3148 -2.3159 -2.3245 -2.3371
 -2.3507
 -8.5863 -8.2023 -7.8203 -7.4493 -7.1061 -6.7949 -6.5161 -6.2664 -6.0423 -5.8396
 -5.6547 -5.4844 -5.3255 -5.1754 -5.0321 -4.6967 -4.3322 -3.9201 -3.5348 -3.2018
 -2.9203 -2.6906 -2.5128 -2.3858 -2.3045 -2.2583 -2.2371 -2.2323 -2.2379 -2.2501
 -2.2655
 -8.4861 -8.1353 -7.7956 -7.4701 -7.1662 -6.8841 -6.6218 -6.3761 -6.1456 -5.9297
 -5.7277 -5.5389 -5.3620 -5.1953 -5.0274 -4.6297 -4.3660 -4.0005 -3.6068
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  u   
 -8.8698 -8.8061 -8.7306 -8.6366 -8.5287 -8.3634 -8.0926 -7.7109 -7.3296 -7.0160
 -6.7772 -6.5885 -6.4286 -6.2797 -6.1310 -5.7292 -5.2807 -4.8113 -4.3611
 -8.3873 -8.3200 -8.2460 -8.1592 -8.0536 -7.9149 -7.7029 -7.4145 -7.1120 -6.8428
 -6.6177 -6.4275 -6.2563 -6.0910 -5.9230 -5.4786 -5.0066 -4.5464 -4.1336 -3.7885
 -7.9953 -7.9110 -7.8301 -7.7442 -7.6465 -7.5281 -7.3627 -7.1424 -6.9014 -6.6695
 -6.4594 -6.2690 -6.0898 -5.9127 -5.7320 -5.2644 -4.7886 -4.3397 -3.9490 -3.6294
 -3.3848
 -7.7609 -7.6205 -7.5071 -7.4066 -7.3065 -7.1970 -7.0631 -6.8903 -6.6956 -6.4973
 -6.3054 -6.1213 -5.9407 -5.7586 -5.5717 -5.0939 -4.6217 -4.1823 -3.8040 -3.4983
 -3.2648 -3.0998
 -7.7036 -7.4882 -7.3215 -7.1795 -7.0532 -6.9356 -6.8131 -6.6696 -6.5075 -6.3370
 -6.1645 -5.9917 -5.8163 -5.6353 -5.4474 -4.9661 -4.4985 -4.0670 -3.6944 -3.3941
 -3.1644 -3.0006 -2.8940 -2.8286
 -7.8024 -7.4855 -7.2262 -7.0206 -6.8611 -6.7338 -6.6167 -6.4916 -6.3511 -6.2005
 -6.0446 -5.8846 -5.7186 -5.5440 -5.3593 -4.8787 -4.4137 -3.9876 -3.6168 -3.3156
 -3.0840 -2.9161 -2.8051 -2.7383 -2.7008 -2.6801 -2.6687 -2.6614 -2.6525 -2.6349
 -7.9870 -7.5991 -7.2663 -6.9869 -6.7577 -6.5710 -6.4196 -6.2966 -6.1891 -6.0768
 -5.9470 -5.8017 -5.6463 -5.4810 -5.3035 -4.8282 -4.3638 -3.9402 -3.5690 -3.2624
 -3.0237 -2.8471 -2.7270 -2.6537 -2.6134 -2.5934 -2.5846 -2.5817 -2.5804 -2.5760
 -2.5631
 -8.2395 -7.7882 -7.3935 -7.0544 -6.7691 -6.5319 -6.3348 -6.1696 -6.0295 -5.9105
 -5.8065 -5.7031 -5.5817 -5.4365 -5.2726 -4.8106 -4.3461 -3.9223 -3.5487 -3.2342
 -2.9844 -2.7952 -2.6620 -2.5775 -2.5300 -2.5069 -2.4984 -2.4977 -2.5006 -2.5033
 -2.5028
 -8.5293 -8.0312 -7.5843 -7.1922 -6.8567 -6.5741 -6.3372 -6.1373 -5.9666 -5.8182
 -5.6872 -5.5706 -5.4644 -5.3569 -5.2308 -4.8165 -4.3540 -3.9278 -3.5504 -3.2272
 -2.9637 -2.7592 -2.6099 -2.5107 -2.4525 -2.4230 -2.4119 -2.4114 -2.4164 -2.4237
 -2.4302
 -8.7679 -8.2829 -7.8137 -7.3860 -7.0090 -6.6857 -6.4114 -6.1778 -5.9771 -5.8023
 -5.6473 -5.5071 -5.3785 -5.2594 -5.1462 -4.8215 -4.3919 -3.9635 -3.5815 -3.2493
 -2.9710 -2.7483 -2.5794 -2.4610 -2.3867 -2.3460 -2.3284 -2.3249 -2.3299 -2.3392
 -2.3500
 -8.8610 -8.4290 -7.9973 -7.5734 -7.1841 -6.8371 -6.5341 -6.2715 -6.0427 -5.8415
 -5.6624 -5.5006 -5.3520 -5.2135 -5.0832 -4.7803 -4.4303 -4.0186 -3.6318 -3.2913
 -2.9996 -2.7593 -2.5703 -2.4305 -2.3364 -2.2801 -2.2518 -2.2419 -2.2438 -2.2528
 -2.2654
 -8.8347 -8.4447 -8.0599 -7.6824 -7.3184 -6.9817 -6.6748 -6.3985 -6.1501 -5.9268
 -5.7249 -5.5412 -5.3725 -5.2158 -5.0418 -4.6929 -4.4692 -4.0931 -3.7013
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  u   
 -8.9282 -8.8842 -8.8269 -8.7510 -8.6657 -8.5180 -8.2486 -7.8447 -7.4232 -7.0740
 -6.8134 -6.6156 -6.4551 -6.3122 -6.1715 -5.7919 -5.3565 -4.8974 -4.4590
 -8.4341 -8.3899 -8.3355 -8.2668 -8.1786 -8.0558 -7.8528 -7.5489 -7.2101 -6.9064
 -6.6625 -6.4656 -6.2971 -6.1410 -5.9848 -5.5651 -5.1031 -4.6431 -4.2309 -3.8798
 -8.0152 -7.9632 -7.9069 -7.8410 -7.7612 -7.6584 -7.5026 -7.2741 -7.0058 -6.7439
 -6.5156 -6.3198 -6.1450 -5.9790 -5.8122 -5.3710 -4.9023 -4.4483 -4.0506 -3.7223
 -3.4657
 -7.7120 -7.6291 -7.5571 -7.4854 -7.4068 -7.3146 -7.1924 -7.0173 -6.8051 -6.5829
 -6.3736 -6.1832 -6.0066 -5.8355 -5.6630 -5.2127 -4.7470 -4.3004 -3.9107 -3.5932
 -3.3472 -3.1672
 -7.6118 -7.4521 -7.3237 -7.2194 -7.1270 -7.0335 -6.9270 -6.7878 -6.6166 -6.4293
 -6.2415 -6.0611 -5.8873 -5.7158 -5.5415 -5.0884 -4.6287 -4.1904 -3.8051 -3.4911
 -3.2482 -3.0696 -2.9474 -2.8680
 -7.6710 -7.4128 -7.2149 -7.0645 -6.9397 -6.8262 -6.7165 -6.5951 -6.4513 -6.2912
 -6.1245 -5.9571 -5.7903 -5.6222 -5.4495 -4.9976 -4.5422 -4.1119 -3.7294 -3.4139
 -3.1686 -2.9862 -2.8594 -2.7783 -2.7297 -2.7014 -2.6841 -2.6724 -2.6593 -2.6375
 -7.8565 -7.5096 -7.2190 -6.9829 -6.7948 -6.6462 -6.5271 -6.4208 -6.3057 -6.1723
