 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.4144 -3.2918 -3.1787 -3.0750 -2.9807 -2.7864 -2.6412 -2.5299 -2.4417 -2.3704
 -2.3132 -2.2680 -2.2318 -2.2011
 -5.4344 -5.0416 -4.7542 -4.5691 -4.4778 -4.3405 -4.1128 -3.8980 -3.7122 -3.5538
 -3.4166 -3.2947 -3.1825 -3.0793 -2.9851 -2.7892 -2.6421 -2.5303 -2.4429 -2.3736
 -2.3188 -2.2761 -2.2426 -2.2153 -2.1927 -2.1747 -2.1634 -2.1602 -2.1638 -2.1727
 -5.5800 -5.1201 -4.7682 -4.5027 -4.3109 -4.1809 -4.0805 -3.9268 -3.7389 -3.5696
 -3.4255 -3.3011 -3.1896 -3.0869 -2.9928 -2.7956 -2.6461 -2.5324 -2.4448 -2.3764
 -2.3233 -2.2829 -2.2523 -2.2280 -2.2079 -2.1917 -2.1797 -2.1734 -2.1742 -2.1825
 -2.1963
 -5.7864 -5.2672 -4.8533 -4.5331 -4.2871 -4.0990 -3.9522 -3.8350 -3.7267 -3.5926
 -3.4439 -3.3122 -3.1992 -3.0971 -3.0031 -2.8046 -2.6526 -2.5363 -2.4470 -2.3786
 -2.3266 -2.2880 -2.2600 -2.2390 -2.2224 -2.2088 -2.1986 -2.1917 -2.1897 -2.1945
 -2.2073
 -6.0316 -5.4652 -4.9989 -4.6229 -4.3288 -4.1002 -3.9202 -3.7721 -3.6454 -3.5353
 -3.4320 -3.3218 -3.2089 -3.1070 -3.0134 -2.8140 -2.6597 -2.5405 -2.4488 -2.3793
 -2.3277 -2.2904 -2.2647 -2.2472 -2.2344 -2.2246 -2.2172 -2.2123 -2.2099 -2.2121
 -2.2206
 -6.2815 -5.6984 -5.1995 -4.7767 -4.4313 -4.1583 -3.9439 -3.7718 -3.6281 -3.5023
 -3.3905 -3.2910 -3.1990 -3.1106 -3.0242 -2.8270 -2.6704 -2.5481 -2.4530 -2.3810
 -2.3284 -2.2915 -2.2672 -2.2525 -2.2436 -2.2380 -2.2345 -2.2327 -2.2326 -2.2348
 -2.2404
 -6.5249 -5.9405 -5.4263 -4.9757 -4.5896 -4.2706 -4.0148 -3.8112 -3.6463 -3.5076
 -3.3864 -3.2783 -3.1815 -3.0951 -3.0174 -2.8383 -2.6822 -2.5572 -2.4586 -2.3832
 -2.3284 -2.2907 -2.2669 -2.2540 -2.2485 -2.2473 -2.2484 -2.2507 -2.2539 -2.2584
 -2.2632
 -6.7618 -6.1915 -5.6585 -5.1971 -4.7865 -4.4334 -4.1366 -3.8948 -3.6997 -3.5401
 -3.4059 -3.2897 -3.1865 -3.0945 -2.9930 -2.8479 -2.6951 -2.5678 -2.4656
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  V   
 -5.8141 -5.4062 -5.0719 -4.8040 -4.5452 -4.3145 -4.1121 -3.9308 -3.7642 -3.6218
 -3.4871 -3.3613 -3.2454 -3.1396 -3.0435 -2.8410 -2.6788 -2.5492 -2.4476
 -5.8727 -5.4363 -5.0683 -4.7668 -4.5104 -4.2747 -4.0696 -3.8879 -3.7211 -3.5779
 -3.4438 -3.3191 -3.2043 -3.0995 -3.0045 -2.8074 -2.6561 -2.5362 -2.4377 -2.3541
