 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1138 -1.2186 -1.3208 -1.4217 -1.5216 -1.6194 -1.7128 -1.7994 -1.8810 -1.9616
 -2.0423 -2.1219 -2.1989 -2.2729 -2.3441 -2.5183 -2.6928 -2.8640 -3.0285 -3.1859
 -3.3365 -3.4804 -3.6184 -3.7516 -3.8798 -4.0035 -4.1232 -4.2394 -4.3523 -4.4620
 -4.5684
 -1.1180 -1.2208 -1.3198 -1.4163 -1.5117 -1.6060 -1.6982 -1.7861 -1.8691 -1.9485
 -2.0271 -2.1069 -2.1876 -2.2680 -2.3455 -2.5240 -2.6975 -2.8690 -3.0337 -3.1910
 -3.3414 -3.4852 -3.6230 -3.7560 -3.8843 -4.0080 -4.1277 -4.2434 -4.3558 -4.4649
 -4.5708
 -1.1213 -1.2242 -1.3220 -1.4162 -1.5082 -1.5991 -1.6888 -1.7763 -1.8607 -1.9413
 -2.0187 -2.0945 -2.1707 -2.2484 -2.3275 -2.5219 -2.6989 -2.8700 -3.0348 -3.1920
 -3.3421 -3.4858 -3.6235 -3.7562 -3.8844 -4.0083 -4.1280 -4.2436 -4.3555 -4.4640
 -4.5694
 -1.1218 -1.2259 -1.3244 -1.4180 -1.5085 -1.5972 -1.6845 -1.7706 -1.8548 -1.9364
 -2.0148 -2.0904 -2.1640 -2.2373 -2.3117 -2.5049 -2.6967 -2.8704 -3.0353 -3.1925
 -3.3424 -3.4860 -3.6237 -3.7562 -3.8844 -4.0084 -4.1282 -4.2439 -4.3557 -4.4639
 -4.5689
 -1.1204 -1.2248 -1.3241 -1.4187 -1.5091 -1.5970 -1.6830 -1.7676 -1.8508 -1.9322
 -2.0114 -2.0880 -2.1619 -2.2339 -2.2981 -2.4730 -2.6909 -2.8702 -3.0352
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =F1000W
 -1.0717 -1.1564 -1.2354 -1.3112 -1.3854 -1.4611 -1.5440 -1.6366 -1.7318 -1.8257
 -1.9169 -2.0044 -2.0874 -2.1651 -2.2385 -2.4072 -2.5682 -2.7307 -2.8985
 -1.1324 -1.2253 -1.3105 -1.3891 -1.4627 -1.5339 -1.6082 -1.6909 -1.7795 -1.8701
 -1.9595 -2.0462 -2.1290 -2.2072 -2.2812 -2.4524 -2.6136 -2.7793 -2.9460 -3.1059
