 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.0352 -1.9719 -1.7774 -1.5683 -1.3819 -1.2168 -1.0775 -0.9616 -0.8610 -0.7713
 -0.6896 -0.6130 -0.5411 -0.4735 -0.4101 -0.2711 -0.1592 -0.0716 -0.0048  0.0457
  0.0836
 -1.8840 -1.7836 -1.7551 -1.5893 -1.4004 -1.2297 -1.0803 -0.9556 -0.8510 -0.7596
 -0.6784 -0.6031 -0.5325 -0.4660 -0.4036 -0.2665 -0.1561 -0.0705 -0.0060  0.0422
  0.0781  0.1047
 -1.7759 -1.6165 -1.5448 -1.5366 -1.4151 -1.2488 -1.0946 -0.9602 -0.8477 -0.7530
 -0.6705 -0.5960 -0.5266 -0.4614 -0.4001 -0.2648 -0.1554 -0.0708 -0.0078  0.0388
  0.0730  0.0979  0.1160  0.1297
 -1.7711 -1.5882 -1.4357 -1.3381 -1.3083 -1.2484 -1.1125 -0.9747 -0.8534 -0.7518
 -0.6655 -0.5907 -0.5221 -0.4580 -0.3977 -0.2644 -0.1560 -0.0719 -0.0096  0.0357
  0.0685  0.0916  0.1078  0.1194  0.1272  0.1314  0.1314  0.1268  0.1175  0.1033
 -1.7767 -1.5905 -1.4209 -1.2766 -1.1686 -1.1036 -1.0639 -0.9838 -0.8679 -0.7583
 -0.6656 -0.5871 -0.5185 -0.4551 -0.3959 -0.2645 -0.1570 -0.0733 -0.0113  0.0334
  0.0649  0.0865  0.1006  0.1098  0.1156  0.1183  0.1179  0.1137  0.1051  0.0916
  0.0731
 -1.7856 -1.6014 -1.4286 -1.2725 -1.1377 -1.0287 -0.9460 -0.8867 -0.8360 -0.7638
 -0.6721 -0.5876 -0.5161 -0.4530 -0.3943 -0.2646 -0.1580 -0.0744 -0.0123  0.0320
  0.0628  0.0828  0.0948  0.1014  0.1044  0.1047  0.1024  0.0975  0.0894  0.0773
  0.0597
 -1.7981 -1.6130 -1.4416 -1.2827 -1.1395 -1.0146 -0.9094 -0.8225 -0.7512 -0.6932
