 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.9402 -2.8708 -2.8136 -2.7646 -2.7183 -2.6675 -2.5997 -2.4842 -2.3052 -2.0982
 -1.8976 -1.7210 -1.5736 -1.4540 -1.3580 -1.1889 -1.0737 -0.9882 -0.9247 -0.8773
 -0.8414 -0.8145 -0.7948 -0.7806
 -2.8050 -2.7478 -2.6768 -2.6148 -2.5596 -2.5070 -2.4506 -2.3742 -2.2476 -2.0797
 -1.9011 -1.7340 -1.5885 -1.4668 -1.3673 -1.1920 -1.0758 -0.9905 -0.9273 -0.8809
 -0.8465 -0.8210 -0.8029 -0.7906 -0.7826 -0.7785 -0.7785 -0.7826 -0.7906 -0.8027
 -2.6934 -2.6038 -2.5352 -2.4774 -2.4225 -2.3679 -2.3124 -2.2521 -2.1669 -2.0408
 -1.8909 -1.7395 -1.6005 -1.4798 -1.3782 -1.1964 -1.0784 -0.9928 -0.9297 -0.8839
 -0.8506 -0.8267 -0.8103 -0.8000 -0.7942 -0.7919 -0.7927 -0.7968 -0.8044 -0.8163
 -0.8325
 -2.6378 -2.5146 -2.4109 -2.3287 -2.2646 -2.2128 -2.1663 -2.1176 -2.0586 -1.9735
 -1.8596 -1.7318 -1.6055 -1.4899 -1.3889 -1.2018 -1.0809 -0.9950 -0.9319 -0.8861
 -0.8537 -0.8312 -0.8166 -0.8084 -0.8050 -0.8051 -0.8079 -0.8130 -0.8207 -0.8319
 -0.8477
 -2.6221 -2.4848 -2.3597 -2.2503 -2.1587 -2.0841 -2.0218 -1.9671 -1.9121 -1.8488
 -1.7705 -1.6808 -1.5844 -1.4867 -1.3938 -1.2065 -1.0824 -0.9958 -0.9326 -0.8869
 -0.8551 -0.8338 -0.8209 -0.8148 -0.8141 -0.8170 -0.8225 -0.8295 -0.8385 -0.8502
 -0.8650
 -2.6271 -2.4836 -2.3497 -2.2255 -2.1142 -2.0179 -1.9360 -1.8650 -1.7999 -1.7344
 -1.6629 -1.5868 -1.5119 -1.4408 -1.3725 -1.2118 -1.0855 -0.9973 -0.9335 -0.8875
 -0.8557 -0.8352 -0.8236 -0.8193 -0.8209 -0.8267 -0.8353 -0.8455 -0.8569 -0.8692
 -0.8843
 -2.6409 -2.4966 -2.3586 -2.2280 -2.1061 -1.9950 -1.8963 -1.8097 -1.7329 -1.6617
 -1.5912 -1.5192 -1.4480 -1.3817 -1.3225 -1.1980 -1.0877 -0.9983 -0.9337 -0.8872
 -0.8550 -0.8348 -0.8241 -0.8212 -0.8247 -0.8332 -0.8449 -0.8585 -0.8730 -0.8883
 -0.9056
 -2.6509 -2.5111 -2.3746 -2.2420 -2.1162 -1.9976 -1.8880 -1.7888 -1.7003 -1.6209
 -1.5475 -1.4778 -1.4103 -1.3462 -1.2438 -1.1651 -1.0890 -0.9988 -0.9332
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =F350LP
 -3.7980 -3.8205 -3.8413 -3.8208 -3.7325 -3.5460 -3.2481 -2.8151 -2.4703 -2.1702
 -1.9209 -1.7262 -1.5764 -1.4597 -1.3674 -1.1995 -1.0792 -0.9866 -0.9128
 -3.5795 -3.5921 -3.6019 -3.5963 -3.5547 -3.4424 -3.2066 -2.8233 -2.4661 -2.1629
 -1.9150 -1.7198 -1.5683 -1.4505 -1.3571 -1.1898 -1.0718 -0.9821 -0.9128 -0.8585
