 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -6.9925 -6.6488 -6.3354 -6.0505 -5.7905 -5.5504 -5.3258 -5.1140 -4.9145 -4.7269
 -4.5510 -4.3859 -4.2307 -4.0842 -3.9458 -3.6312 -3.3633 -3.1423 -2.9693 -2.8342
 -2.7262 -2.6416 -2.5767 -2.5257 -2.4830 -2.4446 -2.4086 -2.3740 -2.3405 -2.3085
 -2.2785
 -6.9416 -6.6262 -6.3352 -6.0663 -5.8168 -5.5845 -5.3666 -5.1590 -4.9599 -4.7699
 -4.5895 -4.4193 -4.2590 -4.1080 -3.9683 -3.6380 -3.3750 -3.1599 -2.9801
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  B   
 -8.5863 -8.3813 -8.1802 -7.9714 -7.7610 -7.5101 -7.1962 -6.8245 -6.4732 -6.1571
 -5.8641 -5.5915 -5.3392 -5.1073 -4.8924 -4.4144
 -8.0053 -7.7741 -7.5546 -7.3390 -7.1246 -6.8926 -6.6236 -6.3187 -6.0307 -5.7644
 -5.5094 -5.2600 -5.0198 -4.7969 -4.5934 -4.1546 -3.7758 -3.4341 -3.1348
 -7.5569 -7.2940 -7.0521 -6.8258 -6.6084 -6.3918 -6.1601 -5.9088 -5.6698 -5.4439
 -5.2228 -4.9991 -4.7750 -4.5617 -4.3669 -3.9564 -3.6182 -3.3238 -3.0642 -2.8439
 -2.6624
 -7.2411 -6.9410 -6.6727 -6.4318 -6.2125 -6.0076 -5.8057 -5.5948 -5.3905 -5.1956
 -5.0043 -4.8088 -4.6048 -4.4017 -4.2129 -3.8198 -3.5079 -3.2453 -3.0162 -2.8189
 -2.6543 -2.5157 -2.3960
 -7.0503 -6.6962 -6.4029 -6.1509 -5.9245 -5.7216 -5.5348 -5.3520 -5.1732 -5.0019
 -4.8346 -4.6650 -4.4859 -4.2973 -4.1143 -3.7309 -3.4348 -3.1927 -2.9856 -2.8067
 -2.6558 -2.5278 -2.4164 -2.3174 -2.2275
 -6.9838 -6.5750 -6.2353 -5.9535 -5.7191 -5.5233 -5.3535 -5.1859 -5.0199 -4.8597
 -4.7055 -4.5537 -4.3977 -4.2295 -4.0551 -3.6769 -3.3891 -3.1598 -2.9679 -2.8033
 -2.6638 -2.5454 -2.4420 -2.3493 -2.2651 -2.1879
 -7.0302 -6.5826 -6.1979 -5.8741 -5.6065 -5.3866 -5.2068 -5.0582 -4.9229 -4.7837
 -4.6319 -4.4801 -4.3319 -4.1821 -4.0217 -3.6477 -3.3625 -3.1406 -2.9589 -2.8053
 -2.6756 -2.5656 -2.4699 -2.3838 -2.3051 -2.2326 -2.1662 -2.1033 -2.0461 -2.0102
 -7.1423 -6.6607 -6.2460 -5.8955 -5.6019 -5.3580 -5.1552 -4.9841 -4.8360 -4.7053
 -4.5826 -4.4502 -4.3036 -4.1537 -4.0035 -3.6367 -3.3495 -3.1306 -2.9553 -2.8098
 -2.6879 -2.5857 -2.4975 -2.4185 -2.3458 -2.2784 -2.2161 -2.1587 -2.1054 -2.0590
 -2.0327
 -7.3045 -6.7924 -6.3492 -5.9727 -5.6565 -5.3911 -5.1672 -4.9766 -4.8118 -4.6651
 -4.5304 -4.4039 -4.2797 -4.1466 -4.0028 -3.6395 -3.3469 -3.1271 -2.9551 -2.8149
 -2.6997 -2.6033 -2.5223 -2.4506 -2.3848 -2.3233 -2.2661 -2.2121 -2.1628 -2.1199
 -2.0845
 -7.4711 -6.9497 -6.4844 -6.0865 -5.7487 -5.4627 -5.2192 -5.0094 -4.8263 -4.6640
 -4.5164 -4.3786 -4.2476 -4.1217 -3.9953 -3.6529 -3.3510 -3.1267 -2.9554 -2.8184
 -2.7065 -2.6157 -2.5410 -2.4767 -2.4185 -2.3641 -2.3131 -2.2650 -2.2204 -2.1798
 -2.1444
 -7.6130 -7.1014 -6.6374 -6.2287 -5.8746 -5.5700 -5.3075 -5.0790 -4.8778 -4.6983
 -4.5359 -4.3864 -4.2460 -4.1126 -3.9852 -3.6705 -3.3714 -3.1355 -2.9608 -2.8243
 -2.7142 -2.6259 -2.5554 -2.4974 -2.4468 -2.4001 -2.3565 -2.3149 -2.2757 -2.2392
 -2.2056
 -7.7082 -7.2221 -6.7758 -6.3691 -6.0106 -5.6951 -5.4178 -5.1727 -4.9544 -4.7585
 -4.5807 -4.4179 -4.2668 -4.1251 -3.9909 -3.6799 -3.3951 -3.1532 -2.9698 -2.8310
 -2.7211 -2.6334 -2.5648 -2.5111 -2.4669 -2.4280 -2.3923 -2.3583 -2.3258 -2.2950
 -2.2665
 -7.7386 -7.2921 -6.8748 -6.4868 -6.1352 -5.8192 -5.5357 -5.2798 -5.0480 -4.8374
 -4.6453 -4.4693 -4.3068 -4.1556 -4.0124 -3.6811 -3.4221 -3.1798 -2.9824
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  B   
 -9.0335 -8.8961 -8.7508 -8.5843 -8.4151 -8.1454 -7.7015 -7.1035 -6.5938 -6.0710
 -5.7189 -5.4287 -5.1799 -4.9578 -4.7560 -4.3203
 -8.4231 -8.2691 -8.1116 -7.9395 -7.7487 -7.4905 -7.1137 -6.6186 -6.1452 -5.7559
 -5.4379 -5.1655 -4.9244 -4.7077 -4.5120 -4.0976 -3.7563 -3.4474 -3.1670
 -7.9188 -7.7447 -7.5717 -7.3916 -7.1913 -6.9504 -6.6339 -6.2289 -5.8395 -5.5041
 -5.2177 -4.9644 -4.7336 -4.5228 -4.3316 -3.9314 -3.6095 -3.3350 -3.0920 -2.8760
 -2.6895
 -7.5206 -7.3229 -7.1311 -6.9406 -6.7430 -6.5251 -6.2621 -5.9344 -5.6080 -5.3156
 -5.0583 -4.8254 -4.6075 -4.4031 -4.2148 -3.8217 -3.5138 -3.2595 -3.0397 -2.8455
 -2.6760 -2.5316 -2.4069
 -7.2445 -7.0121 -6.7946 -6.5868 -6.3839 -6.1790 -5.9583 -5.6948 -5.4204 -5.1655
 -4.9355 -4.7243 -4.5229 -4.3278 -4.1432 -3.7526 -3.4519 -3.2099 -3.0056 -2.8276
 -2.6720 -2.5379 -2.4218 -2.3201 -2.2280
 -7.1070 -6.8139 -6.5611 -6.3310 -6.1145 -5.9086 -5.7072 -5.4925 -5.2622 -5.0400
 -4.8349 -4.6446 -4.4617 -4.2804 -4.1021 -3.7122 -3.4136 -3.1788 -2.9848 -2.8187
 -2.6747 -2.5502 -2.4423 -2.3468 -2.2613 -2.1828
 -7.1083 -6.7316 -6.4077 -6.1332 -5.9004 -5.6983 -5.5115 -5.3268 -5.1317 -4.9363
 -4.7511 -4.5780 -4.4124 -4.2476 -4.0800 -3.6924 -3.3921 -3.1606 -2.9733 -2.8160
 -2.6813 -2.5654 -2.4651 -2.3765 -2.2965 -2.2234 -2.1566 -2.0932 -2.0365 -2.0003
 -7.1961 -6.7629 -6.3812 -6.0517 -5.7723 -5.5360 -5.3353 -5.1645 -5.0098 -4.8548
 -4.6931 -4.5310 -4.3740 -4.2211 -4.0677 -3.6878 -3.3828 -3.1513 -2.9681 -2.8169
 -2.6896 -2.5813 -2.4883 -2.4066 -2.3328 -2.2652 -2.2035 -2.1465 -2.0933 -2.0471
 -2.0198
 -7.3600 -6.8740 -6.4451 -6.0726 -5.7537 -5.4846 -5.2583 -5.0666 -4.9008 -4.7543
 -4.6218 -4.4930 -4.3555 -4.2091 -4.0612 -3.6949 -3.3836 -3.1486 -2.9669 -2.8197
 -2.6979 -2.5959 -2.5096 -2.4349 -2.3679 -2.3064 -2.2498 -2.1976 -2.1499 -2.1064
 -2.0712
 -7.6094 -7.0580 -6.5799 -6.1651 -5.8100 -5.5094 -5.2564 -5.0433 -4.8618 -4.7041
 -4.5633 -4.4346 -4.3135 -4.1920 -4.0604 -3.7074 -3.3906 -3.1495 -2.9665 -2.8218
 -2.7038 -2.6067 -2.5262 -2.4582 -2.3984 -2.3439 -2.2936 -2.2467 -2.2035 -2.1643
 -2.1299
 -7.9047 -7.3185 -6.7909 -6.3315 -5.9373 -5.6031 -5.3213 -5.0833 -4.8807 -4.7064
 -4.5532 -4.4149 -4.2864 -4.1643 -4.0450 -3.7288 -3.4109 -3.1599 -2.9722 -2.8270
 -2.7108 -2.6165 -2.5402 -2.4777 -2.4246 -2.3774 -2.3342 -2.2937 -2.2560 -2.2214
 -2.1902
 -8.1866 -7.5889 -7.0434 -6.5496 -6.1192 -5.7510 -5.4386 -5.1734 -4.9468 -4.7513
 -4.5802 -4.4277 -4.2887 -4.1589 -4.0351 -3.7387 -3.4404 -3.1784 -2.9821 -2.8337
 -2.7173 -2.6243 -2.5502 -2.4915 -2.4441 -2.4038 -2.3680 -2.3348 -2.3037 -2.2747
 -2.2481
 -8.3872 -7.8219 -7.2807 -6.7815 -6.3307 -5.9368 -5.5974 -5.3054 -5.0538 -4.8352
 -4.6433 -4.4726 -4.3188 -4.1777 -4.0307 -3.7371 -3.4791 -3.2050 -2.9962
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  B   
 -9.2087 -9.0886 -8.9586 -8.8053 -8.6543 -8.3817 -7.8949 -7.2216 -6.6368 -6.0640
 -5.6937 -5.3983 -5.1489 -4.9301 -4.7320 -4.3062
 -8.6012 -8.4654 -8.3251 -8.1680 -7.9899 -7.7293 -7.3210 -6.7612 -6.2157 -5.7789
 -5.4385 -5.1586 -4.9167 -4.7022 -4.5088 -4.1004 -3.7629 -3.4640 -3.1901
 -8.0924 -7.9375 -7.7829 -7.6188 -7.4288 -7.1867 -6.8475 -6.3891 -5.9364 -5.5539
 -5.2414 -4.9772 -4.7440 -4.5341 -4.3442 -3.9467 -3.6273 -3.3550 -3.1135 -2.8973
 -2.7086
 -7.6823 -7.5049 -7.3320 -7.1577 -6.9711 -6.7540 -6.4744 -6.1053 -5.7263 -5.3890
 -5.1024 -4.8541 -4.6308 -4.4258 -4.2382 -3.8451 -3.5363 -3.2809 -3.0600 -2.8644
 -2.6916 -2.5431 -2.4141
 -7.3843 -7.1755 -6.9777 -6.7862 -6.5947 -6.3929 -6.1621 -5.8684 -5.5520 -5.2570
 -4.9967 -4.7664 -4.5556 -4.3578 -4.1730 -3.7808 -3.4768 -3.2317 -3.0245 -2.8440
 -2.6850 -2.5467 -2.4268 -2.3213 -2.2266
 -7.2180 -6.9584 -6.7254 -6.5090 -6.3021 -6.1003 -5.8947 -5.6607 -5.3986 -5.1429
 -4.9092 -4.6982 -4.5025 -4.3152 -4.1353 -3.7429 -3.4395 -3.2003 -3.0023 -2.8326
 -2.6849 -2.5563 -2.4448 -2.3469 -2.2595 -2.1800
 -7.1812 -6.8329 -6.5393 -6.2912 -6.0749 -5.8735 -5.6772 -5.4783 -5.2613 -5.0407
 -4.8322 -4.6401 -4.4604 -4.2866 -4.1152 -3.7242 -3.4180 -3.1814 -2.9894 -2.8278
 -2.6891 -2.5689 -2.4650 -2.3740 -2.2926 -2.2190 -2.1512 -2.0876 -2.0311 -1.9951
 -7.2501 -6.8345 -6.4698 -6.1579 -5.8932 -5.6667 -5.4716 -5.2996 -5.1305 -4.9511
 -4.7681 -4.5915 -4.4247 -4.2643 -4.1046 -3.7199 -3.4088 -3.1713 -2.9830 -2.8271
 -2.6953 -2.5827 -2.4858 -2.4016 -2.3265 -2.2583 -2.1965 -2.1392 -2.0862 -2.0405
 -2.0133
 -7.3969 -6.9256 -6.5082 -6.1445 -5.8335 -5.5701 -5.3463 -5.1541 -4.9859 -4.8341
 -4.6930 -4.5512 -4.4018 -4.2494 -4.0985 -3.7271 -3.4099 -3.1684 -2.9810 -2.8289
