 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Btycho
 -7.1381 -6.8753 -6.6321 -6.4057 -6.1963 -5.7360 -5.3377 -4.9694 -4.6235
 -9.3971 -9.2374 -9.0807 -8.9168 -8.7314 -8.5020 -8.1955 -7.8244 -7.4672 -7.1577
 -6.8871 -6.6394 -6.4054 -6.1853 -5.9807 -5.5366 -5.1605 -4.8253 -4.5201 -4.2428
 -9.0037 -8.8136 -8.6351 -8.4602 -8.2782 -8.0733 -7.8203 -7.5194 -7.2191 -6.9458
 -6.6989 -6.4677 -6.2452 -6.0319 -5.8316 -5.3978 -5.0379 -4.7248 -4.4458 -4.1947
 -3.9726
 -8.7518 -8.5129 -8.2987 -8.1013 -7.9121 -7.7206 -7.5091 -7.2641 -7.0120 -6.7734
 -6.5514 -6.3394 -6.1310 -5.9264 -5.7304 -5.3028 -4.9536 -4.6557 -4.3945 -4.1627
 -3.9575 -3.7816
 -8.6020 -8.3110 -8.0682 -7.8470 -7.6395 -7.4442 -7.2532 -7.0488 -6.8357 -6.6283
 -6.4306 -6.2390 -6.0474 -5.8540 -5.6638 -5.2395 -4.8962 -4.6091 -4.3606 -4.1431
 -3.9519 -3.7866 -3.6473 -3.5287
 -8.6087 -8.2159 -7.8886 -7.6216 -7.4050 -7.2229 -7.0526 -6.8776 -6.6932 -6.5090
 -6.3307 -6.1572 -5.9830 -5.8039 -5.6217 -5.2000 -4.8584 -4.5787 -4.3398 -4.1329
 -3.9528 -3.7970 -3.6652 -3.5537 -3.4572 -3.3721 -3.2937 -3.2187 -3.1526 -3.1090
 -8.7301 -8.2687 -7.8732 -7.5409 -7.2664 -7.0404 -6.8546 -6.7009 -6.5629 -6.4191
 -6.2611 -6.0973 -5.9335 -5.7678 -5.5966 -5.1799 -4.8361 -4.5603 -4.3287 -4.1296
 -3.9581 -3.8104 -3.6854 -3.5804 -3.4904 -3.4111 -3.3405 -3.2754 -3.2137 -3.1602
 -3.1266
 -8.9507 -8.4210 -7.9669 -7.5829 -7.2627 -6.9973 -6.7771 -6.5930 -6.4368 -6.3016
 -6.1784 -6.0507 -5.9048 -5.7460 -5.5833 -5.1764 -4.8275 -4.5516 -4.3248 -4.1315
 -3.9662 -3.8251 -3.7060 -3.6068 -3.5231 -3.4502 -3.3855 -3.3269 -3.2728 -3.2242
 -3.1822
 -9.2766 -8.6673 -8.1479 -7.7103 -7.3455 -7.0422 -6.7894 -6.5772 -6.3970 -6.2405
 -6.1008 -5.9725 -5.8492 -5.7198 -5.5748 -5.1838 -4.8292 -4.5491 -4.3241 -4.1351
 -3.9742 -3.8379 -3.7239 -3.6299 -3.5522 -3.4859 -3.4277 -3.3753 -3.3278 -3.2850
 -3.2468
 -9.6885 -9.0160 -8.4256 -7.9271 -7.5109 -7.1651 -6.8765 -6.6329 -6.4248 -6.2444
 -6.0846 -5.9393 -5.8034 -5.6741 -5.5470 -5.2017 -4.8484 -4.5597 -4.3324 -4.1450
 -3.9864 -3.8529 -3.7421 -3.6519 -3.5790 -3.5188 -3.4672 -3.4213 -3.3799 -3.3427
 -3.3093
-10.1046 -9.4001 -8.7692 -8.2145 -7.7468 -7.3543 -7.0252 -6.7464 -6.5071 -6.2988
 -6.1149 -5.9498 -5.7983 -5.6567 -5.5222 -5.2041 -4.8783 -4.5809 -4.3468 -4.1580
 -4.0001 -3.8677 -3.7585 -3.6704 -3.6009 -3.5457 -3.5004 -3.4614 -3.4267 -3.3954
 -3.3676
-10.4615 -9.7585 -9.1140 -8.5375 -8.0309 -7.5980 -7.2285 -6.9123 -6.6390 -6.4004
 -6.1893 -6.0008 -5.8301 -5.6734 -5.5004 -5.1910 -4.9189 -4.6127 -4.3673
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =Btycho
-10.1119-10.0012 -9.8831 -9.7431 -9.5708 -9.3104 -8.9046 -8.3573 -7.8409 -7.4357
 -7.1192 -6.8525 -6.6134 -6.3933 -6.1881 -5.7372 -5.3499 -4.9967 -4.6660
 -9.5796 -9.4530 -9.3252 -9.1847 -9.0140 -8.7841 -8.4480 -8.0020 -7.5596 -7.1919
 -6.8950 -6.6409 -6.4104 -6.1958 -5.9952 -5.5560 -5.1852 -4.8566 -4.5592 -4.2873
 -9.1474 -8.9986 -8.8552 -8.7087 -8.5458 -8.3450 -8.0714 -7.7127 -7.3384 -7.0070
 -6.7286 -6.4868 -6.2655 -6.0571 -5.8606 -5.4293 -5.0703 -4.7592 -4.4830 -4.2352
 -4.0131
 -8.8364 -8.6511 -8.4808 -8.3180 -8.1526 -7.9705 -7.7476 -7.4613 -7.1495 -6.8565
 -6.5992 -6.3712 -6.1604 -5.9594 -5.7673 -5.3413 -4.9902 -4.6913 -4.4299 -4.1989
 -3.9934 -3.8125
 -8.6708 -8.4323 -8.2181 -8.0236 -7.8408 -7.6602 -7.4674 -7.2377 -6.9800 -6.7260
 -6.4928 -6.2810 -6.0823 -5.8904 -5.7038 -5.2814 -4.9345 -4.6445 -4.3940 -4.1753
 -3.9829 -3.8134 -3.6674 -3.5421
 -8.6046 -8.2786 -8.0167 -7.8018 -7.6081 -7.4204 -7.2356 -7.0415 -6.8274 -6.6089
 -6.4008 -6.2068 -6.0221 -5.8413 -5.6621 -5.2435 -4.8970 -4.6131 -4.3711 -4.1617
 -3.9794 -3.8198 -3.6816 -3.5639 -3.4622 -3.3733 -3.2930 -3.2153 -3.1485 -3.1039
 -8.6909 -8.2759 -7.9225 -7.6291 -7.3872 -7.1868 -7.0167 -6.8591 -6.6905 -6.5074
 -6.3225 -6.1447 -5.9739 -5.8056 -5.6358 -5.2236 -4.8749 -4.5935 -4.3581 -4.1558
 -3.9811 -3.8295 -3.6986 -3.5870 -3.4921 -3.4096 -3.3371 -3.2704 -3.2069 -3.1529
 -3.1188
 -8.8765 -8.3907 -7.9702 -7.6115 -7.3110 -7.0604 -6.8508 -6.6742 -6.5224 -6.3846
 -6.2464 -6.0972 -5.9392 -5.7799 -5.6204 -5.2197 -4.8667 -4.5841 -4.3526 -4.1557
 -3.9866 -3.8412 -3.7166 -3.6109 -3.5218 -3.4455 -3.3789 -3.3197 -3.2653 -3.2150
 -3.1726
 -9.1694 -8.6045 -8.1164 -7.6997 -7.3479 -7.0535 -6.8078 -6.6017 -6.4264 -6.2748
 -6.1408 -6.0176 -5.8944 -5.7592 -5.6109 -5.2257 -4.8691 -4.5816 -4.3510 -4.1576
 -3.9926 -3.8519 -3.7326 -3.6322 -3.5487 -3.4785 -3.4183 -3.3650 -3.3173 -3.2744
 -3.2359
 -9.5950 -8.9418 -8.3743 -7.8908 -7.4834 -7.1431 -6.8590 -6.6208 -6.4196 -6.2470
 -6.0958 -5.9597 -5.8335 -5.7126 -5.5895 -5.2433 -4.8888 -4.5933 -4.3593 -4.1668
