 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.4164  1.3745  1.3422  1.3184  1.3011  1.2874  1.2751  1.2627  1.2493  1.2350
  1.2191  1.2011  1.1839  1.1693  1.1552  1.1103  1.0501  0.9818  0.9075  0.8281
  0.7444  0.6575  0.5695  0.4822  0.3967  0.3131  0.2306  0.1491  0.0682 -0.0129
 -0.0950
  1.4735  1.4272  1.3879  1.3564  1.3314  1.3114  1.2944  1.2788  1.2633  1.2478
  1.2321  1.2156  1.1980  1.1804  1.1623  1.1130  1.0528  0.9841  0.9098  0.8306
  0.7471  0.6602  0.5713  0.4824  0.3954  0.3106  0.2276  0.1462  0.0661 -0.0133
 -0.0927
  1.5284  1.4799  1.4366  1.3991  1.3677  1.3412  1.3185  1.2985  1.2795  1.2612
  1.2431  1.2250  1.2066  1.1879  1.1687  1.1159  1.0564  0.9879  0.9135  0.8346
  0.7514  0.6647  0.5755  0.4854  0.3965  0.3099  0.2255  0.1434  0.0631 -0.0159
 -0.0935
  1.5809  1.5316  1.4856  1.4444  1.4080  1.3761  1.3481  1.3230  1.2999  1.2781
  1.2569  1.2360  1.2152  1.1945  1.1737  1.1182  1.0581  0.9921  0.9184
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  J   
  1.0236  1.0631  1.0982  1.1270  1.1545  1.1819  1.1992  1.2133  1.2209  1.2294
  1.2369  1.2419  1.2427  1.2386  1.2299  1.1928  1.1390  1.0720  0.9946
  1.0635  1.0423  1.0817  1.1144  1.1407  1.1643  1.1808  1.1932  1.2020  1.2112
  1.2180  1.2217  1.2212  1.2158  1.2059  1.1662  1.1115  1.0458  0.9708  0.8880
  1.1201  1.0536  1.0701  1.1050  1.1326  1.1548  1.1698  1.1811  1.1891  1.1976
  1.2036  1.2066  1.2055  1.1997  1.1893  1.1480  1.0925  1.0269  0.9532  0.8726
  0.7862
  1.1805  1.1644  1.1052  1.0998  1.1274  1.1492  1.1642  1.1741  1.1809  1.1873
  1.1927  1.1951  1.1938  1.1879  1.1775  1.1354  1.0791  1.0133  0.9401  0.8608
  0.7763  0.6887
  1.2065  1.2085  1.2014  1.1639  1.1319  1.1468  1.1624  1.1718  1.1768  1.1804
  1.1846  1.1864  1.1849  1.1792  1.1690  1.1268  1.0698  1.0037  0.9305  0.8519
  0.7686  0.6823  0.5954  0.5085
  1.2364  1.2319  1.2328  1.2289  1.2103  1.1762  1.1643  1.1723  1.1768  1.1779
  1.1790  1.1800  1.1783  1.1728  1.1630  1.1210  1.0636  0.9971  0.9238  0.8454
  0.7629  0.6774  0.5911  0.5050  0.4192  0.3329  0.2455  0.1566  0.0676 -0.0185
  1.2754  1.2597  1.2540  1.2522  1.2479  1.2368  1.2162  1.1913  1.1807  1.1798
  1.1776  1.1760  1.1736  1.1682  1.1587  1.1176  1.0597  0.9929  0.9196  0.8413
  0.7590  0.6739  0.5877  0.5019  0.4168  0.3320  0.2471  0.1614  0.0746 -0.0125
 -0.0971
  1.3212  1.2955  1.2804  1.2721  1.2666  1.2602  1.2503  1.2361  1.2170  1.1967
  1.1833  1.1760  1.1711  1.1652  1.1561  1.1159  1.0581  0.9909  0.9176  0.8393
  0.7571  0.6720  0.5855  0.4993  0.4142  0.3300  0.2462  0.1626  0.0787 -0.0059
 -0.0915
  1.3729  1.3386  1.3141  1.2978  1.2864  1.2770  1.2674  1.2560  1.2426  1.2269
  1.2090  1.1907  1.1760  1.1655  1.1552  1.1156  1.0578  0.9903  0.9167  0.8383
  0.7561  0.6707  0.5836  0.4963  0.4104  0.3259  0.2424  0.1599  0.0779 -0.0045
 -0.0876
  1.4273  1.3867  1.3546  1.3302  1.3118  1.2970  1.2838  1.2709  1.2570  1.2424
  1.2268  1.2100  1.1920  1.1751  1.1597  1.1173  1.0599  0.9923  0.9187  0.8406
  0.7584  0.6729  0.5853  0.4971  0.4098  0.3243  0.2405  0.1581  0.0768 -0.0047
 -0.0846
  1.4816  1.4371  1.3992  1.3683  1.3432  1.3224  1.3043  1.2877  1.2714  1.2550
  1.2382  1.2210  1.2033  1.1851  1.1672  1.1199  1.0632  0.9957  0.9222  0.8443
  0.7624  0.6770  0.5892  0.5001  0.4114  0.3244  0.2393  0.1562  0.0748 -0.0053
 -0.0841
  1.5345  1.4875  1.4458  1.4098  1.3792  1.3529  1.3299  1.3090  1.2891  1.2698
  1.2506  1.2314  1.2120  1.1925  1.1729  1.1219  1.0651  1.0000  0.9269
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  J   
  1.0493  1.0846  1.1149  1.1391  1.1663  1.1919  1.2066  1.2184  1.2275  1.2345
  1.2398  1.2434  1.2437  1.2400  1.2319  1.1961  1.1438  1.0785  1.0022
  1.0353  1.0613  1.0979  1.1270  1.1507  1.1739  1.1877  1.1997  1.2089  1.2165
  1.2216  1.2243  1.2236  1.2187  1.2096  1.1714  1.1179  1.0531  0.9791  0.8978
