 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -0.5364 -0.5619 -0.5973 -0.6387 -0.6823 -0.7256 -0.7684 -0.8106 -0.8525 -0.8948
 -0.9372
 -1.8651 -1.6077 -1.4171 -1.2685 -1.1517 -1.0607 -0.9874 -0.9240 -0.8668 -0.8140
 -0.7654 -0.7214 -0.6824 -0.6484 -0.6196 -0.5682 -0.5392 -0.5214 -0.5118
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  i   
 -2.3537 -2.1196 -1.9110 -1.7388 -1.5885 -1.4526 -1.3452 -1.2523 -1.1741 -1.1002
 -1.0299 -0.9638 -0.9020 -0.8441 -0.7897 -0.6684 -0.5706 -0.5008 -0.4637
 -2.1877 -2.1266 -1.9198 -1.7326 -1.5748 -1.4379 -1.3266 -1.2339 -1.1540 -1.0807
 -1.0130 -0.9500 -0.8909 -0.8355 -0.7832 -0.6675 -0.5758 -0.5129 -0.4813 -0.4775
 -2.0265 -2.0377 -1.9193 -1.7398 -1.5740 -1.4312 -1.3148 -1.2184 -1.1378 -1.0651
 -0.9999 -0.9396 -0.8833 -0.8304 -0.7805 -0.6696 -0.5823 -0.5239 -0.4953 -0.4916
 -0.5055
 -1.8935 -1.7936 -1.7979 -1.7297 -1.5800 -1.4348 -1.3104 -1.2082 -1.1242 -1.0516
 -0.9879 -0.9301 -0.8764 -0.8260 -0.7785 -0.6724 -0.5885 -0.5331 -0.5064 -0.5028
 -0.5156 -0.5391
 -1.8555 -1.7018 -1.5958 -1.5666 -1.5467 -1.4373 -1.3128 -1.2036 -1.1142 -1.0402
 -0.9761 -0.9201 -0.8686 -0.8207 -0.7755 -0.6744 -0.5938 -0.5406 -0.5152 -0.5116
 -0.5237 -0.5463 -0.5749 -0.6077
 -1.8345 -1.6731 -1.5355 -1.4299 -1.3692 -1.3505 -1.3014 -1.2042 -1.1095 -1.0306
 -0.9650 -0.9092 -0.8594 -0.8136 -0.7706 -0.6746 -0.5975 -0.5462 -0.5217 -0.5182
 -0.5298 -0.5520 -0.5803 -0.6126 -0.6482 -0.6880 -0.7328 -0.7830 -0.8367 -0.8893
 -1.8193 -1.6568 -1.5140 -1.3911 -1.2904 -1.2167 -1.1725 -1.1464 -1.0982 -1.0246
 -0.9555 -0.8978 -0.8488 -0.8046 -0.7636 -0.6725 -0.5990 -0.5497 -0.5258 -0.5224
 -0.5338 -0.5558 -0.5847 -0.6171 -0.6523 -0.6905 -0.7319 -0.7775 -0.8279 -0.8821
 -0.9357
 -1.8164 -1.6441 -1.5002 -1.3747 -1.2649 -1.1719 -1.0968 -1.0398 -1.0011 -0.9731
 -0.9362 -0.8857 -0.8368 -0.7937 -0.7543 -0.6677 -0.5979 -0.5507 -0.5274 -0.5240
 -0.5353 -0.5575 -0.5872 -0.6209 -0.6567 -0.6944 -0.7346 -0.7774 -0.8236 -0.8739
 -0.9288
 -1.8308 -1.6390 -1.4869 -1.3602 -1.2499 -1.1530 -1.0686 -0.9973 -0.9388 -0.8928
 -0.8590 -0.8332 -0.8057 -0.7743 -0.7404 -0.6592 -0.5933 -0.5484 -0.5262 -0.5228
 -0.5342 -0.5569 -0.5877 -0.6233 -0.6608 -0.6995 -0.7397 -0.7812 -0.8248 -0.8716
 -0.9223
 -1.8721 -1.6543 -1.4837 -1.3485 -1.2369 -1.1403 -1.0549 -0.9793 -0.9139 -0.8583
 -0.8120 -0.7749 -0.7463 -0.7235 -0.7032 -0.6466 -0.5865 -0.5438 -0.5223 -0.5188
 -0.5299 -0.5527 -0.5845 -0.6220 -0.6620 -0.7027 -0.7439 -0.7859 -0.8288 -0.8731
 -0.9200
 -1.9465 -1.6944 -1.4992 -1.3454 -1.2245 -1.1262 -1.0415 -0.9667 -0.8999 -0.8410
 -0.7899 -0.7463 -0.7098 -0.6800 -0.6564 -0.6137 -0.5735 -0.5360 -0.5156 -0.5122
 -0.5229 -0.5455 -0.5776 -0.6167 -0.6593 -0.7029 -0.7465 -0.7900 -0.8335 -0.8775
 -0.9217
 -2.0634 -1.7655 -1.5393 -1.3615 -1.2218 -1.1129 -1.0257 -0.9516 -0.8864 -0.8280
 -0.7757 -0.7297 -0.6899 -0.6558 -0.6273 -0.5774 -0.5462 -0.5223 -0.5060
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.3103 -2.0760 -1.8765 -1.7133 -1.5636 -1.4312 -1.3292 -1.2410 -1.1610 -1.0887
 -1.0206 -0.9561 -0.8959 -0.8397 -0.7871 -0.6701 -0.5780 -0.5090 -0.4598
 -2.2548 -2.1005 -1.8878 -1.7058 -1.5533 -1.4182 -1.3124 -1.2216 -1.1415 -1.0700
 -1.0040 -0.9423 -0.8848 -0.8309 -0.7803 -0.6681 -0.5775 -0.5118 -0.4746 -0.4650
 -2.1409 -2.0850 -1.9050 -1.7150 -1.5520 -1.4131 -1.2989 -1.2057 -1.1263 -1.0545
 -0.9908 -0.9318 -0.8769 -0.8255 -0.7771 -0.6693 -0.5822 -0.5204 -0.4866 -0.4783
 -0.4893
 -1.9856 -1.8930 -1.8738 -1.7264 -1.5605 -1.4162 -1.2943 -1.1948 -1.1128 -1.0410
 -0.9787 -0.9220 -0.8697 -0.8207 -0.7746 -0.6714 -0.5873 -0.5280 -0.4963 -0.4886
 -0.4987 -0.5210
 -1.8736 -1.7250 -1.6644 -1.6661 -1.5644 -1.4233 -1.2967 -1.1899 -1.1025 -1.0300
 -0.9668 -0.9118 -0.8616 -0.8150 -0.7712 -0.6730 -0.5920 -0.5346 -0.5041 -0.4967
 -0.5061 -0.5272 -0.5560 -0.5894
 -1.8639 -1.6898 -1.5531 -1.4705 -1.4530 -1.4110 -1.3011 -1.1911 -1.0972 -1.0204
 -0.9557 -0.9008 -0.8522 -0.8076 -0.7661 -0.6730 -0.5955 -0.5398 -0.5102 -0.5029
 -0.5118 -0.5321 -0.5602 -0.5931 -0.6298 -0.6705 -0.7166 -0.7686 -0.8232 -0.8766
 -1.8695 -1.6844 -1.5294 -1.4043 -1.3139 -1.2649 -1.2419 -1.1854 -1.0971 -1.0146
 -0.9467 -0.8897 -0.8415 -0.7984 -0.7587 -0.6707 -0.5971 -0.5434 -0.5144 -0.5070
 -0.5157 -0.5355 -0.5634 -0.5961 -0.6321 -0.6713 -0.7144 -0.7618 -0.8135 -0.8686
 -0.9228
 -1.8914 -1.6906 -1.5263 -1.3891 -1.2757 -1.1863 -1.1219 -1.0812 -1.0512 -1.0044
 -0.9398 -0.8802 -0.8301 -0.7877 -0.7493 -0.6656 -0.5961 -0.5448 -0.5165 -0.5091
 -0.5174 -0.5372 -0.5653 -0.5986 -0.6349 -0.6735 -0.7149 -0.7591 -0.8070 -0.8594
 -0.9153
 -1.9236 -1.7087 -1.5306 -1.3857 -1.2644 -1.1626 -1.0784 -1.0113 -0.9601 -0.9230
 -0.8932 -0.8588 -0.8159 -0.7744 -0.7371 -0.6571 -0.5914 -0.5429 -0.5159 -0.5086
 -0.5171 -0.5371 -0.5657 -0.6000 -0.6376 -0.6769 -0.7181 -0.7613 -0.8066 -0.8552
 -0.9079
 -1.9980 -1.7498 -1.5488 -1.3904 -1.2626 -1.1555 -1.0645 -0.9872 -0.9230 -0.8702
 -0.8281 -0.7955 -0.7692 -0.7434 -0.7167 -0.6469 -0.5850 -0.5390 -0.5129 -0.5057
 -0.5139 -0.5340 -0.5630 -0.5984 -0.6376 -0.6785 -0.7206 -0.7638 -0.8084 -0.8548
 -0.9036
 -2.0968 -1.8155 -1.5872 -1.4068 -1.2656 -1.1526 -1.0581 -0.9773 -0.9076 -0.8481
 -0.7977 -0.7559 -0.7217 -0.6943 -0.6717 -0.6247 -0.5751 -0.5321 -0.5073 -0.5002
 -0.5080 -0.5280 -0.5573 -0.5936 -0.6345 -0.6776 -0.7217 -0.7662 -0.8112 -0.8571
 -0.9035
 -2.2199 -1.9057 -1.6472 -1.4428 -1.2803 -1.1538 -1.0534 -0.9701 -0.8987 -0.8365
 -0.7825 -0.7362 -0.6967 -0.6636 -0.6021 -0.5905 -0.5617 -0.5222 -0.4991
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  i   
 -2.2669 -2.0335 -1.8425 -1.6898 -1.5409 -1.4136 -1.3109 -1.2262 -1.1476 -1.0777
 -1.0109 -0.9476 -0.8885 -0.8336 -0.7825 -0.6688 -0.5780 -0.5084 -0.4568
 -2.2976 -2.0653 -1.8546 -1.6791 -1.5330 -1.4016 -1.2948 -1.2080 -1.1286 -1.0593
 -0.9946 -0.9340 -0.8775 -0.8248 -0.7753 -0.6659 -0.5770 -0.5101 -0.4683 -0.4527
