 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.2071 -0.1096 -0.0330  0.0327  0.0910  0.1436  0.1923  0.2397  0.2865  0.3326
  0.3768  0.4177  0.4542  0.4855  0.5114  0.5548  0.5773  0.5901  0.5958
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.0132 -0.8150 -0.6317 -0.4754 -0.3356 -0.2091 -0.1116 -0.0291  0.0388  0.1021
  0.1622  0.2189  0.2721  0.3222  0.3696  0.4754  0.5590  0.6164  0.6456
 -0.8744 -0.8312 -0.6487 -0.4787 -0.3316 -0.2029 -0.1003 -0.0170  0.0529  0.1160
  0.1742  0.2285  0.2794  0.3276  0.3731  0.4739  0.5519  0.6033  0.6277  0.6286
 -0.7344 -0.7566 -0.6548 -0.4925 -0.3389 -0.2043 -0.0953 -0.0073  0.0643  0.1274
  0.1837  0.2357  0.2845  0.3304  0.3740  0.4704  0.5445  0.5921  0.6138  0.6141
  0.5989
 -0.6145 -0.5331 -0.5455 -0.4879 -0.3509 -0.2152 -0.0977 -0.0026  0.0734  0.1373
  0.1926  0.2427  0.2893  0.3331  0.3746  0.4667  0.5377  0.5828  0.6027  0.6027
  0.5880  0.5640
 -0.5757 -0.4499 -0.3582 -0.3367 -0.3235 -0.2234 -0.1069 -0.0042  0.0786  0.1452
  0.2014  0.2503  0.2951  0.3369  0.3763  0.4640  0.5321  0.5753  0.5941  0.5938
  0.5794  0.5556  0.5267  0.4947
 -0.5432 -0.4210 -0.3045 -0.2105 -0.1575 -0.1443 -0.1013 -0.0109  0.0777  0.1506
  0.2097  0.2587  0.3023  0.3424  0.3799  0.4630  0.5281  0.5697  0.5878  0.5872
  0.5730  0.5492  0.5199  0.4876  0.4526  0.4141  0.3713  0.3236  0.2725  0.2224
 -0.5047 -0.3946 -0.2832 -0.1772 -0.0864 -0.0199  0.0186  0.0400  0.0832  0.1515
  0.2154  0.2674  0.3108  0.3496  0.3855  0.4644  0.5262  0.5662  0.5838  0.5831
  0.5689  0.5449  0.5147  0.4815  0.4461  0.4083  0.3678  0.3238  0.2754  0.2232
  0.1716
 -0.4630 -0.3613 -0.2607 -0.1611 -0.0659  0.0185  0.0871  0.1387  0.1727  0.1967
  0.2296  0.2760  0.3202  0.3584  0.3931  0.4682  0.5268  0.5650  0.5822  0.5815
  0.5673  0.5429  0.5115  0.4767  0.4401  0.4020  0.3619  0.3197  0.2747  0.2257
  0.1723
 -0.4198 -0.3215 -0.2290 -0.1391 -0.0509  0.0332  0.1097  0.1752  0.2287  0.2704
  0.3005  0.3230  0.3473  0.3750  0.4048  0.4753  0.5307  0.5670  0.5834  0.5827
  0.5683  0.5433  0.5106  0.4735  0.4348  0.3953  0.3546  0.3129  0.2694  0.2231
  0.1734
 -0.3827 -0.2831 -0.1934 -0.1100 -0.0304  0.0465  0.1201  0.1882  0.2484  0.2997
  0.3423  0.3761  0.4017  0.4214  0.4385  0.4864  0.5367  0.5712  0.5870  0.5866
  0.5724  0.5472  0.5135  0.4744  0.4330  0.3911  0.3488  0.3061  0.2627  0.2179
  0.1712
