 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = UX   
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = UX   
 -9.5434 -9.5576 -9.5618 -9.5500 -9.5186 -9.4591 -9.3632 -9.2290 -9.0726 -8.9074
 -8.7369 -8.5545 -8.3506 -8.1221 -7.8716 -7.2063 -6.5411 -5.9124 -5.3421
 -9.0095 -9.0190 -9.0227 -9.0146 -8.9898 -8.9436 -8.8704 -8.7642 -8.6298 -8.4759
 -8.3075 -8.1223 -7.9147 -7.6840 -7.4358 -6.7929 -6.1649 -5.5872 -5.0818 -4.6438
 -8.5640 -8.5589 -8.5556 -8.5468 -8.5266 -8.4899 -8.4321 -8.3475 -8.2351 -8.0977
 -7.9394 -7.7611 -7.5604 -7.3375 -7.0983 -6.4845 -5.8936 -5.3552 -4.8888 -4.4934
 -4.1664
 -8.2579 -8.2125 -8.1857 -8.1656 -8.1426 -8.1097 -8.0615 -7.9922 -7.8984 -7.7790
 -7.6354 -7.4693 -7.2806 -7.0697 -6.8418 -6.2553 -5.6961 -5.1872 -4.7461 -4.3767
 -4.0736 -3.8343
 -8.1950 -8.0582 -7.9610 -7.8965 -7.8515 -7.8114 -7.7646 -7.7036 -7.6229 -7.5194
 -7.3915 -7.2400 -7.0651 -6.8677 -6.6519 -6.0877 -5.5524 -5.0667 -4.6431 -4.2893
 -4.0010 -3.7731 -3.6020 -3.4735
 -8.3479 -8.1010 -7.9181 -7.7877 -7.6897 -7.6120 -7.5491 -7.4857 -7.4100 -7.3168
 -7.2026 -7.0655 -6.9049 -6.7215 -6.5178 -5.9724 -5.4521 -4.9839 -4.5730 -4.2276
 -3.9471 -3.7250 -3.5577 -3.4360 -3.3454 -3.2747 -3.2155 -3.1624 -3.1120 -3.0634
 -8.6543 -8.3124 -8.0286 -7.8010 -7.6244 -7.4925 -7.3977 -7.3273 -7.2577 -7.1714
 -7.0652 -6.9388 -6.7912 -6.6217 -6.4305 -5.9028 -5.3910 -4.9336 -4.5317 -4.1899
 -3.9108 -3.6895 -3.5217 -3.4004 -3.3141 -3.2505 -3.2005 -3.1590 -3.1221 -3.0866
 -3.0505
 -9.0631 -8.6309 -8.2642 -7.9552 -7.6997 -7.4921 -7.3267 -7.1992 -7.1043 -7.0262
 -6.9449 -6.8424 -6.7123 -6.5574 -6.3807 -5.8732 -5.3660 -4.9134 -4.5164 -4.1747
 -3.8922 -3.6667 -3.4943 -3.3693 -3.2825 -3.2222 -3.1787 -3.1448 -3.1171 -3.0931
 -3.0703
 -9.6225 -9.0727 -8.6079 -8.2151 -7.8839 -7.6068 -7.3774 -7.1893 -7.0362 -6.9100
 -6.8011 -6.7016 -6.6010 -6.4839 -6.3391 -5.8723 -5.3689 -4.9165 -4.5205 -4.1765
 -3.8873 -3.6542 -3.4741 -3.3420 -3.2509 -3.1904 -3.1502 -3.1221 -3.1013 -3.0848
 -3.0713
-10.4156 -9.7135 -9.1157 -8.6126 -8.1898 -7.8348 -7.5364 -7.2861 -7.0762 -6.8987
 -6.7452 -6.6078 -6.4813 -6.3629 -6.2455 -5.8826 -5.4049 -4.9506 -4.5529 -4.2047
 -3.9065 -3.6614 -3.4690 -3.3254 -3.2249 -3.1590 -3.1177 -3.0921 -3.0760 -3.0655
 -3.0585
-11.3927-10.5568 -9.8194 -9.1810 -8.6415 -8.1873 -7.8052 -7.4828 -7.2094 -6.9763
 -6.7749 -6.5974 -6.4369 -6.2891 -6.1521 -5.8335 -5.4506 -5.0052 -4.6036 -4.2507
 -3.9438 -3.6856 -3.4786 -3.3202 -3.2062 -3.1302 -3.0833 -3.0562 -3.0418 -3.0353
 -3.0335
-12.3964-11.4884-10.6548 -9.9062 -9.2460 -8.6799 -8.1975 -7.7880 -7.4397 -7.1421
 -6.8856 -6.6621 -6.4640 -6.2852 -6.0589 -5.7250 -5.5060 -5.0803 -4.6726
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value = UX   
 -9.6871 -9.7005 -9.6991 -9.6768 -9.6280 -9.5460 -9.4248 -9.2682 -9.1058 -8.9470
 -8.7960 -8.6451 -8.4823 -8.2941 -8.0808 -7.4556 -6.7849 -6.1400 -5.5559
 -9.1392 -9.1520 -9.1541 -9.1403 -9.1059 -9.0463 -8.9560 -8.8319 -8.6892 -8.5406
 -8.3909 -8.2361 -8.0679 -7.8775 -7.6628 -7.0567 -6.4191 -5.8152 -5.2885 -4.8322
 -8.6654 -8.6715 -8.6728 -8.6638 -8.6394 -8.5955 -8.5278 -8.4315 -8.3116 -8.1773
 -8.0343 -7.8828 -7.7177 -7.5329 -7.3263 -6.7503 -6.1513 -5.5855 -5.0932 -4.6762
 -4.3269
