 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  w   
 -1.1158 -0.9463 -0.8137 -0.7073 -0.6176 -0.4388 -0.3035 -0.1998 -0.1208 -0.0614
 -2.9226 -2.7592 -2.6134 -2.4782 -2.3463 -2.2057 -2.0265 -1.7783 -1.5204 -1.2853
 -1.0860 -0.9238 -0.7940 -0.6889 -0.6008 -0.4266 -0.2964 -0.1981 -0.1243 -0.0690
 -0.0278
 -2.7894 -2.6150 -2.4574 -2.3115 -2.1723 -2.0335 -1.8808 -1.6776 -1.4564 -1.2477
 -1.0646 -0.9107 -0.7840 -0.6800 -0.5928 -0.4214 -0.2943 -0.1995 -0.1293 -0.0772
 -0.0388 -0.0098
 -2.6293 -2.4603 -2.3119 -2.1711 -2.0304 -1.8900 -1.7465 -1.5821 -1.3947 -1.2106
 -1.0439 -0.8996 -0.7777 -0.6757 -0.5894 -0.4200 -0.2949 -0.2022 -0.1346 -0.0852
 -0.0494 -0.0230 -0.0027  0.0133
 -2.5230 -2.3146 -2.1364 -1.9857 -1.8554 -1.7356 -1.6127 -1.4779 -1.3258 -1.1683
 -1.0194 -0.8862 -0.7706 -0.6721 -0.5876 -0.4202 -0.2964 -0.2051 -0.1392 -0.0921
 -0.0588 -0.0353 -0.0177 -0.0038  0.0072  0.0155  0.0202  0.0207  0.0153  0.0042
 -2.4882 -2.2545 -2.0436 -1.8584 -1.6987 -1.5594 -1.4342 -1.3185 -1.2045 -1.0906
 -0.9761 -0.8641 -0.7595 -0.6665 -0.5848 -0.4205 -0.2976 -0.2072 -0.1424 -0.0971
 -0.0662 -0.0457 -0.0315 -0.0207 -0.0120 -0.0051 -0.0005  0.0011 -0.0013 -0.0103
 -0.0256
 -2.4923 -2.2461 -2.0159 -1.8061 -1.6202 -1.4590 -1.3185 -1.1932 -1.0775 -0.9712
 -0.8788 -0.7991 -0.7247 -0.6507 -0.5780 -0.4201 -0.2982 -0.2080 -0.1437 -0.0995
 -0.0705 -0.0529 -0.0425 -0.0358 -0.0305 -0.0262 -0.0233 -0.0221 -0.0239 -0.0289
 -0.0410
 -2.5082 -2.2596 -2.0218 -1.7977 -1.5935 -1.4139 -1.2587 -1.1244 -1.0063 -0.9008
 -0.8066 -0.7254 -0.6581 -0.6016 -0.5487 -0.4154 -0.2963 -0.2065 -0.1423 -0.0987
 -0.0713 -0.0560 -0.0494 -0.0472 -0.0465 -0.0461 -0.0462 -0.0468 -0.0488 -0.0531
 -0.0616
 -2.5186 -2.2785 -2.0418 -1.8139 -1.6005 -1.4084 -1.2409 -1.0973 -0.9739 -0.8670
 -0.7734 -0.6913 -0.6201 -0.5594 -0.5083 -0.3997 -0.2937 -0.2046 -0.1400 -0.0962
 -0.0691 -0.0554 -0.0516 -0.0538 -0.0581 -0.0626 -0.0670 -0.0709 -0.0751 -0.0804
 -0.0876
 -2.5146 -2.2825 -2.0541 -1.8303 -1.6165 -1.4198 -1.2453 -1.0945 -0.9655 -0.8551
 -0.7596 -0.6765 -0.6037 -0.5401 -0.4846 -0.3756 -0.2836 -0.2008 -0.1363 -0.0918
 -0.0644 -0.0512 -0.0491 -0.0546 -0.0638 -0.0737 -0.0833 -0.0919 -0.0999 -0.1078
 -0.1162
 -2.5095 -2.2755 -2.0517 -1.8362 -1.6274 -1.4329 -1.2577 -1.1036 -0.9710 -0.8574
 -0.7593 -0.6740 -0.5992 -0.5332 -0.4776 -0.3431 -0.2660 -0.1951 -0.1312
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  w   
 -3.6221 -3.4994 -3.3815 -3.2593 -3.1072 -2.9024 -2.6274 -2.2681 -1.8470 -1.4852
 -1.2093 -1.0054 -0.8536 -0.7362 -0.6401 -0.4531 -0.3111 -0.2002 -0.1131
 -3.3590 -3.2209 -3.0955 -2.9744 -2.8462 -2.6901 -2.4605 -2.1169 -1.7542 -1.4298
 -1.1699 -0.9719 -0.8224 -0.7068 -0.6130 -0.4321 -0.2969 -0.1934 -0.1140 -0.0536
 -3.1572 -3.0010 -2.8630 -2.7361 -2.6120 -2.4748 -2.2874 -2.0046 -1.6931 -1.4011
 -1.1553 -0.9606 -0.8103 -0.6936 -0.5998 -0.4217 -0.2906 -0.1917 -0.1171 -0.0605
 -0.0181
 -3.0061 -2.8328 -2.6797 -2.5415 -2.4121 -2.2822 -2.1305 -1.9042 -1.6393 -1.3794
 -1.1499 -0.9603 -0.8091 -0.6903 -0.5952 -0.4178 -0.2890 -0.1928 -0.1214 -0.0680
 -0.0280  0.0018
 -2.8622 -2.6912 -2.5331 -2.3866 -2.2488 -2.1153 -1.9784 -1.8028 -1.5819 -1.3541
 -1.1439 -0.9628 -0.8132 -0.6927 -0.5956 -0.4176 -0.2900 -0.1955 -0.1262 -0.0752
 -0.0376 -0.0100  0.0106  0.0268
 -2.6824 -2.5009 -2.3508 -2.2207 -2.0971 -1.9705 -1.8374 -1.6933 -1.5149 -1.3198
 -1.1313 -0.9623 -0.8175 -0.6972 -0.5988 -0.4190 -0.2920 -0.1984 -0.1305 -0.0815
 -0.0460 -0.0208 -0.0027  0.0109  0.0212  0.0284  0.0319  0.0311  0.0248  0.0131
 -2.6016 -2.3820 -2.1921 -2.0325 -1.8974 -1.7781 -1.6661 -1.5492 -1.4154 -1.2626
