 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -7.2761 -7.0353 -6.8055 -6.5704 -6.3213 -6.0002 -5.5463 -4.9650 -4.4358 -4.0195
 -3.6918 -3.4196 -3.1845 -2.9771 -2.7929 -2.4162 -2.1226 -1.8691 -1.6467
 -6.8330 -6.5571 -6.3001 -6.0497 -5.7872 -5.4851 -5.0994 -4.6219 -4.1837 -3.8216
 -3.5237 -3.2691 -3.0436 -2.8420 -2.6618 -2.2961 -2.0184 -1.7924 -1.5991 -1.4319
 -1.2897
 -6.5021 -6.1903 -5.9025 -5.6324 -5.3682 -5.0911 -4.7681 -4.3775 -4.0049 -3.6844
 -3.4125 -3.1752 -2.9605 -2.7641 -2.5861 -2.2236 -1.9546 -1.7436 -1.5681 -1.4174
 -1.2881 -1.1779 -1.0829
 -6.2635 -5.9235 -5.6066 -5.3125 -5.0375 -4.7728 -4.4996 -4.1823 -3.8643 -3.5800
 -3.3326 -3.1136 -2.9122 -2.7232 -2.5478 -2.1843 -1.9172 -1.7139 -1.5495 -1.4109
 -1.2920 -1.1899 -1.1012 -1.0230 -0.9529
 -6.0274 -5.6800 -5.3666 -5.0709 -4.7885 -4.5232 -4.2727 -4.0136 -3.7441 -3.4929
 -3.2686 -3.0677 -2.8816 -2.7036 -2.5331 -2.1679 -1.8979 -1.6972 -1.5397 -1.4096
 -1.2995 -1.2049 -1.1223 -1.0488 -0.9826 -0.9227
 -5.8867 -5.4689 -5.1106 -4.8040 -4.5383 -4.3016 -4.0792 -3.8611 -3.6361 -3.4163
 -3.2134 -3.0290 -2.8580 -2.6937 -2.5318 -2.1672 -1.8916 -1.6896 -1.5354 -1.4114
 -1.3083 -1.2206 -1.1444 -1.0763 -1.0144 -0.9578 -0.9067 -0.8601 -0.8212 -0.7980
 -5.8758 -5.4053 -4.9942 -4.6414 -4.3423 -4.0873 -3.8680 -3.6784 -3.5049 -3.3354
 -3.1649 -2.9977 -2.8381 -2.6854 -2.5358 -2.1773 -1.8948 -1.6884 -1.5346 -1.4143
 -1.3167 -1.2353 -1.1655 -1.1034 -1.0466 -0.9942 -0.9462 -0.9026 -0.8636 -0.8327
 -0.8170
 -5.9556 -5.4435 -4.9916 -4.6013 -4.2689 -3.9894 -3.7536 -3.5523 -3.3763 -3.2201
 -3.0816 -2.9522 -2.8193 -2.6804 -2.5400 -2.1951 -1.9059 -1.6925 -1.5362 -1.4173
 -1.3235 -1.2475 -1.1838 -1.1282 -1.0774 -1.0301 -0.9862 -0.9457 -0.9095 -0.8775
 -0.8546
 -6.0972 -5.5481 -5.0629 -4.6399 -4.2782 -3.9734 -3.7177 -3.5022 -3.3181 -3.1574
 -3.0145 -2.8859 -2.7686 -2.6550 -2.5352 -2.2139 -1.9208 -1.6994 -1.5383 -1.4189
