 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.0144 -1.0350 -1.0634 -1.0966 -1.1336 -1.1746 -1.2210 -1.2732 -1.3281 -1.3817
 -2.3630 -2.1783 -2.0238 -1.8994 -1.8097 -1.7611 -1.7385 -1.6826 -1.5950 -1.5133
 -1.4460 -1.3894 -1.3415 -1.2987 -1.2592 -1.1717 -1.0986 -1.0453 -1.0164 -1.0094
 -1.0182 -1.0384 -1.0666 -1.0996 -1.1359 -1.1753 -1.2186 -1.2662 -1.3183 -1.3737
 -1.4280
 -2.3851 -2.1846 -2.0207 -1.8841 -1.7713 -1.6825 -1.6187 -1.5784 -1.5490 -1.5027
 -1.4387 -1.3797 -1.3301 -1.2880 -1.2498 -1.1667 -1.0976 -1.0467 -1.0186 -1.0114
 -1.0200 -1.0401 -1.0684 -1.1020 -1.1385 -1.1775 -1.2191 -1.2636 -1.3118 -1.3644
 -1.4205
 -2.4176 -2.2029 -2.0251 -1.8806 -1.7598 -1.6586 -1.5751 -1.5086 -1.4579 -1.4213
 -1.3920 -1.3581 -1.3157 -1.2745 -1.2376 -1.1582 -1.0930 -1.0448 -1.0180 -1.0110
 -1.0197 -1.0400 -1.0688 -1.1034 -1.1412 -1.1808 -1.2222 -1.2657 -1.3113 -1.3601
 -1.4130
 -2.4928 -2.2444 -2.0435 -1.8854 -1.7579 -1.6513 -1.5609 -1.4842 -1.4206 -1.3684
 -1.3267 -1.2946 -1.2688 -1.2435 -1.2170 -1.1480 -1.0866 -1.0409 -1.0151 -1.0081
 -1.0165 -1.0369 -1.0661 -1.1018 -1.1412 -1.1823 -1.2247 -1.2681 -1.3130 -1.3596
 -1.4086
 -2.5909 -2.3104 -2.0825 -1.9021 -1.7610 -1.6483 -1.5544 -1.4740 -1.4049 -1.3459
 -1.2962 -1.2548 -1.2211 -1.1941 -1.1720 -1.1257 -1.0767 -1.0341 -1.0095 -1.0026
 -1.0107 -1.0309 -1.0604 -1.0970 -1.1381 -1.1814 -1.2257 -1.2704 -1.3157 -1.3618
 -1.4085
 -2.7120 -2.4009 -2.1428 -1.9386 -1.7761 -1.6498 -1.5496 -1.4667 -1.3958 -1.3341
 -1.2807 -1.2348 -1.1959 -1.1632 -1.1026 -1.0913 -1.0633 -1.0244 -1.0012
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  i   
 -2.7605 -2.5274 -2.3370 -2.1851 -2.0371 -1.9109 -1.8089 -1.7246 -1.6463 -1.5767
 -1.5100 -1.4470 -1.3881 -1.3334 -1.2825 -1.1695 -1.0794 -1.0101 -0.9588
 -2.7906 -2.5589 -2.3489 -2.1742 -2.0291 -1.8987 -1.7928 -1.7065 -1.6274 -1.5584
 -1.4938 -1.4335 -1.3772 -1.3248 -1.2755 -1.1667 -1.0783 -1.0119 -0.9704 -0.9551
