 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
  1.7693  1.7486  1.7225  1.6925  1.6602  1.5652  1.4451  1.3194  1.1972  1.0787
  0.9638  0.8519  0.7429  0.6363  0.5320  0.4296  0.3290  0.2303  0.1338  0.0392
 -0.0493
  1.9422  1.9254  1.9065  1.8848  1.8615  1.8375  1.8137  1.7913  1.7705  1.7505
  1.7297  1.7058  1.6778  1.6461  1.5831  1.5451  1.4486  1.3239  1.2013
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =F150W2
  2.2075  2.2236  2.2359  2.2409  2.2354  2.2165  2.1821  2.1307  2.0649  1.9984
  1.9328  1.8690  1.8080  1.7501  1.6956  1.5698  1.4528  1.3386  1.2230
  2.1799  2.1993  2.2171  2.2286  2.2288  2.2140  2.1812  2.1297  2.0667  2.0011
  1.9354  1.8708  1.8085  1.7493  1.6933  1.5645  1.4448  1.3291  1.2141  1.0979
  2.1437  2.1656  2.1831  2.1947  2.1987  2.1923  2.1709  2.1286  2.0704  2.0064
  1.9409  1.8759  1.8126  1.7520  1.6945  1.5625  1.4404  1.3229  1.2074  1.0921
  0.9763
  2.1022  2.1252  2.1452  2.1604  2.1692  2.1689  2.1560  2.1243  2.0731  2.0122
  1.9478  1.8827  1.8187  1.7570  1.6980  1.5627  1.4383  1.3192  1.2029  1.0878
  0.9734  0.8593
  2.0589  2.0812  2.1014  2.1191  2.1318  2.1373  2.1325  2.1125  2.0720  2.0165
  1.9544  1.8901  1.8259  1.7632  1.7029  1.5643  1.4379  1.3173  1.2000  1.0850
  0.9712  0.8584  0.7467  0.6361
  2.0185  2.0354  2.0545  2.0725  2.0875  2.0975  2.0996  2.0901  2.0630  2.0167
  1.9591  1.8967  1.8330  1.7700  1.7088  1.5669  1.4384  1.3166  1.1985  1.0831
  0.9698  0.8579  0.7475  0.6385  0.5310  0.4247  0.3193  0.2146  0.1135  0.0166
