 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Vtycho
 -3.3547 -3.2389 -3.1359 -3.0438 -2.9605 -2.7628 -2.5678 -2.4083 -2.2931 -2.2134
 -2.1595 -2.1242 -2.1017 -2.0868 -2.0752 -2.0645 -2.0545 -2.0448 -2.0361 -2.0291
 -2.0250
 -6.7492 -6.1623 -5.6153 -5.1232 -4.7030 -4.3546 -4.0711 -3.8400 -3.6501 -3.4906
 -3.3538 -3.2341 -3.1276 -3.0315 -2.9438 -2.7529 -2.5765 -2.4187 -2.2979 -2.2133
 -2.1568 -2.1209 -2.1000 -2.0889 -2.0827 -2.0782 -2.0742 -2.0699 -2.0655 -2.0616
 -2.0589
 -6.7124 -6.1688 -5.6568 -5.1888 -4.7776 -4.4256 -4.1311 -3.8870 -3.6847 -3.5150
 -3.3701 -3.2440 -3.1326 -3.0326 -2.9421 -2.7312 -2.5810 -2.4309 -2.3045
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =Vtycho
 -8.7810 -8.3723 -7.9976 -7.6466 -7.3121 -6.8941 -6.2871 -5.4916 -4.7833 -4.2520
 -3.8781 -3.6068 -3.3994 -3.2311 -3.0888 -2.8100 -2.6042 -2.4409 -2.3044
 -8.4210 -7.9625 -7.5490 -7.1721 -6.8125 -6.4140 -5.8714 -5.2191 -4.6209 -4.1476
 -3.7961 -3.5358 -3.3344 -3.1704 -3.0309 -2.7580 -2.5610 -2.4108 -2.2890 -2.1883
 -8.1821 -7.6801 -7.2243 -6.8116 -6.4306 -6.0472 -5.5827 -5.0392 -4.5254 -4.0959
 -3.7613 -3.5055 -3.3060 -3.1430 -3.0043 -2.7316 -2.5373 -2.3937 -2.2805 -2.1882
 -2.1130
 -7.9520 -7.4484 -6.9756 -6.5378 -6.1338 -5.7524 -5.3522 -4.8967 -4.4527 -4.0650
 -3.7484 -3.4979 -3.2989 -3.1360 -2.9972 -2.7226 -2.5266 -2.3853 -2.2772 -2.1906
 -2.1208 -2.0638
 -7.4770 -7.0387 -6.6458 -6.2648 -5.8858 -5.5130 -5.1485 -4.7655 -4.3832 -4.0366
 -3.7418 -3.5000 -3.3032 -3.1404 -3.0016 -2.7248 -2.5248 -2.3825 -2.2769 -2.1944
 -2.1289 -2.0761 -2.0317 -1.9937
 -7.1148 -6.5865 -6.1512 -5.7924 -5.4856 -5.2048 -4.9200 -4.6138 -4.2981 -3.9979
 -3.7306 -3.5025 -3.3111 -3.1503 -3.0120 -2.7340 -2.5291 -2.3834 -2.2783 -2.1985
 -2.1364 -2.0874 -2.0469 -2.0121 -1.9820 -1.9563 -1.9360 -1.9226 -1.9173 -1.9185
