 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -8.4793 -8.3416 -8.2160 -8.1016 -7.9943 -7.8814 -7.7347 -7.5025 -7.1272 -6.6427
 -6.1590 -5.7385 -5.4022 -5.1402 -4.9325 -4.5404 -4.2282 -3.9636 -3.7372 -3.5393
 -3.3629 -3.2051 -3.0653 -2.9420 -2.8328 -2.7323 -2.6379 -2.5565 -2.4943 -2.4474
 -8.2494 -8.0737 -7.9178 -7.7789 -7.6517 -7.5305 -7.4016 -7.2318 -6.9688 -6.5834
 -6.1454 -5.7387 -5.3991 -5.1306 -4.9163 -4.5190 -4.2074 -3.9424 -3.7181 -3.5246
 -3.3533 -3.2004 -3.0659 -2.9478 -2.8445 -2.7524 -2.6678 -2.5891 -2.5220 -2.4742
 -2.4408
 -8.0857 -7.8841 -7.7003 -7.5325 -7.3790 -7.2372 -7.1007 -6.9551 -6.7623 -6.4810
 -6.1131 -5.7334 -5.4004 -5.1281 -4.9082 -4.5055 -4.1949 -3.9291 -3.7040 -3.5131
 -3.3462 -3.1980 -3.0676 -2.9542 -2.8553 -2.7682 -2.6917 -2.6229 -2.5598 -2.5069
 -2.4721
 -8.0312 -7.7080 -7.4581 -7.2684 -7.1220 -6.9882 -6.8483 -6.6997 -6.5356 -6.3249
 -6.0410 -5.7107 -5.3951 -5.1256 -4.9042 -4.4971 -4.1886 -3.9219 -3.6944 -3.5034
 -3.3396 -3.1954 -3.0690 -2.9596 -2.8652 -2.7830 -2.7115 -2.6496 -2.5955 -2.5481
 -2.5090
 -8.1270 -7.7231 -7.3772 -7.0933 -6.8691 -6.6934 -6.5526 -6.4292 -6.3000 -6.1411
 -5.9313 -5.6677 -5.3873 -5.1300 -4.9101 -4.4997 -4.1931 -3.9273 -3.6963 -3.5025
 -3.3392 -3.1977 -3.0744 -2.9682 -2.8773 -2.7992 -2.7323 -2.6749 -2.6266 -2.5866
 -2.5540
 -8.3322 -7.8603 -7.4454 -7.0868 -6.7847 -6.5361 -6.3328 -6.1629 -6.0152 -5.8774
 -5.7310 -5.5525 -5.3390 -5.1171 -4.9121 -4.5092 -4.2050 -3.9414 -3.7077 -3.5091
 -3.3436 -3.2030 -3.0818 -2.9778 -2.8895 -2.8148 -2.7518 -2.6987 -2.6549 -2.6200
 -2.5932
 -8.6634 -8.1127 -7.6282 -7.2040 -6.8365 -6.5224 -6.2577 -6.0349 -5.8442 -5.6747
 -5.5177 -5.3645 -5.2057 -5.0404 -4.9102 -4.5256 -4.2243 -3.9642 -3.7286
