 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -8.2099 -7.6964 -7.2514 -6.8735 -6.5565 -6.2908 -6.0671 -5.8769 -5.7126 -5.5666
 -5.4329 -5.3077 -5.1850 -5.0539 -4.9124 -4.5554 -4.2683 -4.0537 -3.8871 -3.7522
 -3.6415 -3.5496 -3.4719 -3.4030 -3.3394 -3.2799 -3.2245 -3.1721 -3.1243 -3.0829
 -3.0492
 -8.3562 -7.8378 -7.3743 -6.9778 -6.6411 -6.3564 -6.1143 -5.9061 -5.7247 -5.5640
 -5.4182 -5.2821 -5.1529 -5.0289 -4.9046 -4.5687 -4.2726 -4.0533 -3.8870 -3.7550
 -3.6480 -3.5613 -3.4900 -3.4284 -3.3725 -3.3200 -3.2706 -3.2239 -3.1806 -3.1412
 -3.1071
 -8.4760 -7.9710 -7.5123 -7.1077 -6.7572 -6.4557 -6.1962 -5.9707 -5.7723 -5.5956
 -5.4358 -5.2888 -5.1507 -5.0196 -4.8944 -4.5856 -4.2926 -4.0618 -3.8918 -3.7600
 -3.6547 -3.5705 -3.5035 -3.4483 -3.3999 -3.3551 -3.3130 -3.2728 -3.2347 -3.1994
 -3.1667
 -8.5511 -8.0736 -7.6346 -7.2342 -6.8813 -6.5708 -6.2983 -6.0577 -5.8436 -5.6516
 -5.4774 -5.3179 -5.1699 -5.0311 -4.8996 -4.5946 -4.3156 -4.0790 -3.9002 -3.7659
 -3.6604 -3.5769 -3.5120 -3.4611 -3.4192 -3.3822 -3.3480 -3.3152 -3.2839 -3.2540
 -3.2263
 -8.5662 -8.1283 -7.7190 -7.3383 -6.9934 -6.6838 -6.4064 -6.1563 -5.9301 -5.7247
 -5.5373 -5.3656 -5.2071 -5.0594 -4.9202 -4.5957 -4.3416 -4.1049 -3.9122
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = BX   
-10.0336 -9.8843 -9.7280 -9.5501 -9.3698 -9.0859 -8.6227 -7.9998 -7.4753 -6.9403
