 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -8.1528 -7.8754 -7.6517 -7.4618 -7.2890 -7.1242 -6.9612 -6.7903 -6.5824 -6.3154
 -6.0226 -5.7467 -5.5066 -5.3012 -5.1210 -4.7331 -4.4118 -4.1597 -3.9614 -3.7990
 -3.6620 -3.5448 -3.4432 -3.3544 -3.2763 -3.2072 -3.1460 -3.0896 -3.0365 -2.9932
 -2.9677
 -8.2137 -7.8546 -7.5470 -7.2919 -7.0799 -6.8965 -6.7279 -6.5630 -6.3931 -6.1908
 -5.9549 -5.7137 -5.4909 -5.2938 -5.1188 -4.7389 -4.4152 -4.1578 -3.9584 -3.7983
 -3.6652 -3.5526 -3.4567 -3.3739 -3.3020 -3.2388 -3.1829 -3.1330 -3.0872 -3.0453
 -3.0117
 -8.3501 -7.9324 -7.5611 -7.2380 -6.9628 -6.7296 -6.5269 -6.3453 -6.1771 -6.0122
 -5.8343 -5.6474 -5.4603 -5.2815 -5.1158 -4.7484 -4.4251 -4.1614 -3.9581 -3.7982
 -3.6677 -3.5589 -3.4676 -3.3904 -3.3245 -3.2676 -3.2177 -3.1730 -3.1330 -3.0973
 -3.0656
 -8.5859 -8.1055 -7.6778 -7.2988 -6.9678 -6.6826 -6.4380 -6.2256 -6.0369 -5.8650
 -5.7016 -5.5435 -5.3933 -5.2497 -5.1085 -4.7650 -4.4466 -4.1763 -3.9661 -3.8034
 -3.6734 -3.5669 -3.4789 -3.4061 -3.3455 -3.2944 -3.2507 -3.2121 -3.1776 -3.1465
 -3.1202
 -8.9330 -8.3828 -7.8901 -7.4536 -7.0701 -6.7361 -6.4478 -6.2000 -5.9858 -5.7979
 -5.6291 -5.4740 -5.3308 -5.1993 -5.0765 -4.7780 -4.4742 -4.1990 -3.9803 -3.8120
 -3.6803 -3.5745 -3.4885 -3.4189 -3.3626 -3.3167 -3.2788 -3.2465 -3.2181 -3.1929
 -3.1755
 -9.3342 -8.7447 -8.1958 -7.6993 -7.2614 -6.8777 -6.5446 -6.2579 -6.0117 -5.7999
 -5.6156 -5.4527 -5.3063 -5.1731 -5.0198 -4.7874 -4.5079 -4.2295 -4.0007
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  B   
-10.3271-10.2714-10.2652-10.2166-10.0534 -9.7188 -9.1636 -8.4046 -7.6827 -7.0166
 -6.5010 -6.1316 -5.8545 -5.6306 -5.4394 -5.0451 -4.7251 -4.4488 -4.1923
 -9.7934 -9.7246 -9.6553 -9.5702 -9.4449 -9.2374 -8.8641 -8.2188 -7.5183 -6.8790
 -6.3809 -6.0179 -5.7441 -5.5231 -5.3335 -4.9411 -4.6255 -4.3587 -4.1255 -3.9179
