 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  r   
 -3.4057 -3.1410 -2.8984 -2.6898 -2.5201 -2.2536 -2.1178 -2.0309 -1.9709 -1.9309
 -1.9063 -1.8930 -1.8888 -1.8910 -1.8971 -1.9054 -1.9160 -1.9288 -1.9453 -1.9673
 -1.9964
 -6.2426 -5.7289 -5.2710 -4.8827 -4.5649 -4.3069 -4.0879 -3.8851 -3.6768 -3.4519
 -3.2282 -3.0239 -2.8422 -2.6791 -2.5325 -2.2610 -2.1164 -2.0290 -1.9698 -1.9305
 -1.9070 -1.8955 -1.8934 -1.8984 -1.9075 -1.9186 -1.9312 -1.9461 -1.9632 -1.9823
 -2.0032
 -6.3721 -5.8368 -5.3386 -4.8925 -4.5104 -4.1914 -3.9269 -3.7000 -3.4929 -3.2909
 -3.0909 -2.9039 -2.7411 -2.6058 -2.4928 -2.2684 -2.1162 -2.0260 -1.9670 -1.9281
 -1.9053 -1.8952 -1.8949 -1.9023 -1.9146 -1.9292 -1.9449 -1.9610 -1.9779 -1.9966
 -2.0170
 -6.4753 -5.9564 -5.4490 -4.9767 -4.5509 -4.1824 -3.8710 -3.6102 -3.3871 -3.1890
 -3.0064 -2.8368 -2.6838 -2.5525 -2.4440 -2.2514 -2.1149 -2.0215 -1.9618 -1.9232
 -1.9007 -1.8914 -1.8927 -1.9022 -1.9175 -1.9358 -1.9554 -1.9750 -1.9945 -2.0144
 -2.0378
 -6.5180 -6.0258 -5.5388 -5.0669 -4.6241 -4.2287 -3.8839 -3.5916 -3.3463 -3.1384
 -2.9583 -2.7988 -2.6564 -2.5310 -2.3861 -2.2100 -2.1125 -2.0155 -1.9542
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  r   
 -7.5308 -7.2897 -7.2354 -7.2360 -7.1631 -6.9128 -6.4014 -5.6361 -4.8453 -4.0867
 -3.4888 -3.0740 -2.7937 -2.6016 -2.4649 -2.2436 -2.0980 -1.9930 -1.9147
 -7.2955 -7.0096 -6.7893 -6.6297 -6.5173 -6.3829 -6.0950 -5.4582 -4.7388 -4.0397
 -3.4704 -3.0604 -2.7780 -2.5840 -2.4469 -2.2311 -2.0926 -1.9936 -1.9223 -1.8714
 -7.1658 -6.8307 -6.5566 -6.3501 -6.2014 -6.0670 -5.8310 -5.3218 -4.6954 -4.0560
 -3.5064 -3.0908 -2.7957 -2.5906 -2.4468 -2.2282 -2.0930 -1.9974 -1.9297 -1.8819
 -1.8493
 -7.1102 -6.7319 -6.4035 -6.1380 -5.9380 -5.7812 -5.5913 -5.1979 -4.6649 -4.0911
 -3.5660 -3.1459 -2.8352 -2.6142 -2.4587 -2.2303 -2.0962 -2.0026 -1.9369 -1.8913
 -1.8601 -1.8406
 -7.0657 -6.6720 -6.3113 -5.9968 -5.7385 -5.5354 -5.3544 -5.0629 -4.6221 -4.1181
 -3.6281 -3.2117 -2.8887 -2.6508 -2.4805 -2.2353 -2.1005 -2.0081 -1.9436 -1.8994
 -1.8696 -1.8508 -1.8410 -1.8373
 -6.7978 -6.5274 -6.1931 -5.8797 -5.5957 -5.3471 -5.1339 -4.9048 -4.5534 -4.1223
 -3.6778 -3.2766 -2.9487 -2.6966 -2.5109 -2.2427 -2.1047 -2.0131 -1.9492 -1.9060
 -1.8775 -1.8597 -1.8507 -1.8484 -1.8509 -1.8585 -1.8720 -1.8918 -1.9169 -1.9431
 -6.4408 -6.1270 -5.8700 -5.6386 -5.4131 -5.1856 -4.9554 -4.7277 -4.4525 -4.0949
 -3.7042 -3.3306 -3.0077 -2.7477 -2.5484 -2.2528 -2.1082 -2.0169 -1.9535 -1.9109
 -1.8835 -1.8670 -1.8592 -1.8582 -1.8621 -1.8698 -1.8810 -1.8972 -1.9195 -1.9471
 -1.9762
 -6.2136 -5.8106 -5.4858 -5.2365 -5.0418 -4.8757 -4.7127 -4.5269 -4.2961 -4.0156
 -3.6924 -3.3618 -3.0577 -2.7986 -2.5905 -2.2665 -2.1110 -2.0188 -1.9561 -1.9138
 -1.8873 -1.8722 -1.8660 -1.8668 -1.8725 -1.8816 -1.8936 -1.9081 -1.9268 -1.9511
 -1.9813
 -6.1971 -5.7285 -5.3254 -4.9954 -4.7366 -4.5341 -4.3649 -4.2058 -4.0252 -3.8025
 -3.5548 -3.3020 -3.0557 -2.8270 -2.6268 -2.2826 -2.1123 -2.0179 -1.9556 -1.9140
 -1.8883 -1.8748 -1.8704 -1.8732 -1.8814 -1.8928 -1.9066 -1.9218 -1.9394 -1.9609
 -1.9870
 -6.3111 -5.8019 -5.3475 -4.9475 -4.6150 -4.3461 -4.1281 -3.9411 -3.7627 -3.5714
 -3.3599 -3.1465 -2.9494 -2.7738 -2.6176 -2.3044 -2.1166 -2.0165 -1.9538 -1.9125
 -1.8873 -1.8749 -1.8721 -1.8769 -1.8875 -1.9018 -1.9183 -1.9359 -1.9548 -1.9746
 -1.9983
 -6.4519 -5.9463 -5.4617 -5.0177 -4.6272 -4.2959 -4.0206 -3.7906 -3.5905 -3.4033
 -3.2157 -3.0273 -2.8484 -2.6898 -2.5550 -2.3012 -2.1228 -2.0142 -1.9498 -1.9086
 -1.8837 -1.8720 -1.8706 -1.8773 -1.8901 -1.9074 -1.9272 -1.9480 -1.9693 -1.9912
 -2.0153
 -6.5465 -6.0639 -5.5877 -5.1288 -4.7078 -4.3333 -4.0101 -3.7365 -3.5049 -3.3039
 -3.1216 -2.9503 -2.7890 -2.6416 -2.4390 -2.2730 -2.1309 -2.0110 -1.9436
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  r   
 -7.4564 -7.2702 -7.2873 -7.3448 -7.2942 -7.0433 -6.5294 -5.7582 -5.0434 -4.3055
 -3.6562 -3.1833 -2.8588 -2.6354 -2.4785 -2.2352 -2.0850 -1.9790 -1.9009
 -7.2247 -6.9945 -6.8302 -6.7263 -6.6590 -6.5726 -6.3170 -5.6672 -4.9647 -4.2617
 -3.6442 -3.1792 -2.8519 -2.6250 -2.4655 -2.2249 -2.0803 -1.9794 -1.9074 -1.8558
