 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.5295 -2.2949 -2.0885 -1.9127 -1.7465 -1.5970 -1.4787 -1.3737 -1.2781 -1.1931
 -1.1125 -1.0358 -0.9639 -0.8963 -0.8333 -0.6932 -0.5783 -0.4860 -0.4132
 -2.4870 -2.3272 -2.1059 -1.9099 -1.7391 -1.5839 -1.4597 -1.3508 -1.2542 -1.1687
 -1.0887 -1.0133 -0.9425 -0.8762 -0.8139 -0.6773 -0.5667 -0.4799 -0.4141 -0.3654
 -2.3823 -2.3217 -2.1314 -1.9268 -1.7448 -1.5840 -1.4486 -1.3361 -1.2388 -1.1519
 -1.0730 -0.9991 -0.9297 -0.8645 -0.8034 -0.6692 -0.5614 -0.4779 -0.4157 -0.3702
 -0.3376
 -2.2328 -2.1355 -2.1092 -1.9473 -1.7628 -1.5964 -1.4512 -1.3302 -1.2289 -1.1405
 -1.0621 -0.9895 -0.9216 -0.8576 -0.7976 -0.6655 -0.5594 -0.4779 -0.4179 -0.3745
 -0.3437 -0.3222
 -2.1251 -1.9701 -1.9011 -1.8949 -1.7768 -1.6147 -1.4647 -1.3343 -1.2254 -1.1339
 -1.0542 -0.9825 -0.9157 -0.8531 -0.7942 -0.6643 -0.5594 -0.4790 -0.4204 -0.3785
 -0.3492 -0.3292 -0.3158 -0.3066
 -2.1187 -1.9414 -1.7930 -1.6984 -1.6708 -1.6136 -1.4817 -1.3478 -1.2304 -1.1321
 -1.0488 -0.9768 -0.9109 -0.8495 -0.7918 -0.6641 -0.5603 -0.4806 -0.4227 -0.3820
 -0.3539 -0.3354 -0.3238 -0.3165 -0.3128 -0.3125 -0.3164 -0.3250 -0.3381 -0.3554
 -2.1216 -1.9418 -1.7775 -1.6373 -1.5324 -1.4701 -1.4327 -1.3559 -1.2437 -1.1378
 -1.0483 -0.9727 -0.9069 -0.8462 -0.7896 -0.6641 -0.5615 -0.4823 -0.4247 -0.3846
