 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -1.3779 -1.1694 -1.0196 -0.9205 -0.8583 -0.8206 -0.7989 -0.7872 -0.7820 -0.7808
 -0.7818
-10.0089 -9.1721 -8.3983 -7.7005 -7.0714 -6.5124 -6.0194 -5.5886 -5.2137 -4.8868
 -4.5991 -4.3429 -4.1114 -3.8995 -3.7030 -3.2679 -2.8540 -2.4226 -2.0287 -1.6941
 -1.4145 -1.1898 -1.0206 -0.9033 -0.8281 -0.7830 -0.7582 -0.7465 -0.7435 -0.7461
 -0.7518
-10.7272 -9.8635 -9.0578 -8.3116 -7.6264 -7.0015 -6.4380 -5.9353 -5.4934 -5.1071
 -4.7694 -4.4718 -4.2064 -3.9666 -3.7453 -3.2224 -2.8806 -2.5062 -2.1027
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  U   
 -7.2570 -7.2564 -7.2573 -7.2522 -7.2356 -7.1990 -7.1343 -7.0350 -6.8969 -6.7214
 -6.5108 -6.2661 -5.9926 -5.7030 -5.4123 -4.6997 -4.0144 -3.3620 -2.7653
 -6.7569 -6.7359 -6.7245 -6.7132 -6.6936 -6.6588 -6.6014 -6.5133 -6.3890 -6.2259
 -6.0219 -5.7791 -5.5061 -5.2196 -4.9334 -4.2521 -3.6187 -3.0384 -2.5313 -2.1105
 -6.3975 -6.3260 -6.2823 -6.2526 -6.2237 -6.1858 -6.1305 -6.0508 -5.9400 -5.7937
 -5.6080 -5.3821 -5.1226 -4.8464 -4.5697 -3.9197 -3.3312 -2.8048 -2.3491 -1.9720
 -1.6822
 -6.2723 -6.1165 -5.9987 -5.9154 -5.8562 -5.8047 -5.7454 -5.6688 -5.5682 -5.4380
 -5.2735 -5.0714 -4.8335 -4.5725 -4.3064 -3.6814 -3.1262 -2.6346 -2.2128 -1.8649
 -1.5953 -1.4001
 -6.3483 -6.1073 -5.8910 -5.7459 -5.6391 -5.5494 -5.4699 -5.3858 -5.2863 -5.1652
 -5.0173 -4.8381 -4.6243 -4.3818 -4.1267 -3.5190 -2.9854 -2.5170 -2.1154 -1.7852
 -1.5277 -1.3413 -1.2095 -1.1127
 -6.5889 -6.2570 -5.9603 -5.7189 -5.5287 -5.3848 -5.2815 -5.1981 -5.1035 -4.9839
 -4.8405 -4.6737 -4.4805 -4.2583 -4.0156 -3.4186 -2.8962 -2.4420 -2.0516 -1.7301
 -1.4782 -1.2941 -1.1663 -1.0764 -1.0095 -0.9564 -0.9117 -0.8716 -0.8330 -0.7944
 -6.9666 -6.5288 -6.1563 -5.8406 -5.5764 -5.3588 -5.1822 -5.0406 -4.9281 -4.8302
 -4.7174 -4.5693 -4.3894 -4.1853 -3.9584 -3.3699 -2.8495 -2.4025 -2.0177 -1.6981
 -1.4458 -1.2587 -1.1292 -1.0410 -0.9791 -0.9330 -0.8969 -0.8666 -0.8398 -0.8140
 -0.7870
 -7.4732 -6.9245 -6.4611 -6.0689 -5.7353 -5.4521 -5.2131 -5.0117 -4.8406 -4.6925
 -4.5616 -4.4394 -4.3037 -4.1341 -3.9325 -3.3647 -2.8401 -2.3935 -2.0102 -1.6880
 -1.4303 -1.2355 -1.0989 -1.0075 -0.9464 -0.9042 -0.8738 -0.8508 -0.8321 -0.8162
 -0.8015
 -8.1575 -7.4786 -6.8999 -6.4097 -5.9944 -5.6406 -5.3376 -5.0774 -4.8533 -4.6576
 -4.4828 -4.3235 -4.1769 -4.0351 -3.8801 -3.3872 -2.8600 -2.4079 -2.0222 -1.6952
 -1.4286 -1.2228 -1.0747 -0.9755 -0.9115 -0.8703 -0.8437 -0.8258 -0.8135 -0.8045
 -0.7975
 -8.9879 -8.2010 -7.4995 -6.8975 -6.3809 -5.9400 -5.5620 -5.2372 -4.9558 -4.7104
 -4.4934 -4.2980 -4.1188 -3.9527 -3.7968 -3.3948 -2.9143 -2.4533 -2.0615 -1.7274
 -1.4495 -1.2289 -1.0646 -0.9515 -0.8788 -0.8340 -0.8075 -0.7924 -0.7846 -0.7811
 -0.7802
 -9.8542 -8.9934 -8.2101 -7.5069 -6.8911 -6.3542 -5.8896 -5.4886 -5.1421 -4.8411
 -4.5773 -4.3431 -4.1318 -3.9385 -3.7593 -3.3608 -2.9582 -2.5199 -2.1191 -1.7763
 -1.4868 -1.2510 -1.0689 -0.9379 -0.8512 -0.7978 -0.7675 -0.7520 -0.7462 -0.7465
 -0.7504
-10.6870 -9.7823 -8.9443 -8.1761 -7.4848 -6.8658 -6.3176 -5.8356 -5.4155 -5.0510
 -4.7337 -4.4550 -4.2074 -3.9843 -3.7676 -3.2852 -2.9917 -2.6077 -2.1950
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  U   
 -7.2561 -7.2671 -7.2730 -7.2677 -7.2467 -7.2019 -7.1251 -7.0117 -6.8648 -6.6933
 -6.5052 -6.2931 -6.0543 -5.7929 -5.5192 -4.8233 -4.1465 -3.5049 -2.9184
 -6.7356 -6.7358 -6.7364 -6.7302 -6.7111 -6.6735 -6.6115 -6.5178 -6.3900 -6.2315
 -6.0455 -5.8323 -5.5911 -5.3298 -5.0592 -4.3910 -3.7572 -3.1788 -2.6697 -2.2369
 -6.3215 -6.2938 -6.2781 -6.2640 -6.2433 -6.2094 -6.1562 -6.0774 -5.9682 -5.8272
 -5.6551 -5.4527 -5.2217 -4.9696 -4.7084 -4.0704 -3.4772 -2.9433 -2.4809 -2.0924
 -1.7811
 -6.1007 -6.0007 -5.9378 -5.8970 -5.8638 -5.8265 -5.7766 -5.7072 -5.6130 -5.4899
 -5.3362 -5.1515 -4.9369 -4.6990 -4.4490 -3.8371 -3.2759 -2.7733 -2.3402 -1.9800
 -1.6910 -1.4737
 -6.1232 -5.9283 -5.7888 -5.6825 -5.6024 -5.5417 -5.4846 -5.4167 -5.3308 -5.2218
 -5.0855 -4.9200 -4.7245 -4.5028 -4.2649 -3.6726 -3.1337 -2.6535 -2.2388 -1.8955
 -1.6205 -1.4126 -1.2630 -1.1535
 -6.3458 -6.0404 -5.7945 -5.6055 -5.4676 -5.3689 -5.2906 -5.2161 -5.1290 -5.0244
 -4.8989 -4.7490 -4.5720 -4.3677 -4.1424 -3.5651 -3.0391 -2.5743 -2.1711 -1.8363
 -1.5685 -1.3643 -1.2178 -1.1142 -1.0381 -0.9780 -0.9278 -0.8830 -0.8402 -0.7976
 -6.6777 -6.2881 -5.9583 -5.6834 -5.4602 -5.2831 -5.1475 -5.0490 -4.9713 -4.8855
 -4.7731 -4.6330 -4.4688 -4.2810 -4.0699 -3.5062 -2.9855 -2.5296 -2.1333 -1.8008
 -1.5339 -1.3284 -1.1800 -1.0772 -1.0054 -0.9525 -0.9109 -0.8764 -0.8461 -0.8169
 -0.7860
 -7.1346 -6.6445 -6.2295 -5.8779 -5.5823 -5.3364 -5.1342 -4.9700 -4.8371 -4.7271
 -4.6284 -4.5232 -4.3906 -4.2252 -4.0334 -3.4886 -2.9683 -2.5153 -2.1219 -1.7879
 -1.5165 -1.3053 -1.1504 -1.0434 -0.9715 -0.9221 -0.8866 -0.8594 -0.8375 -0.8185
 -0.8007
 -7.7745 -7.1495 -6.6235 -6.1805 -5.8071 -5.4916 -5.2256 -5.0020 -4.8138 -4.6526
 -4.5104 -4.3814 -4.2601 -4.1344 -3.9857 -3.5007 -2.9799 -2.5244 -2.1305 -1.7926
 -1.5132 -1.2926 -1.1278 -1.0126 -0.9365 -0.8873 -0.8552 -0.8333 -0.8177 -0.8060
 -0.7966
 -8.6215 -7.8590 -7.1946 -6.6329 -6.1593 -5.7598 -5.4214 -5.1335 -4.8873 -4.6752
 -4.4891 -4.3216 -4.1676 -4.0246 -3.8888 -3.5093 -3.0259 -2.5648 -2.1670 -1.8233
 -1.5333 -1.2992 -1.1200 -0.9914 -0.9056 -0.8516 -0.8189 -0.7996 -0.7884 -0.7822
 -0.7790
 -9.5696 -8.7061 -7.9306 -7.2427 -6.6546 -6.1525 -5.7256 -5.3617 -5.0499 -4.7812
 -4.5468 -4.3393 -4.1521 -3.9802 -3.8209 -3.4625 -3.0713 -2.6265 -2.2221 -1.8715
 -1.5708 -1.3223 -1.1268 -0.9814 -0.8812 -0.8174 -0.7799 -0.7595 -0.7500 -0.7476
 -0.7492
-10.4933 -9.5752 -8.7275 -7.9587 -7.2697 -6.6682 -6.1456 -5.6946 -5.3063 -4.9720
 -4.6821 -4.4286 -4.2037 -4.0010 -3.7820 -3.3603 -3.1161 -2.7095 -2.2958
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  U   
 -7.2865 -7.3021 -7.3076 -7.2972 -7.2673 -7.2093 -7.1148 -6.9817 -6.8255 -6.6600
 -6.4894 -6.3067 -6.1022 -5.8725 -5.6201 -4.9481 -4.2756 -3.6412 -3.0674
 -6.7529 -6.7638 -6.7686 -6.7616 -6.7379 -6.6926 -6.6204 -6.5149 -6.3805 -6.2262
 -6.0573 -5.8715 -5.6630 -5.4311 -5.1811 -4.5320 -3.8972 -3.3141 -2.8054 -2.3664
 -6.3076 -6.3037 -6.3014 -6.2935 -6.2739 -6.2378 -6.1804 -6.0962 -5.9835 -5.8456
 -5.6866 -5.5076 -5.3060 -5.0818 -4.8410 -4.2217 -3.6247 -3.0810 -2.6112 -2.2147
 -1.8884
 -6.0013 -5.9570 -5.9311 -5.9116 -5.8890 -5.8564 -5.8083 -5.7390 -5.6448 -5.5247
 -5.3803 -5.2134 -5.0236 -4.8116 -4.5823 -3.9910 -3.4263 -2.9122 -2.4676 -2.0966
 -1.7938 -1.5564
 -5.9392 -5.8028 -5.7060 -5.6418 -5.5969 -5.5569 -5.5100 -5.4487 -5.3675 -5.2632
 -5.1345 -4.9820 -4.8060 -4.6074 -4.3903 -3.8221 -3.2818 -2.7911 -2.3637 -2.0079
 -1.7195 -1.4930 -1.3243 -1.1989
 -6.0936 -5.8464 -5.6633 -5.5326 -5.4344 -5.3563 -5.2932 -5.2294 -5.1531 -5.0591
 -4.9438 -4.8056 -4.6439 -4.4593 -4.2544 -3.7054 -3.1806 -2.7077 -2.2928 -1.9450
 -1.6638 -1.4425 -1.2769 -1.1578 -1.0703 -1.0028 -0.9468 -0.8971 -0.8496 -0.8027
 -6.4015 -6.0589 -5.7742 -5.5458 -5.3684 -5.2357 -5.1402 -5.0693 -4.9992 -4.9123
 -4.8051 -4.6776 -4.5288 -4.3579 -4.1655 -3.6345 -3.1187 -2.6568 -2.2509 -1.9062
 -1.6258 -1.4046 -1.2380 -1.1186 -1.0349 -0.9741 -0.9270 -0.8882 -0.8540 -0.8210
 -0.7863
 -6.8126 -6.3787 -6.0105 -5.7001 -5.4433 -5.2345 -5.0680 -4.9395 -4.8438 -4.7651
 -4.6830 -4.5798 -4.4486 -4.2925 -4.1145 -3.6038 -3.0929 -2.6360 -2.2349 -1.8901
 -1.6057 -1.3797 -1.2077 -1.0840 -0.9991 -0.9412 -0.9001 -0.8687 -0.8434 -0.8216
