 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -3.9009 -3.6068 -3.3864 -3.2084 -3.0598 -2.9337 -2.8234 -2.7240 -2.6335 -2.5504
 -2.4742 -2.4048 -2.3427 -2.2880 -2.2408 -2.1496 -2.0817 -2.0253 -1.9822
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  w   
 -4.3033 -4.0299 -3.7813 -3.5697 -3.3813 -3.2107 -3.0754 -2.9583 -2.8595 -2.7683
 -2.6812 -2.5991 -2.5221 -2.4500 -2.3825 -2.2339 -2.1147 -2.0240 -1.9597
 -4.1192 -4.0345 -3.7896 -3.5627 -3.3653 -3.1915 -3.0497 -2.9317 -2.8305 -2.7390
 -2.6536 -2.5736 -2.4985 -2.4282 -2.3625 -2.2196 -2.1073 -2.0237 -1.9660 -1.9290
 -3.9444 -3.9401 -3.7919 -3.5747 -3.3697 -3.1883 -3.0381 -2.9140 -2.8106 -2.7189
 -2.6353 -2.5573 -2.4843 -2.4159 -2.3520 -2.2132 -2.1051 -2.0259 -1.9719 -1.9373
 -1.9171
 -3.8048 -3.6773 -3.6654 -3.5710 -3.3846 -3.2012 -3.0405 -2.9071 -2.7978 -2.7046
 -2.6220 -2.5459 -2.4748 -2.4083 -2.3461 -2.2109 -2.1056 -2.0291 -1.9775 -1.9446
 -1.9257 -1.9163
 -3.7749 -3.5847 -3.4498 -3.4005 -3.3592 -3.2154 -3.0546 -2.9114 -2.7929 -2.6952
 -2.6116 -2.5367 -2.4673 -2.4026 -2.3421 -2.2104 -2.1074 -2.0326 -1.9825 -1.9510
 -1.9331 -1.9249 -1.9225 -1.9239
 -3.7690 -3.5666 -3.3932 -3.2581 -3.1734 -3.1335 -3.0563 -2.9250 -2.7983 -2.6918
 -2.6039 -2.5288 -2.4606 -2.3974 -2.3385 -2.2101 -2.1092 -2.0357 -1.9866 -1.9560
 -1.9392 -1.9323 -1.9314 -1.9343 -1.9403 -1.9499 -1.9641 -1.9834 -2.0075 -2.0341
 -3.7735 -3.5672 -3.3846 -3.2266 -3.0961 -2.9964 -2.9282 -2.8781 -2.8010 -2.6969
 -2.6011 -2.5221 -2.4541 -2.3920 -2.3344 -2.2091 -2.1102 -2.0378 -1.9892 -1.9593
 -1.9434 -1.9379 -1.9391 -1.9439 -1.9513 -1.9613 -1.9742 -1.9909 -2.0123 -2.0391
 -2.0688
 -3.7917 -3.5763 -3.3898 -3.2251 -3.0810 -2.9581 -2.8563 -2.7741 -2.7110 -2.6583
 -2.5946 -2.5178 -2.4480 -2.3863 -2.3296 -2.2071 -2.1101 -2.0385 -1.9901 -1.9605
 -1.9453 -1.9412 -1.9447 -1.9523 -1.9621 -1.9735 -1.9872 -2.0028 -2.0217 -2.0454
 -2.0750
 -3.8254 -3.5935 -3.3997 -3.2313 -3.0824 -2.9515 -2.8376 -2.7395 -2.6556 -2.5851
 -2.5276 -2.4783 -2.4276 -2.3750 -2.3220 -2.2025 -2.1074 -2.0367 -1.9885 -1.9589
 -1.9444 -1.9416 -1.9474 -1.9583 -1.9714 -1.9856 -2.0011 -2.0175 -2.0359 -2.0574
 -2.0829
 -3.8844 -3.6291 -3.4205 -3.2451 -3.0927 -2.9581 -2.8392 -2.7341 -2.6419 -2.5610
 -2.4907 -2.4307 -2.3804 -2.3376 -2.2977 -2.1964 -2.1043 -2.0342 -1.9857 -1.9557
 -1.9411 -1.9389 -1.9465 -1.9604 -1.9773 -1.9952 -2.0137 -2.0325 -2.0521 -2.0726
 -2.0961
 -3.9743 -3.6861 -3.4566 -3.2669 -3.1073 -2.9694 -2.8475 -2.7393 -2.6429 -2.5571
 -2.4809 -2.4138 -2.3554 -2.3054 -2.2635 -2.1773 -2.0977 -2.0299 -1.9813 -1.9506
 -1.9354 -1.9333 -1.9418 -1.9581 -1.9787 -2.0008 -2.0232 -2.0454 -2.0676 -2.0900
 -2.1122
 -4.1064 -3.7708 -3.5130 -3.3037 -3.1300 -2.9843 -2.8590 -2.7484 -2.6499 -2.5616
 -2.4822 -2.4113 -2.3483 -2.2931 -2.2454 -2.1541 -2.0833 -2.0225 -1.9753
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  w   
 -4.2426 -3.9695 -3.7324 -3.5326 -3.3467 -3.1816 -3.0526 -2.9402 -2.8391 -2.7492
 -2.6643 -2.5839 -2.5088 -2.4384 -2.3727 -2.2273 -2.1106 -2.0197 -1.9510
 -4.1840 -3.9979 -3.7478 -3.5276 -3.3372 -3.1662 -3.0309 -2.9145 -2.8128 -2.7229
 -2.6392 -2.5607 -2.4874 -2.4187 -2.3543 -2.2135 -2.1011 -2.0158 -1.9557 -1.9164
 -4.0635 -3.9857 -3.7719 -3.5446 -3.3430 -3.1660 -3.0185 -2.8979 -2.7952 -2.7044
 -2.6223 -2.5458 -2.4743 -2.4073 -2.3446 -2.2073 -2.0984 -2.0170 -1.9605 -1.9239
 -1.9022
 -3.9001 -3.7827 -3.7451 -3.5651 -3.3620 -3.1795 -3.0213 -2.8909 -2.7835 -2.6912
 -2.6099 -2.5351 -2.4654 -2.4002 -2.3391 -2.2050 -2.0985 -2.0195 -1.9652 -1.9303
 -1.9097 -1.8995
 -3.7884 -3.6059 -3.5231 -3.5084 -3.3765 -3.1992 -3.0360 -2.8951 -2.7789 -2.6827
 -2.6002 -2.5264 -2.4582 -2.3947 -2.3353 -2.2046 -2.1001 -2.0226 -1.9696 -1.9359
 -1.9162 -1.9068 -1.9044 -1.9062
 -3.7943 -3.5791 -3.4089 -3.3012 -3.2651 -3.1984 -3.0543 -2.9097 -2.7838 -2.6797
 -2.5929 -2.5188 -2.4517 -2.3896 -2.3317 -2.2044 -2.1020 -2.0255 -1.9734 -1.9405
 -1.9216 -1.9131 -1.9118 -1.9150 -1.9216 -1.9319 -1.9472 -1.9681 -1.9931 -2.0206
 -3.8213 -3.5905 -3.3958 -3.2375 -3.1204 -3.0489 -3.0039 -2.9186 -2.7978 -2.6850
 -2.5908 -2.5127 -2.4455 -2.3842 -2.3276 -2.2035 -2.1033 -2.0279 -1.9762 -1.9437
 -1.9255 -1.9179 -1.9181 -1.9229 -1.9307 -1.9414 -1.9554 -1.9736 -1.9966 -2.0244
 -2.0548
 -3.8673 -3.6196 -3.4114 -3.2353 -3.0889 -2.9720 -2.8831 -2.8189 -2.7646 -2.6894
 -2.5958 -2.5107 -2.4401 -2.3790 -2.3230 -2.2014 -2.1035 -2.0291 -1.9776 -1.9453
 -1.9276 -1.9211 -1.9227 -1.9297 -1.9396 -1.9517 -1.9663 -1.9834 -2.0041 -2.0295
 -2.0600
 -3.9231 -3.6621 -3.4397 -3.2522 -3.0926 -2.9580 -2.8461 -2.7537 -2.6781 -2.6170
 -2.5626 -2.5021 -2.4344 -2.3725 -2.3168 -2.1973 -2.1012 -2.0279 -1.9767 -1.9445
 -1.9274 -1.9218 -1.9251 -1.9345 -1.9472 -1.9617 -1.9780 -1.9961 -2.0161 -2.0393
 -2.0669
 -4.0148 -3.7260 -3.4836 -3.2831 -3.1137 -2.9689 -2.8454 -2.7400 -2.6501 -2.5729
 -2.5069 -2.4510 -2.4016 -2.3536 -2.3063 -2.1933 -2.0988 -2.0263 -1.9750 -1.9423
 -1.9251 -1.9201 -1.9246 -1.9362 -1.9519 -1.9696 -1.9886 -2.0087 -2.0299 -2.0527
 -2.0779
 -4.1299 -3.8112 -3.5450 -3.3262 -3.1446 -2.9912 -2.8596 -2.7462 -2.6480 -2.5626
 -2.4878 -2.4226 -2.3660 -2.3172 -2.2750 -2.1818 -2.0947 -2.0231 -1.9717 -1.9384
 -1.9206 -1.9156 -1.9209 -1.9342 -1.9527 -1.9740 -1.9966 -2.0197 -2.0432 -2.0674
 -2.0919
 -4.2684 -3.9177 -3.6240 -3.3851 -3.1864 -3.0217 -2.8823 -2.7623 -2.6582 -2.5670
 -2.4868 -2.4161 -2.3537 -2.2990 -2.2229 -2.1628 -2.0889 -2.0183 -1.9668
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  w   
 -4.1928 -3.9202 -3.6921 -3.5042 -3.3194 -3.1604 -3.0304 -2.9210 -2.8210 -2.7331
 -2.6493 -2.5703 -2.4964 -2.4275 -2.3632 -2.2206 -2.1049 -2.0133 -1.9424
 -4.2270 -3.9575 -3.7095 -3.4963 -3.3133 -3.1470 -3.0106 -2.8981 -2.7967 -2.7087
 -2.6262 -2.5490 -2.4768 -2.4094 -2.3462 -2.2073 -2.0949 -2.0081 -1.9455 -1.9034
