 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F1130W
 -2.3512 -2.4307 -2.5040 -2.5679 -2.6232 -2.7831 -2.9620 -3.1350 -3.2995 -3.4568
 -3.6085 -3.7550 -3.8953 -4.0295 -4.1580 -4.2814 -4.4008 -4.5165 -4.6289 -4.7373
 -4.8428
 -1.3880 -1.4959 -1.5992 -1.6993 -1.7974 -1.8940 -1.9890 -2.0815 -2.1706 -2.2554
 -2.3362 -2.4144 -2.4900 -2.5605 -2.6245 -2.7895 -2.9647 -3.1378 -3.3026 -3.4600
 -3.6122 -3.7580 -3.8986 -4.0332 -4.1618 -4.2851 -4.4041 -4.5193 -4.6307 -4.7385
 -4.8427
 -1.3912 -1.5006 -1.6033 -1.7025 -1.7987 -1.8928 -1.9850 -2.0753 -2.1632 -2.2478
 -2.3285 -2.4051 -2.4784 -2.5483 -2.6133 -2.7886 -2.9691 -3.1417 -3.3070 -3.4646
 -3.6161 -3.7625 -3.9034 -4.0385 -4.1675 -4.2912 -4.4101 -4.5247 -4.6356 -4.7432
 -4.8473
 -1.3975 -1.5040 -1.6052 -1.7037 -1.7992 -1.8919 -1.9823 -2.0703 -2.1564 -2.2401
 -2.3208 -2.3979 -2.4712 -2.5406 -2.6054 -2.7747 -2.9650 -3.1414 -3.3070 -3.4648
 -3.6161 -3.7623 -3.9034 -4.0389 -4.1685 -4.2926 -4.4118 -4.5264 -4.6371 -4.7441
 -4.8502
 -1.4116 -1.5112 -1.6092 -1.7055 -1.7999 -1.8918 -1.9810 -2.0676 -2.1522 -2.2345
 -2.3144 -2.3917 -2.4659 -2.5363 -2.6026 -2.7643 -2.9516 -3.1371 -3.3059 -3.4641
 -3.6153 -3.7612 -3.9023 -4.0383 -4.1685 -4.2933 -4.4131 -4.5281 -4.6388 -4.7458
 -4.8493
 -1.4372 -1.5285 -1.6202 -1.7120 -1.8032 -1.8930 -1.9808 -2.0663 -2.1495 -2.2305
 -2.3094 -2.3863 -2.4607 -2.5323 -2.6049 -2.7574 -2.9289 -3.1288 -3.3037
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F1130W
 -1.2582 -1.3379 -1.4100 -1.4781 -1.5431 -1.6188 -1.7099 -1.8111 -1.8922 -2.0107
 -2.1033 -2.1911 -2.2744 -2.3531 -2.4286 -2.6088
 -1.3432 -1.4340 -1.5163 -1.5911 -1.6605 -1.7314 -1.8103 -1.8996 -1.9907 -2.0808
 -2.1676 -2.2509 -2.3315 -2.4101 -2.4868 -2.6710 -2.8464 -3.0159 -3.1814
 -1.4005 -1.5001 -1.5909 -1.6724 -1.7463 -1.8151 -1.8858 -1.9665 -2.0505 -2.1348
 -2.2172 -2.2969 -2.3747 -2.4520 -2.5288 -2.7155 -2.8928 -3.0627 -3.2267 -3.3858
 -3.5388
 -1.4301 -1.5362 -1.6338 -1.7220 -1.8004 -1.8700 -1.9364 -2.0118 -2.0918 -2.1727
 -2.2521 -2.3291 -2.4040 -2.4788 -2.5546 -2.7423 -2.9214 -3.0921 -3.2557 -3.4131
 -3.5652 -3.7108 -3.8504
 -1.4378 -1.5508 -1.6554 -1.7508 -1.8361 -1.9107 -1.9763 -2.0465 -2.1233 -2.2018
 -2.2794 -2.3546 -2.4270 -2.4985 -2.5718 -2.7587 -2.9390 -3.1105 -3.2742 -3.4309
 -3.5822 -3.7278 -3.8676 -4.0018 -4.1314
 -1.4155 -1.5370 -1.6521 -1.7586 -1.8547 -1.9385 -2.0097 -2.0763 -2.1497 -2.2261
 -2.3024 -2.3766 -2.4474 -2.5159 -2.5854 -2.7689 -2.9498 -3.1220 -3.2860 -3.4427
 -3.5933 -3.7387 -3.8784 -4.0125 -4.1418 -4.2669
 -1.3915 -1.5079 -1.6225 -1.7345 -1.8418 -1.9413 -2.0280 -2.0998 -2.1717 -2.2467
 -2.3223 -2.3963 -2.4668 -2.5334 -2.5989 -2.7758 -2.9565 -3.1293 -3.2937 -3.4505
 -3.6008 -3.7458 -3.8854 -4.0194 -4.1483 -4.2727 -4.3935 -4.5109 -4.6250 -4.7352
 -1.3830 -1.4940 -1.6027 -1.7098 -1.8154 -1.9177 -2.0137 -2.0993 -2.1771 -2.2552
 -2.3332 -2.4097 -2.4826 -2.5497 -2.6142 -2.7814 -2.9606 -3.1339 -3.2987 -3.4557
 -3.6059 -3.7506 -3.8900 -4.0241 -4.1528 -4.2768 -4.3968 -4.5132 -4.6264 -4.7362
 -4.8419
 -1.3849 -1.4930 -1.5973 -1.6994 -1.8001 -1.8995 -1.9960 -2.0865 -2.1696 -2.2484
 -2.3269 -2.4058 -2.4834 -2.5575 -2.6264 -2.7880 -2.9634 -3.1367 -3.3019 -3.4591
 -3.6094 -3.7538 -3.8930 -4.0271 -4.1560 -4.2798 -4.3994 -4.5151 -4.6274 -4.7365
 -4.8440
 -1.3910 -1.5001 -1.6025 -1.7012 -1.7977 -1.8930 -1.9869 -2.0779 -2.1644 -2.2457
 -2.3231 -2.3986 -2.4737 -2.5487 -2.6223 -2.7970 -2.9680 -3.1409 -3.3065 -3.4641
 -3.6144 -3.7586 -3.8977 -4.0320 -4.1612 -4.2853 -4.4049 -4.5202 -4.6319 -4.7404
 -4.8455
 -1.3962 -1.5048 -1.6072 -1.7049 -1.7992 -1.8913 -1.9821 -2.0712 -2.1580 -2.2412
 -2.3203 -2.3956 -2.4681 -2.5390 -2.6095 -2.7899 -2.9700 -3.1412 -3.3069 -3.4647
 -3.6151 -3.7591 -3.8979 -4.0323 -4.1618 -4.2863 -4.4060 -4.5212 -4.6326 -4.7406
 -4.8452
 -1.3977 -1.5067 -1.6099 -1.7079 -1.8018 -1.8927 -1.9815 -2.0686 -2.1539 -2.2371
 -2.3174 -2.3942 -2.4672 -2.5370 -2.6046 -2.7765 -2.9626 -3.1412 -3.3068 -3.4647
 -3.6151 -3.7591 -3.8977 -4.0320 -4.1617 -4.2867 -4.4070 -4.5225 -4.6339 -4.7416
 -4.8458
 -1.4009 -1.5079 -1.6104 -1.7089 -1.8029 -1.8938 -1.9820 -2.0679 -2.1520 -2.2342
 -2.3142 -2.3917 -2.4660 -2.5370 -2.6076 -2.7568 -2.9458 -3.1409 -3.3062
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =F1130W
 -1.2434 -1.3216 -1.3927 -1.4616 -1.5288 -1.6061 -1.6989 -1.8011 -1.8862 -2.0053
 -2.1001 -2.1896 -2.2736 -2.3533 -2.4286 -2.6068
 -1.3312 -1.4208 -1.5019 -1.5765 -1.6465 -1.7180 -1.7971 -1.8861 -1.9784 -2.0707
 -2.1604 -2.2466 -2.3293 -2.4091 -2.4861 -2.6694 -2.8440 -3.0129 -3.1775
 -1.3910 -1.4896 -1.5792 -1.6598 -1.7332 -1.8018 -1.8717 -1.9512 -2.0353 -2.1213
 -2.2067 -2.2899 -2.3708 -2.4499 -2.5275 -2.7141 -2.8909 -3.0606 -3.2244 -3.3830
 -3.5358
 -1.4228 -1.5280 -1.6246 -1.7115 -1.7888 -1.8574 -1.9227 -1.9964 -2.0755 -2.1571
