 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  i   
 -1.5323 -1.4390 -1.3636 -1.3018 -1.2504 -1.1550 -1.0907 -1.0481 -1.0260 -1.0218
 -1.0311 -1.0510 -1.0781 -1.1104
 -2.7052 -2.5168 -2.3747 -2.2638 -2.1654 -2.0682 -1.9693 -1.8628 -1.7437 -1.6258
 -1.5216 -1.4345 -1.3621 -1.3015 -1.2505 -1.1560 -1.0939 -1.0537 -1.0327 -1.0289
 -1.0381 -1.0573 -1.0838 -1.1152 -1.1505 -1.1900 -1.2342 -1.2841 -1.3374 -1.3892
 -2.6146 -2.3929 -2.2160 -2.0781 -1.9708 -1.8863 -1.8168 -1.7494 -1.6721 -1.5860
 -1.5006 -1.4235 -1.3565 -1.2987 -1.2489 -1.1554 -1.0952 -1.0571 -1.0372 -1.0337
 -1.0430 -1.0621 -1.0885 -1.1197 -1.1544 -1.1922 -1.2333 -1.2786 -1.3287 -1.3823
 -1.4349
 -2.5932 -2.3532 -2.1545 -1.9925 -1.8628 -1.7588 -1.6739 -1.6022 -1.5401 -1.4868
 -1.4391 -1.3912 -1.3409 -1.2909 -1.2445 -1.1532 -1.0942 -1.0580 -1.0393 -1.0359
 -1.0455 -1.0649 -1.0916 -1.1236 -1.1587 -1.1961 -1.2360 -1.2783 -1.3242 -1.3744
 -1.4285
 -2.6032 -2.3524 -2.1397 -1.9621 -1.8159 -1.6972 -1.6010 -1.5214 -1.4535 -1.3951
 -1.3475 -1.3113 -1.2833 -1.2570 -1.2274 -1.1479 -1.0902 -1.0557 -1.0384 -1.0356
 -1.0455 -1.0656 -1.0932 -1.1264 -1.1628 -1.2010 -1.2409 -1.2823 -1.3258 -1.3721
 -1.4224
 -2.6353 -2.3752 -2.1527 -1.9640 -1.8056 -1.6753 -1.5693 -1.4829 -1.4116 -1.3515
 -1.3004 -1.2578 -1.2242 -1.1990 -1.1799 -1.1348 -1.0844 -1.0510 -1.0348 -1.0325
 -1.0425 -1.0630 -1.0915 -1.1259 -1.1641 -1.2040 -1.2449 -1.2866 -1.3293 -1.3736
 -1.4202
 -2.6813 -2.4103 -2.1787 -1.9802 -1.8130 -1.6734 -1.5592 -1.4664 -1.3906 -1.3282
 -1.2757 -1.2313 -1.1939 -1.1631 -1.1388 -1.1008 -1.0717 -1.0433 -1.0283 -1.0266
 -1.0367 -1.0573 -1.0865 -1.1221 -1.1621 -1.2043 -1.2472 -1.2904 -1.3337 -1.3777
 -1.4227
 -2.7515 -2.4640 -2.2166 -2.0072 -1.8293 -1.6818 -1.5602 -1.4613 -1.3811 -1.3155
 -1.2611 -1.2155 -1.1767 -1.1438 -1.1041 -1.0459 -1.0521 -1.0326 -1.0189
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  i   
 -4.0143 -3.8809 -3.7534 -3.6128 -3.4290 -3.1494 -2.7654 -2.3202 -1.9629 -1.7126
 -1.5504 -1.4396 -1.3571 -1.2911 -1.2369 -1.1308 -1.0527 -0.9960 -0.9610
 -3.7411 -3.5876 -3.4510 -3.3151 -3.1565 -2.9436 -2.6355 -2.2668 -1.9419 -1.7040
