 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =F350LP
 -3.1329 -3.1045 -3.0682 -3.0161 -2.9153 -2.7560 -2.5365 -2.2558 -1.9348 -1.6546
 -1.4313 -1.2582 -1.1251 -1.0203 -0.9347 -0.7684 -0.6422 -0.5418 -0.4601
 -2.9130 -2.8730 -2.8329 -2.7842 -2.7154 -2.6096 -2.4381 -2.1709 -1.8858 -1.6249
 -1.4090 -1.2383 -1.1054 -1.0008 -0.9156 -0.7525 -0.6299 -0.5343 -0.4588 -0.3987
 -2.7243 -2.6697 -2.6212 -2.5720 -2.5138 -2.4332 -2.3056 -2.0957 -1.8506 -1.6124
 -1.4047 -1.2348 -1.1000 -0.9933 -0.9070 -0.7442 -0.6236 -0.5307 -0.4587 -0.4019
 -0.3571
 -2.5733 -2.5012 -2.4401 -2.3848 -2.3292 -2.2643 -2.1731 -2.0170 -1.8141 -1.6018
 -1.4065 -1.2396 -1.1031 -0.9935 -0.9050 -0.7408 -0.6211 -0.5297 -0.4598 -0.4056
 -0.3630 -0.3297
 -2.4582 -2.3699 -2.2942 -2.2283 -2.1677 -2.1070 -2.0366 -1.9273 -1.7668 -1.5846
 -1.4060 -1.2460 -1.1102 -0.9984 -0.9073 -0.7404 -0.6208 -0.5303 -0.4618 -0.4094
 -0.3688 -0.3375 -0.3135 -0.2948
 -2.3353 -2.2482 -2.1711 -2.0999 -2.0333 -1.9694 -1.9040 -1.8250 -1.7051 -1.5550
 -1.3976 -1.2489 -1.1172 -1.0053 -0.9122 -0.7418 -0.6220 -0.5317 -0.4640 -0.4130
 -0.3741 -0.3447 -0.3229 -0.3068 -0.2947 -0.2861 -0.2810 -0.2795 -0.2825 -0.2905
 -2.2511 -2.1303 -2.0319 -1.9543 -1.8912 -1.8347 -1.7767 -1.7115 -1.6260 -1.5097
 -1.3770 -1.2441 -1.1206 -1.0116 -0.9181 -0.7443 -0.6236 -0.5335 -0.4660 -0.4159
 -0.3786 -0.3511 -0.3317 -0.3180 -0.3085 -0.3020 -0.2982 -0.2972 -0.2997 -0.3069
 -0.3194
 -2.2255 -2.0849 -1.9593 -1.8520 -1.7633 -1.6899 -1.6262 -1.5669 -1.5025 -1.4227
 -1.3269 -1.2215 -1.1146 -1.0138 -0.9231 -0.7475 -0.6255 -0.5350 -0.4676 -0.4180
 -0.3819 -0.3561 -0.3389 -0.3281 -0.3216 -0.3178 -0.3162 -0.3166 -0.3195 -0.3259
 -0.3375
 -2.2225 -2.0740 -1.9354 -1.8091 -1.6977 -1.6021 -1.5198 -1.4458 -1.3743 -1.2989
 -1.2197 -1.1420 -1.0668 -0.9921 -0.9172 -0.7494 -0.6263 -0.5354 -0.4678 -0.4183
 -0.3831 -0.3589 -0.3437 -0.3357 -0.3325 -0.3321 -0.3337 -0.3372 -0.3425 -0.3494
 -0.3577
 -2.2331 -2.0821 -1.9388 -1.8033 -1.6779 -1.5649 -1.4652 -1.3771 -1.2968 -1.2192
 -1.1413 -1.0651 -0.9953 -0.9340 -0.8789 -0.7482 -0.6282 -0.5365 -0.4684 -0.4185
 -0.3834 -0.3601 -0.3465 -0.3406 -0.3405 -0.3437 -0.3489 -0.3551 -0.3621 -0.3706
 -0.3805
 -2.2416 -2.0950 -1.9519 -1.8144 -1.6827 -1.5594 -1.4467 -1.3457 -1.2553 -1.1731
 -1.0959 -1.0223 -0.9531 -0.8905 -0.8357 -0.7266 -0.6273 -0.5372 -0.4683 -0.4178
 -0.3824 -0.3593 -0.3466 -0.3424 -0.3447 -0.3512 -0.3603 -0.3703 -0.3809 -0.3920
 -0.4059
 -2.2383 -2.0997 -1.9633 -1.8289 -1.6964 -1.5697 -1.4499 -1.3398 -1.2407 -1.1519
 -1.0718 -0.9985 -0.9310 -0.8690 -0.7876 -0.6846 -0.6236 -0.5375 -0.4675
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =F350LP
 -3.3082 -3.3038 -3.3157 -3.3035 -3.2274 -3.0555 -2.7624 -2.3699 -2.0172 -1.7153
 -1.4706 -1.2814 -1.1361 -1.0230 -0.9323 -0.7627 -0.6363 -0.5372 -0.4564
 -3.0864 -3.0726 -3.0515 -3.0202 -2.9603 -2.8462 -2.6430 -2.3197 -1.9881 -1.6967
 -1.4566 -1.2678 -1.1216 -1.0078 -0.9167 -0.7486 -0.6255 -0.5300 -0.4545 -0.3941
 -2.8855 -2.8529 -2.8240 -2.7906 -2.7414 -2.6584 -2.5123 -2.2636 -1.9725 -1.6977
 -1.4624 -1.2719 -1.1221 -1.0048 -0.9115 -0.7419 -0.6199 -0.5264 -0.4539 -0.3966
 -0.3511
 -2.7158 -2.6636 -2.6202 -2.5798 -2.5346 -2.4725 -2.3725 -2.1936 -1.9524 -1.7026
 -1.4760 -1.2855 -1.1319 -1.0100 -0.9130 -0.7399 -0.6179 -0.5254 -0.4546 -0.3995
 -0.3560 -0.3217
 -2.5815 -2.5089 -2.4485 -2.3961 -2.3467 -2.2930 -2.2222 -2.1022 -1.9160 -1.6996
 -1.4886 -1.3022 -1.1466 -1.0205 -0.9193 -0.7408 -0.6181 -0.5259 -0.4561 -0.4026
 -0.3609 -0.3283 -0.3032 -0.2839
 -2.4445 -2.3845 -2.3103 -2.2449 -2.1861 -2.1300 -2.0701 -1.9896 -1.8569 -1.6808
 -1.4927 -1.3162 -1.1625 -1.0340 -0.9290 -0.7437 -0.6197 -0.5274 -0.4580 -0.4055
 -0.3654 -0.3344 -0.3111 -0.2939 -0.2812 -0.2726 -0.2682 -0.2679 -0.2717 -0.2803
 -2.3310 -2.2380 -2.1663 -2.1053 -2.0470 -1.9889 -1.9295 -1.8649 -1.7744 -1.6412
 -1.4828 -1.3226 -1.1755 -1.0478 -0.9405 -0.7482 -0.6220 -0.5294 -0.4600 -0.4081
 -0.3692 -0.3399 -0.3184 -0.3034 -0.2931 -0.2866 -0.2835 -0.2836 -0.2871 -0.2952
 -0.3082
 -2.2744 -2.1468 -2.0390 -1.9530 -1.8856 -1.8304 -1.7804 -1.7276 -1.6637 -1.5725
 -1.4513 -1.3156 -1.1816 -1.0590 -0.9521 -0.7539 -0.6247 -0.5315 -0.4619 -0.4102
 -0.3721 -0.3443 -0.3247 -0.3119 -0.3042 -0.3002 -0.2992 -0.3007 -0.3049 -0.3126
 -0.3250
 -2.2593 -2.1169 -1.9868 -1.8724 -1.7764 -1.6976 -1.6314 -1.5727 -1.5132 -1.4446
 -1.3602 -1.2638 -1.1608 -1.0567 -0.9579 -0.7593 -0.6266 -0.5325 -0.4626 -0.4109
 -0.3734 -0.3469 -0.3290 -0.3184 -0.3134 -0.3125 -0.3144 -0.3180 -0.3237 -0.3322
 -0.3438
 -2.2659 -2.1173 -1.9778 -1.8478 -1.7309 -1.6292 -1.5425 -1.4669 -1.3970 -1.3265
 -1.2494 -1.1675 -1.0871 -1.0107 -0.9373 -0.7656 -0.6304 -0.5345 -0.4639 -0.4117
 -0.3742 -0.3484 -0.3319 -0.3231 -0.3205 -0.3225 -0.3276 -0.3346 -0.3429 -0.3522
 -0.3646
 -2.2820 -2.1325 -1.9888 -1.8521 -1.7238 -1.6065 -1.5018 -1.4097 -1.3276 -1.2512
 -1.1754 -1.0981 -1.0217 -0.9507 -0.8870 -0.7529 -0.6337 -0.5364 -0.4648 -0.4119
 -0.3740 -0.3484 -0.3327 -0.3253 -0.3246 -0.3293 -0.3376 -0.3481 -0.3597 -0.3722
 -0.3873
 -2.2942 -2.1495 -2.0075 -1.8688 -1.7364 -1.6109 -1.4945 -1.3889 -1.2944 -1.2093
 -1.1307 -1.0557 -0.9834 -0.9147 -0.8070 -0.7212 -0.6365 -0.5382 -0.4653
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =F350LP
 -3.4434 -3.4643 -3.4854 -3.4657 -3.3769 -3.1878 -2.8855 -2.4448 -2.0908 -1.7787
 -1.5167 -1.3114 -1.1535 -1.0308 -0.9339 -0.7577 -0.6309 -0.5323 -0.4521
 -3.2233 -3.2336 -3.2416 -3.2348 -3.1925 -3.0793 -2.8410 -2.4510 -2.0845 -1.7696
 -1.5093 -1.3035 -1.1438 -1.0198 -0.9218 -0.7459 -0.6212 -0.5253 -0.4498 -0.3892
