 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -7.9320 -7.5652 -7.2021 -6.8449 -6.5015 -6.1729 -5.8600 -5.5631 -5.2844 -5.0256
 -4.7868 -4.5669 -4.3637 -4.1746 -3.9848 -3.5497 -3.2629 -2.8706 -2.4588
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  u   
 -7.8272 -7.7895 -7.7408 -7.6744 -7.5935 -7.4613 -7.2374 -6.9141 -6.5749 -6.2823
 -6.0484 -5.8522 -5.6744 -5.4993 -5.3186 -4.8274 -4.2966 -3.7643 -3.2715
 -7.3218 -7.2784 -7.2296 -7.1685 -7.0889 -6.9789 -6.8072 -6.5661 -6.3002 -6.0505
 -5.8292 -5.6294 -5.4374 -5.2433 -5.0422 -4.5147 -3.9747 -3.4671 -3.0238 -2.6596
 -6.9116 -6.8474 -6.7888 -6.7264 -6.6526 -6.5589 -6.4251 -6.2421 -6.0323 -5.8186
 -5.6128 -5.4138 -5.2151 -5.0107 -4.7993 -4.2587 -3.7269 -3.2402 -2.8256 -2.4910
 -2.2370
 -6.6721 -6.5453 -6.4488 -6.3679 -6.2890 -6.2012 -6.0914 -5.9471 -5.7778 -5.5959
 -5.4092 -5.2190 -5.0221 -4.8163 -4.6022 -4.0606 -3.5409 -3.0698 -2.6713 -2.3529
 -2.1112 -1.9412
 -6.6366 -6.4263 -6.2669 -6.1352 -6.0226 -5.9220 -5.8185 -5.6959 -5.5536 -5.3970
 -5.2300 -5.0534 -4.8653 -4.6644 -4.4528 -3.9147 -3.4053 -2.9457 -2.5553 -2.2436
 -2.0065 -1.8380 -1.7285 -1.6616
 -6.7740 -6.4585 -6.2007 -5.9975 -5.8422 -5.7217 -5.6146 -5.5027 -5.3754 -5.2347
 -5.0830 -4.9205 -4.7448 -4.5537 -4.3483 -3.8158 -3.3125 -2.8607 -2.4733 -2.1615
 -1.9228 -1.7502 -1.6363 -1.5678 -1.5294 -1.5081 -1.4963 -1.4886 -1.4792 -1.4608
 -7.0033 -6.6121 -6.2772 -5.9960 -5.7653 -5.5783 -5.4287 -5.3106 -5.2093 -5.1013
 -4.9717 -4.8220 -4.6575 -4.4782 -4.2826 -3.7589 -3.2579 -2.8099 -2.4227 -2.1057
 -1.8601 -1.6788 -1.5557 -1.4805 -1.4391 -1.4184 -1.4092 -1.4059 -1.4041 -1.3992
 -1.3856
 -7.3156 -6.8495 -6.4454 -6.0991 -5.8072 -5.5638 -5.3618 -5.1935 -5.0524 -4.9327
