 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  y   
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  y   
 -0.7066 -0.7163 -0.7163 -0.6994 -0.6398 -0.5495 -0.4480 -0.3514 -0.2787 -0.2525
 -0.2461 -0.2431 -0.2375 -0.2289 -0.2187 -0.1960 -0.1838 -0.1830 -0.1982
 -0.5277 -0.5371 -0.5434 -0.5392 -0.5183 -0.4753 -0.4079 -0.3243 -0.2689 -0.2487
 -0.2462 -0.2471 -0.2451 -0.2392 -0.2310 -0.2127 -0.2051 -0.2087 -0.2254 -0.2573
 -0.3701 -0.3749 -0.3837 -0.3897 -0.3870 -0.3710 -0.3381 -0.2889 -0.2507 -0.2368
 -0.2380 -0.2431 -0.2455 -0.2432 -0.2375 -0.2231 -0.2194 -0.2270 -0.2468 -0.2795
 -0.3223
 -0.2434 -0.2384 -0.2442 -0.2548 -0.2645 -0.2685 -0.2627 -0.2436 -0.2237 -0.2174
 -0.2230 -0.2326 -0.2398 -0.2421 -0.2397 -0.2296 -0.2289 -0.2399 -0.2624 -0.2962
 -0.3389 -0.3874
 -0.1545 -0.1357 -0.1323 -0.1402 -0.1546 -0.1705 -0.1834 -0.1886 -0.1872 -0.1906
 -0.2015 -0.2159 -0.2285 -0.2360 -0.2380 -0.2331 -0.2351 -0.2488 -0.2736 -0.3086
 -0.3516 -0.4003 -0.4520 -0.5040
 -0.0935 -0.0656 -0.0527 -0.0521 -0.0630 -0.0820 -0.1049 -0.1264 -0.1422 -0.1565
 -0.1739 -0.1934 -0.2114 -0.2247 -0.2320 -0.2341 -0.2388 -0.2547 -0.2814 -0.3175
 -0.3611 -0.4102 -0.4628 -0.5167 -0.5705 -0.6244 -0.6790 -0.7362 -0.7956 -0.8535
 -0.0778 -0.0313 -0.0010  0.0123  0.0098 -0.0055 -0.0302 -0.0612 -0.0906 -0.1160
 -0.1405 -0.1653 -0.1886 -0.2078 -0.2210 -0.2324 -0.2401 -0.2581 -0.2863 -0.3234
 -0.3678 -0.4176 -0.4713 -0.5269 -0.5825 -0.6377 -0.6927 -0.7481 -0.8058 -0.8659
 -0.9249
 -0.0782 -0.0305  0.0058  0.0301  0.0420  0.0414  0.0291  0.0053 -0.0293 -0.0664
 -0.1012 -0.1328 -0.1610 -0.1853 -0.2044 -0.2275 -0.2390 -0.2589 -0.2887 -0.3267
 -0.3719 -0.4225 -0.4775 -0.5349 -0.5928 -0.6500 -0.7065 -0.7624 -0.8188 -0.8771
 -0.9381
 -0.0719 -0.0273  0.0063  0.0302  0.0449  0.0502  0.0462  0.0335  0.0118 -0.0183
 -0.0530 -0.0893 -0.1245 -0.1558 -0.1814 -0.2185 -0.2355 -0.2575 -0.2888 -0.3279
 -0.3740 -0.4257 -0.4820 -0.5413 -0.6017 -0.6616 -0.7206 -0.7791 -0.8372 -0.8949
 -0.9521
 -0.0610 -0.0185  0.0117  0.0321  0.0443  0.0493  0.0476  0.0393  0.0241  0.0025
 -0.0243 -0.0541 -0.0849 -0.1154 -0.1444 -0.2009 -0.2287 -0.2532 -0.2859 -0.3259
 -0.3725 -0.4251 -0.4824 -0.5433 -0.6061 -0.6688 -0.7306 -0.7910 -0.8502 -0.9089
 -0.9672
 -0.0434 -0.0054  0.0222  0.0395  0.0483  0.0505  0.0472  0.0394  0.0270  0.0100
 -0.0111 -0.0354 -0.0610 -0.0863 -0.1108 -0.1684 -0.2148 -0.2459 -0.2803 -0.3213
 -0.3685 -0.4215 -0.4796 -0.5417 -0.6064 -0.6719 -0.7368 -0.8003 -0.8624 -0.9232
 -0.9834
 -0.0121  0.0173  0.0388  0.0522  0.0582  0.0574  0.0515  0.0418  0.0292  0.0140
 -0.0037 -0.0238 -0.0453 -0.0674 -0.0806 -0.1210 -0.1938 -0.2356 -0.2720
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  y   
 -0.8928 -0.9186 -0.9269 -0.9069 -0.8476 -0.7403 -0.5782 -0.3874 -0.2749 -0.2300
 -0.2193 -0.2188 -0.2184 -0.2150 -0.2091 -0.1926 -0.1827 -0.1824 -0.1949
 -0.7011 -0.7279 -0.7407 -0.7375 -0.7055 -0.6359 -0.5219 -0.3764 -0.2737 -0.2301
 -0.2202 -0.2220 -0.2244 -0.2238 -0.2199 -0.2073 -0.2017 -0.2054 -0.2198 -0.2477
 -0.5208 -0.5397 -0.5569 -0.5639 -0.5528 -0.5163 -0.4488 -0.3506 -0.2659 -0.2241
 -0.2141 -0.2176 -0.2231 -0.2258 -0.2246 -0.2161 -0.2139 -0.2215 -0.2394 -0.2692
 -0.3094
 -0.3654 -0.3739 -0.3883 -0.4012 -0.4055 -0.3949 -0.3644 -0.3095 -0.2487 -0.2126
