 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.4370 -1.4179 -1.3962 -1.3736 -1.3503 -1.2927 -1.2521 -1.2306 -1.2255 -1.2342
 -1.2539 -1.2819 -1.3146 -1.3498 -1.3866 -1.4251 -1.4657 -1.5091 -1.5563 -1.6079
 -1.6594
 -1.9277 -1.8104 -1.7081 -1.6212 -1.5492 -1.4923 -1.4491 -1.4171 -1.3934 -1.3766
 -1.3668 -1.3623 -1.3576 -1.3487 -1.3345 -1.2884 -1.2512 -1.2315 -1.2275 -1.2368
 -1.2571 -1.2861 -1.3206 -1.3575 -1.3955 -1.4344 -1.4747 -1.5164 -1.5608 -1.6081
 -1.6603
 -1.9220 -1.8062 -1.7047 -1.6163 -1.5411 -1.4789 -1.4290 -1.3900 -1.3600 -1.3370
 -1.3192 -1.3067 -1.2998 -1.2976 -1.2960 -1.2777 -1.2465 -1.2291 -1.2263 -1.2363
 -1.2574 -1.2874 -1.3238 -1.3633 -1.4036 -1.4440 -1.4849 -1.5264 -1.5692 -1.6141
 -1.6624
 -1.9038 -1.7974 -1.6997 -1.6135 -1.5385 -1.4749 -1.4222 -1.3792 -1.3447 -1.3174
 -1.2958 -1.2786 -1.2652 -1.2558 -1.2508 -1.2483 -1.2374 -1.2234 -1.2220 -1.2323
 -1.2536 -1.2843 -1.3223 -1.3644 -1.4076 -1.4505 -1.4932 -1.5355 -1.5782 -1.6220
 -1.6674
 -1.8641 -1.7703 -1.6832 -1.6029 -1.5313 -1.4694 -1.4170 -1.3732 -1.3369 -1.3071
 -1.2825 -1.2626 -1.2462 -1.2330 -1.2228 -1.2125 -1.2138 -1.2132 -1.2143 -1.2254
 -1.2467 -1.2775 -1.3164 -1.3607 -1.4071 -1.4533 -1.4987 -1.5431 -1.5871 -1.6311
 -1.6755
 -1.8028 -1.7234 -1.6479 -1.5776 -1.5125 -1.4551 -1.4057 -1.3637 -1.3283 -1.2985
 -1.2731 -1.2516 -1.2335 -1.2184 -1.2120 -1.1703 -1.1757 -1.1985 -1.2032
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = G_RP 
 -2.8892 -2.8408 -2.7850 -2.7144 -2.6332 -2.5077 -2.3166 -2.0738 -1.8789 -1.7084
 -1.6003 -1.5175 -1.4506 -1.3940 -1.3440 -1.2438
 -2.6546 -2.6037 -2.5531 -2.4952 -2.4258 -2.3267 -2.1790 -1.9867 -1.8143 -1.6837
 -1.5863 -1.5098 -1.4468 -1.3935 -1.3470 -1.2554 -1.1917 -1.1525 -1.1370
 -2.4619 -2.4040 -2.3534 -2.3029 -2.2446 -2.1687 -2.0588 -1.9105 -1.7721 -1.6609
 -1.5738 -1.5035 -1.4444 -1.3940 -1.3503 -1.2653 -1.2073 -1.1726 -1.1600 -1.1664
 -1.1856
 -2.3111 -2.2417 -2.1859 -2.1375 -2.0896 -2.0338 -1.9560 -1.8452 -1.7345 -1.6400
 -1.5628 -1.4986 -1.4434 -1.3955 -1.3539 -1.2735 -1.2198 -1.1886 -1.1777 -1.1837
 -1.2029 -1.2301 -1.2635
 -2.1997 -2.1174 -2.0521 -1.9995 -1.9545 -1.9108 -1.8585 -1.7802 -1.6939 -1.6154
 -1.5485 -1.4914 -1.4411 -1.3962 -1.3565 -1.2799 -1.2297 -1.2010 -1.1915 -1.1976
 -1.2160 -1.2427 -1.2741 -1.3099 -1.3506
 -2.0967 -2.0147 -1.9459 -1.8889 -1.8415 -1.8012 -1.7625 -1.7115 -1.6476 -1.5847
 -1.5287 -1.4795 -1.4353 -1.3945 -1.3574 -1.2844 -1.2369 -1.2103 -1.2021 -1.2086
 -1.2266 -1.2530 -1.2843 -1.3193 -1.3576 -1.3996
 -2.0190 -1.9133 -1.8326 -1.7744 -1.7331 -1.7005 -1.6704 -1.6380 -1.5950 -1.5476
 -1.5025 -1.4616 -1.4242 -1.3890 -1.3555 -1.2865 -1.2416 -1.2170 -1.2097 -1.2168
 -1.2349 -1.2613 -1.2930 -1.3279 -1.3654 -1.4054 -1.4490 -1.4971 -1.5489 -1.5994
 -1.9952 -1.8753 -1.7749 -1.6951 -1.6345 -1.5904 -1.5605 -1.5407 -1.5217 -1.4973
 -1.4683 -1.4375 -1.4073 -1.3782 -1.3496 -1.2862 -1.2438 -1.2209 -1.2146 -1.2222
 -1.2407 -1.2676 -1.3002 -1.3359 -1.3736 -1.4131 -1.4551 -1.4996 -1.5480 -1.6005
 -1.6524
 -1.9886 -1.8641 -1.7564 -1.6655 -1.5917 -1.5341 -1.4903 -1.4574 -1.4325 -1.4138
 -1.4009 -1.3904 -1.3772 -1.3594 -1.3379 -1.2829 -1.2432 -1.2220 -1.2166 -1.2247
