 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  G   
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  G   
 -3.0376 -2.9822 -2.9223 -2.8509 -2.7866 -2.6770 -2.4911 -2.2425 -2.0115 -1.7647
 -1.5911 -1.4557 -1.3483 -1.2579 -1.1797 -1.0210
 -2.8102 -2.7500 -2.6919 -2.6293 -2.5633 -2.4690 -2.3193 -2.1094 -1.8936 -1.7021
 -1.5436 -1.4158 -1.3125 -1.2264 -1.1521 -1.0016 -0.8860 -0.7977 -0.7327
 -2.6270 -2.5582 -2.4971 -2.4376 -2.3726 -2.2920 -2.1729 -1.9992 -1.8186 -1.6519
 -1.5077 -1.3874 -1.2880 -1.2050 -1.1335 -0.9892 -0.8804 -0.7989 -0.7398 -0.6985
 -0.6702
 -2.4880 -2.4068 -2.3379 -2.2758 -2.2146 -2.1461 -2.0519 -1.9119 -1.7597 -1.6141
 -1.4834 -1.3705 -1.2748 -1.1937 -1.1239 -0.9838 -0.8793 -0.8022 -0.7468 -0.7081
 -0.6819 -0.6638 -0.6521
 -2.3854 -2.2924 -2.2134 -2.1442 -2.0803 -2.0162 -1.9417 -1.8322 -1.7052 -1.5789
 -1.4618 -1.3575 -1.2665 -1.1878 -1.1194 -0.9823 -0.8807 -0.8065 -0.7538 -0.7173
 -0.6930 -0.6768 -0.6661 -0.6592 -0.6567
 -2.2832 -2.1850 -2.1054 -2.0351 -1.9687 -1.9042 -1.8371 -1.7537 -1.6500 -1.5418
 -1.4381 -1.3433 -1.2585 -1.1835 -1.1171 -0.9827 -0.8832 -0.8108 -0.7603 -0.7257
 -0.7034 -0.6892 -0.6801 -0.6745 -0.6717 -0.6725
 -2.2305 -2.1032 -1.9969 -1.9116 -1.8442 -1.7883 -1.7332 -1.6695 -1.5897 -1.5002
 -1.4102 -1.3253 -1.2477 -1.1778 -1.1146 -0.9834 -0.8855 -0.8146 -0.7655 -0.7328
 -0.7123 -0.7005 -0.6938 -0.6900 -0.6885 -0.6894 -0.6931 -0.7006 -0.7133 -0.7302
 -2.2152 -2.0752 -1.9498 -1.8407 -1.7489 -1.6719 -1.6062 -1.5486 -1.4923 -1.4332
 -1.3686 -1.3002 -1.2322 -1.1685 -1.1096 -0.9834 -0.8870 -0.8171 -0.7690 -0.7378
 -0.7192 -0.7099 -0.7061 -0.7051 -0.7057 -0.7078 -0.7117 -0.7181 -0.7282 -0.7440
 -0.7646
 -2.2139 -2.0700 -1.9363 -1.8146 -1.7063 -1.6126 -1.5319 -1.4610 -1.3961 -1.3365
 -1.2847 -1.2400 -1.1962 -1.1491 -1.0995 -0.9819 -0.8873 -0.8181 -0.7706 -0.7402
 -0.7233 -0.7164 -0.7159 -0.7185 -0.7222 -0.7266 -0.7321 -0.7388 -0.7482 -0.7604
 -0.7790
 -2.2133 -2.0708 -1.9362 -1.8093 -1.6923 -1.5876 -1.4958 -1.4157 -1.3451 -1.2816
 -1.2244 -1.1748 -1.1339 -1.1000 -1.0672 -0.9756 -0.8849 -0.8166 -0.7694 -0.7397
 -0.7240 -0.7191 -0.7219 -0.7286 -0.7364 -0.7443 -0.7525 -0.7610 -0.7705 -0.7820
 -0.7973
 -2.2012 -2.0690 -1.9387 -1.8131 -1.6938 -1.5836 -1.4849 -1.3979 -1.3218 -1.2551
 -1.1960 -1.1436 -1.0976 -1.0583 -1.0255 -0.9557 -0.8808 -0.8140 -0.7669 -0.7371
 -0.7218 -0.7181 -0.7234 -0.7339 -0.7463 -0.7586 -0.7706 -0.7821 -0.7937 -0.8060
 -0.8201
 -2.1680 -2.0493 -1.9303 -1.8116 -1.6956 -1.5857 -1.4847 -1.3942 -1.3144 -1.2444
 -1.1828 -1.1284 -1.0803 -1.0377 -1.0004 -0.9280 -0.8670 -0.8090 -0.7627 -0.7325
 -0.7169 -0.7137 -0.7204 -0.7339 -0.7506 -0.7678 -0.7846 -0.8003 -0.8152 -0.8300
 -0.8450
