 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.9520 -3.9940 -4.0336 -4.0712 -4.1079 -4.2106 -4.3418 -4.4883 -4.6414 -4.7920
 -4.9382 -5.0807 -5.2195 -5.3536 -5.4821 -5.6049 -5.7226 -5.8357 -5.9448 -6.0503
 -6.1524
 -3.6646 -3.6820 -3.7015 -3.7234 -3.7491 -3.7781 -3.8098 -3.8438 -3.8803 -3.9191
 -3.9596 -4.0012 -4.0427 -4.0834 -4.1230 -4.2273 -4.3594 -4.4951 -4.6413
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4305 -3.4428 -3.4475 -3.4461 -3.4292 -3.4215 -3.4360 -3.4601 -3.4987 -3.5627
 -3.6279 -3.6965 -3.7650 -3.8324 -3.8997 -4.0669
 -3.4908 -3.5089 -3.5185 -3.5198 -3.5114 -3.5030 -3.5056 -3.5258 -3.5608 -3.6062
 -3.6606 -3.7229 -3.7901 -3.8591 -3.9280 -4.0975 -4.2624 -4.4226 -4.5791
 -3.5360 -3.5610 -3.5770 -3.5834 -3.5820 -3.5749 -3.5711 -3.5874 -3.6147 -3.6505
 -3.6949 -3.7489 -3.8114 -3.8791 -3.9483 -4.1195 -4.2849 -4.4438 -4.5982 -4.7520
 -4.9032
 -3.5661 -3.5991 -3.6230 -3.6369 -3.6410 -3.6371 -3.6325 -3.6449 -3.6670 -3.6956
 -3.7308 -3.7745 -3.8289 -3.8924 -3.9606 -4.1329 -4.2998 -4.4590 -4.6126 -4.7645
 -4.9139 -5.0585 -5.1986
 -3.5743 -3.6192 -3.6541 -3.6786 -3.6923 -3.6958 -3.6927 -3.7008 -3.7195 -3.7433
 -3.7713 -3.8052 -3.8487 -3.9041 -3.9687 -4.1406 -4.3089 -4.4694 -4.6231 -4.7740
 -4.9220 -5.0654 -5.2039 -5.3382 -5.4688
 -3.5306 -3.5957 -3.6530 -3.6979 -3.7286 -3.7452 -3.7505 -3.7558 -3.7718 -3.7929
 -3.8165 -3.8430 -3.8756 -3.9195 -3.9765 -4.1447 -4.3140 -4.4759 -4.6306 -4.7810
 -4.9280 -5.0705 -5.2080 -5.3409 -5.4699 -5.5955
 -3.4830 -3.5425 -3.6043 -3.6646 -3.7186 -3.7618 -3.7893 -3.8030 -3.8194 -3.8404
 -3.8630 -3.8862 -3.9112 -3.9431 -3.9883 -4.1469 -4.3163 -4.4796 -4.6354 -4.7858
 -4.9323 -5.0743 -5.2111 -5.3431 -5.4708 -5.5947 -5.7154 -5.8328 -5.9466 -6.0558
 -3.4647 -3.5161 -3.5705 -3.6276 -3.6851 -3.7384 -3.7832 -3.8170 -3.8443 -3.8718
 -3.8985 -3.9243 -3.9494 -3.9749 -4.0087 -4.1488 -4.3169 -4.4810 -4.6380 -4.7889
 -4.9351 -5.0768 -5.2133 -5.3448 -5.4716 -5.5945 -5.7138 -5.8298 -5.9425 -6.0516
 -6.1567
 -3.4653 -3.5112 -3.5590 -3.6101 -3.6640 -3.7187 -3.7704 -3.8150 -3.8515 -3.8837
 -3.9151 -3.9459 -3.9755 -4.0049 -4.0359 -4.1529 -4.3165 -4.4809 -4.6388 -4.7902
 -4.9364 -5.0780 -5.2146 -5.3459 -5.4724 -5.5945 -5.7129 -5.8277 -5.9392 -6.0475
 -6.1544
 -3.4742 -3.5182 -3.5617 -3.6074 -3.6563 -3.7081 -3.7607 -3.8108 -3.8558 -3.8947
 -3.9289 -3.9610 -3.9928 -4.0253 -4.0591 -4.1644 -4.3181 -4.4820 -4.6405 -4.7924
 -4.9389 -5.0805 -5.2174 -5.3491 -5.4758 -5.5977 -5.7155 -5.8296 -5.9402 -6.0477
 -6.1519
 -3.4890 -3.5301 -3.5705 -3.6123 -3.6568 -3.7044 -3.7544 -3.8051 -3.8541 -3.8993
 -3.9396 -3.9755 -4.0090 -4.0426 -4.0778 -4.1815 -4.3191 -4.4799 -4.6382 -4.7904
 -4.9368 -5.0784 -5.2154 -5.3477 -5.4748 -5.5970 -5.7147 -5.8282 -5.9382 -6.0448
 -6.1483
 -3.5104 -3.5476 -3.5850 -3.6230 -3.6636 -3.7072 -3.7536 -3.8019 -3.8508 -3.8986
 -3.9437 -3.9851 -4.0229 -4.0589 -4.0952 -4.1991 -4.3283 -4.4785 -4.6356 -4.7876
 -4.9337 -5.0749 -5.2119 -5.3446 -5.4725 -5.5954 -5.7135 -5.8272 -5.9369 -6.0431
 -6.1460
 -3.5449 -3.5772 -3.6092 -3.6430 -3.6785 -3.7176 -3.7598 -3.8043 -3.8505 -3.8973
 -3.9436 -3.9885 -4.0310 -4.0712 -4.1113 -4.2172 -4.3457 -4.4778 -4.6327
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =F322W2
 -3.4025 -3.4131 -3.4162 -3.4146 -3.3972 -3.3904 -3.4074 -3.4368 -3.4836 -3.5561
 -3.6269 -3.6982 -3.7685 -3.8374 -3.9047 -4.0705
 -3.4639 -3.4801 -3.4878 -3.4879 -3.4785 -3.4698 -3.4731 -3.4962 -3.5379 -3.5919
 -3.6545 -3.7223 -3.7925 -3.8628 -3.9321 -4.1009 -4.2645 -4.4235 -4.5783
 -3.5114 -3.5343 -3.5481 -3.5525 -3.5494 -3.5408 -3.5363 -3.5534 -3.5852 -3.6290
 -3.6827 -3.7444 -3.8116 -3.8813 -3.9513 -4.1224 -4.2870 -4.4451 -4.5978 -4.7492
 -4.8993
 -3.5450 -3.5757 -3.5971 -3.6084 -3.6099 -3.6035 -3.5970 -3.6084 -3.6327 -3.6674
 -3.7115 -3.7645 -3.8258 -3.8929 -3.9623 -4.1350 -4.3013 -4.4599 -4.6120 -4.7619
 -4.9104 -5.0550 -5.1954
 -3.5609 -3.6018 -3.6331 -3.6540 -3.6641 -3.6638 -3.6575 -3.6635 -3.6822 -3.7097
 -3.7449 -3.7883 -3.8408 -3.9021 -3.9692 -4.1419 -4.3098 -4.4697 -4.6223 -4.7713
 -4.9184 -5.0617 -5.2005 -5.3352 -5.4660
 -3.5336 -3.5951 -3.6453 -3.6824 -3.7066 -3.7175 -3.7175 -3.7193 -3.7337 -3.7560
 -3.7843 -3.8188 -3.8612 -3.9135 -3.9751 -4.1453 -4.3142 -4.4757 -4.6293 -4.7782
 -4.9242 -5.0665 -5.2040 -5.3371 -5.4663 -5.5921
 -3.4786 -3.5411 -3.6045 -3.6636 -3.7133 -3.7485 -3.7661 -3.7724 -3.7847 -3.8042
 -3.8283 -3.8564 -3.8896 -3.9311 -3.9837 -4.1468 -4.3160 -4.4788 -4.6337 -4.7829
 -4.9284 -5.0699 -5.2067 -5.3388 -5.4668 -5.5912 -5.7122 -5.8298 -5.9439 -6.0533
 -3.4530 -3.5069 -3.5635 -3.6223 -3.6795 -3.7303 -3.7712 -3.7986 -3.8202 -3.8436
 -3.8688 -3.8955 -3.9245 -3.9574 -3.9989 -4.1478 -4.3161 -4.4797 -4.6360 -4.7858
 -4.9311 -5.0721 -5.2085 -5.3401 -5.4672 -5.5903 -5.7100 -5.8264 -5.9394 -6.0489
 -6.1542
 -3.4488 -3.4967 -3.5466 -3.5995 -3.6546 -3.7090 -3.7584 -3.7989 -3.8311 -3.8610
 -3.8920 -3.9232 -3.9541 -3.9864 -4.0221 -4.1503 -4.3152 -4.4792 -4.6365 -4.7870
