 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F336W
 -5.0908 -4.8340 -4.5927 -4.3689 -4.1635 -3.7054 -3.2264 -2.7163 -2.2507 -1.8464
 -1.5034 -1.2191 -0.9923 -0.8236 -0.7097 -0.6396 -0.6008 -0.5823 -0.5770 -0.5800
 -0.5873
-11.9057-11.0904-10.1928 -9.2647 -8.3752 -7.5747 -6.8826 -6.3045 -5.8309 -5.4441
 -5.1219 -4.8428 -4.5895 -4.3530 -4.1317 -3.6479 -3.2228 -2.7760 -2.3200
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F336W
-12.3718-11.6780-10.9755-10.1242 -9.1357 -8.3071 -7.7855 -7.4136 -7.1341 -6.8870
 -6.6459 -6.4112 -6.1817 -5.9544 -5.7261 -5.1399 -4.5368 -3.9421 -3.3804
-11.2142-10.9415-10.4304 -9.8497 -9.0461 -8.1804 -7.5610 -7.1375 -6.8179 -6.5459
 -6.2902 -6.0463 -5.8101 -5.5776 -5.3454 -4.7572 -4.1626 -3.5926 -3.0786 -2.6408
-10.3264-10.1263 -9.8098 -9.4362 -8.9273 -8.1833 -7.4695 -6.9546 -6.5840 -6.2828
 -6.0106 -5.7556 -5.5123 -5.2761 -5.0429 -4.4600 -3.8775 -3.3256 -2.8389 -2.4319
 -2.1155
 -9.7619 -9.2377 -9.0865 -8.9041 -8.6122 -8.1563 -7.5042 -6.8876 -6.4387 -6.0955
 -5.8032 -5.5341 -5.2813 -5.0399 -4.8050 -4.2297 -3.6611 -3.1232 -2.6522 -2.2625
 -1.9579 -1.7409
 -9.6636 -8.8682 -8.4048 -8.2227 -8.1211 -7.8934 -7.4976 -6.9351 -6.3939 -5.9868
 -5.6644 -5.3786 -5.1137 -4.8643 -4.6254 -4.0541 -3.4991 -2.9732 -2.5108 -2.1291
 -1.8289 -1.6102 -1.4656 -1.3751
 -9.8086 -8.8425 -8.1624 -7.7349 -7.4999 -7.3854 -7.2316 -6.9139 -6.4494 -5.9665
 -5.5909 -5.2839 -5.0052 -4.7457 -4.5003 -3.9270 -3.3825 -2.8669 -2.4090 -2.0287
 -1.7274 -1.5022 -1.3488 -1.2532 -1.1961 -1.1632 -1.1437 -1.1291 -1.1125 -1.0868
-10.1384 -9.0460 -8.1901 -7.5847 -7.1772 -6.9044 -6.7200 -6.5740 -6.3591 -6.0088
 -5.5925 -5.2444 -4.9497 -4.6792 -4.4259 -3.8445 -3.3057 -2.7983 -2.3428 -1.9596
 -1.6522 -1.4169 -1.2506 -1.1438 -1.0809 -1.0456 -1.0260 -1.0145 -1.0054 -0.9931
 -0.9724
-10.5782 -9.4276 -8.4331 -7.6599 -7.1021 -6.7042 -6.4107 -6.1752 -5.9773 -5.7921
 -5.5609 -5.2496 -4.9396 -4.6583 -4.3964 -3.8034 -3.2652 -2.7635 -2.3090 -1.9203
 -1.6030 -1.3549 -1.1725 -1.0503 -0.9763 -0.9347 -0.9131 -0.9025 -0.8969 -0.8917
 -0.8838
-11.0434 -9.9021 -8.8327 -7.9243 -7.2123 -6.6840 -6.2948 -5.9917 -5.7335 -5.5015
 -5.2927 -5.0962 -4.8813 -4.6450 -4.3971 -3.7966 -3.2545 -2.7546 -2.3002 -1.9049
 -1.5761 -1.3129 -1.1128 -0.9726 -0.8840 -0.8329 -0.8063 -0.7939 -0.7894 -0.7884
 -0.7876
