 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -4.7019 -4.2084 -3.7823 -3.4172 -3.1106 -2.8594 -2.6558 -2.4851 -2.3354 -2.2008
 -2.0692 -1.9234 -1.7699 -1.6271 -1.4927 -1.1935 -0.9482 -0.7533 -0.5984 -0.4734
 -0.3716 -0.2890 -0.2217 -0.1662 -0.1193 -0.0788 -0.0434 -0.0123  0.0151  0.0380
  0.0558
 -4.8605 -4.3543 -3.9088 -3.5183 -3.1822 -2.8993 -2.6656 -2.4722 -2.3067 -2.1579
 -2.0213 -1.8951 -1.7735 -1.6511 -1.5268 -1.2277 -0.9730 -0.7683 -0.6063 -0.4779
 -0.3755 -0.2940 -0.2293 -0.1777 -0.1357 -0.1006 -0.0705 -0.0443 -0.0212 -0.0013
  0.0148
 -5.0117 -4.5060 -4.0520 -3.6450 -3.2859 -2.9758 -2.7135 -2.4948 -2.3115 -2.1529
 -2.0097 -1.8772 -1.7541 -1.6398 -1.5314 -1.2617 -1.0047 -0.7900 -0.6195 -0.4855
 -0.3803 -0.2982 -0.2346 -0.1856 -0.1477 -0.1177 -0.0933 -0.0726 -0.0546 -0.0390
 -0.0246
 -5.1556 -4.6635 -4.1927 -3.7833 -3.4113 -3.0813 -2.7942 -2.5498 -2.3440 -2.1694
 -2.0179 -1.8813 -1.7548 -1.6370 -1.5065 -1.2955 -1.0433 -0.8184 -0.6380
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  g   
 -4.7848 -4.3251 -3.9433 -3.6318 -3.3353 -3.0724 -2.8387 -2.6243 -2.4228 -2.2480
 -2.0831 -1.9299 -1.7894 -1.6614 -1.5449 -1.2952 -1.0793 -0.8876 -0.7170
 -4.8625 -4.3891 -3.9651 -3.6054 -3.2988 -3.0213 -2.7797 -2.5623 -2.3594 -2.1821
 -2.0161 -1.8624 -1.7214 -1.5928 -1.4759 -1.2287 -1.0261 -0.8459 -0.6777 -0.5194
 -4.6262 -4.4609 -4.0262 -3.6431 -3.3064 -3.0108 -2.7553 -2.5327 -2.3290 -2.1487
