 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -0.5868 -0.5305 -0.4849 -0.4446 -0.4077 -0.3318 -0.2805 -0.2506 -0.2394 -0.2432
 -0.2592 -0.2847 -0.3168 -0.3537
 -1.3507 -1.2120 -1.1037 -1.0180 -0.9455 -0.8806 -0.8213 -0.7627 -0.6922 -0.6206
 -0.5592 -0.5104 -0.4708 -0.4361 -0.4036 -0.3334 -0.2851 -0.2572 -0.2471 -0.2514
 -0.2671 -0.2920 -0.3234 -0.3593 -0.3989 -0.4423 -0.4899 -0.5422 -0.5979 -0.6523
 -1.2908 -1.1285 -0.9944 -0.8877 -0.8046 -0.7408 -0.6927 -0.6543 -0.6146 -0.5689
 -0.5235 -0.4837 -0.4504 -0.4217 -0.3948 -0.3322 -0.2870 -0.2611 -0.2520 -0.2569
 -0.2729 -0.2977 -0.3291 -0.3649 -0.4036 -0.4451 -0.4897 -0.5375 -0.5896 -0.6451
 -0.7000
 -1.2722 -1.0986 -0.9507 -0.8275 -0.7282 -0.6500 -0.5893 -0.5432 -0.5081 -0.4800
 -0.4583 -0.4397 -0.4207 -0.4005 -0.3797 -0.3276 -0.2861 -0.2622 -0.2542 -0.2596
 -0.2760 -0.3012 -0.3333 -0.3697 -0.4088 -0.4496 -0.4924 -0.5376 -0.5857 -0.6373
 -0.6929
 -1.2700 -1.0908 -0.9353 -0.8034 -0.6943 -0.6063 -0.5371 -0.4837 -0.4428 -0.4110
 -0.3868 -0.3708 -0.3619 -0.3564 -0.3495 -0.3176 -0.2815 -0.2601 -0.2534 -0.2595
 -0.2766 -0.3026 -0.3358 -0.3739 -0.4142 -0.4556 -0.4982 -0.5420 -0.5875 -0.6356
 -0.6871
 -1.2788 -1.0964 -0.9362 -0.7989 -0.6837 -0.5893 -0.5138 -0.4547 -0.4092 -0.3747
 -0.3482 -0.3282 -0.3138 -0.3048 -0.3004 -0.2938 -0.2735 -0.2550 -0.2498 -0.2564
 -0.2738 -0.3004 -0.3346 -0.3742 -0.4166 -0.4597 -0.5032 -0.5469 -0.5914 -0.6375
 -0.6851
 -1.2836 -1.1025 -0.9422 -0.8012 -0.6824 -0.5838 -0.5041 -0.4409 -0.3915 -0.3535
 -0.3246 -0.3026 -0.2859 -0.2731 -0.2639 -0.2553 -0.2537 -0.2460 -0.2429 -0.2505
 -0.2681 -0.2950 -0.3299 -0.3709 -0.4154 -0.4610 -0.5066 -0.5517 -0.5966 -0.6418
 -0.6869
 -1.2844 -1.1045 -0.9442 -0.8043 -0.6830 -0.5818 -0.4992 -0.4331 -0.3811 -0.3404
 -0.3088 -0.2845 -0.2659 -0.2516 -0.2400 -0.2021 -0.2221 -0.2331 -0.2327
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  i   
 -2.4627 -2.4046 -2.3448 -2.2688 -2.1239 -1.9098 -1.6398 -1.3251 -1.0045 -0.7858
 -0.6513 -0.5624 -0.4961 -0.4417 -0.3947 -0.3005 -0.2331 -0.1894 -0.1697
 -2.2073 -2.1336 -2.0669 -1.9939 -1.8975 -1.7562 -1.5428 -1.2455 -0.9702 -0.7705
 -0.6421 -0.5568 -0.4934 -0.4414 -0.3966 -0.3080 -0.2461 -0.2071 -0.1897 -0.1918
 -1.9922 -1.8992 -1.8214 -1.7483 -1.6667 -1.5593 -1.4029 -1.1761 -0.9446 -0.7623
 -0.6376 -0.5534 -0.4918 -0.4418 -0.3988 -0.3144 -0.2566 -0.2211 -0.2060 -0.2082
 -0.2247
 -1.8213 -1.7066 -1.6133 -1.5341 -1.4591 -1.3752 -1.2652 -1.1015 -0.9144 -0.7519
 -0.6327 -0.5498 -0.4895 -0.4414 -0.4002 -0.3195 -0.2649 -0.2320 -0.2186 -0.2210
 -0.2363 -0.2620
 -1.6863 -1.5556 -1.4466 -1.3560 -1.2782 -1.2049 -1.1244 -1.0140 -0.8715 -0.7336
 -0.6236 -0.5435 -0.4849 -0.4390 -0.3999 -0.3229 -0.2711 -0.2404 -0.2281 -0.2311
 -0.2456 -0.2698 -0.3016 -0.3389
 -1.5215 -1.4055 -1.3032 -1.2108 -1.1286 -1.0556 -0.9875 -0.9126 -0.8126 -0.7030
 -0.6068 -0.5323 -0.4767 -0.4333 -0.3969 -0.3243 -0.2752 -0.2464 -0.2352 -0.2385
 -0.2529 -0.2762 -0.3070 -0.3432 -0.3838 -0.4285 -0.4775 -0.5315 -0.5886 -0.6438
 -1.3986 -1.2517 -1.1355 -1.0452 -0.9731 -0.9119 -0.8552 -0.8001 -0.7361 -0.6575
 -0.5796 -0.5143 -0.4633 -0.4235 -0.3902 -0.3234 -0.2771 -0.2502 -0.2399 -0.2436
 -0.2582 -0.2813 -0.3116 -0.3473 -0.3869 -0.4296 -0.4757 -0.5252 -0.5791 -0.6361
 -0.6917
 -1.3556 -1.1878 -1.0464 -0.9312 -0.8395 -0.7668 -0.7086 -0.6620 -0.6218 -0.5782
 -0.5306 -0.4840 -0.4426 -0.4080 -0.3789 -0.3194 -0.2763 -0.2514 -0.2423 -0.2463
 -0.2613 -0.2847 -0.3152 -0.3511 -0.3906 -0.4325 -0.4769 -0.5236 -0.5734 -0.6269
 -0.6840
 -1.3452 -1.1663 -1.0114 -0.8804 -0.7722 -0.6851 -0.6155 -0.5597 -0.5147 -0.4764
 -0.4430 -0.4165 -0.3957 -0.3772 -0.3584 -0.3109 -0.2723 -0.2497 -0.2420 -0.2468
 -0.2623 -0.2864 -0.3175 -0.3543 -0.3946 -0.4370 -0.4810 -0.5271 -0.5753 -0.6253
 -0.6768
 -1.3572 -1.1693 -1.0057 -0.8648 -0.7460 -0.6481 -0.5691 -0.5061 -0.4561 -0.4159
 -0.3825 -0.3555 -0.3357 -0.3228 -0.3145 -0.2945 -0.2654 -0.2453 -0.2390 -0.2445
 -0.2604 -0.2851 -0.3170 -0.3546 -0.3962 -0.4397 -0.4844 -0.5296 -0.5759 -0.6238
 -0.6732
 -1.3769 -1.1850 -1.0142 -0.8664 -0.7402 -0.6347 -0.5485 -0.4792 -0.4244 -0.3813
 -0.3473 -0.3202 -0.2988 -0.2827 -0.2713 -0.2593 -0.2510 -0.2375 -0.2331 -0.2396
 -0.2559 -0.2810 -0.3135 -0.3521 -0.3950 -0.4403 -0.4865 -0.5329 -0.5794 -0.6264
