 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -0.3460 -0.2848 -0.2345 -0.1922 -0.1557 -0.1238 -0.0961 -0.0725 -0.0533 -0.0412
 -0.0387
 -5.1154 -4.4888 -3.9401 -3.4792 -3.1029 -2.7950 -2.5361 -2.3095 -2.1065 -1.9293
 -1.7787 -1.6441 -1.5112 -1.3786 -1.2537 -0.9914 -0.7881 -0.6325 -0.5141 -0.4219
 -0.3488 -0.2906 -0.2440 -0.2060 -0.1738 -0.1458 -0.1213 -0.1000 -0.0818 -0.0689
 -0.0630
 -5.1993 -4.5436 -3.9566 -3.4524 -3.0358 -2.6980 -2.4231 -2.1935 -1.9959 -1.8231
 -1.6732 -1.5464 -1.4393 -1.3417 -1.2428 -0.9976 -0.7928 -0.6343 -0.5138 -0.4214
 -0.3495 -0.2935 -0.2502 -0.2163 -0.1888 -0.1654 -0.1450 -0.1270 -0.1115 -0.0993
 -0.0915
 -5.2712 -4.6279 -4.0251 -3.4962 -3.0492 -2.6839 -2.3890 -2.1487 -1.9488 -1.7784
 -1.6306 -1.5019 -1.3904 -1.2939 -1.2081 -1.0017 -0.8020 -0.6402 -0.5166 -0.4225
 -0.3504 -0.2954 -0.2542 -0.2236 -0.2005 -0.1819 -0.1663 -0.1526 -0.1406 -0.1308
 -0.1236
 -5.2955 -4.6801 -4.0997 -3.5652 -3.1051 -2.7207 -2.4066 -2.1518 -1.9429 -1.7679
 -1.6183 -1.4881 -1.3737 -1.2726 -1.1828 -0.9913 -0.8104 -0.6481 -0.5209 -0.4241
 -0.3508 -0.2957 -0.2554 -0.2270 -0.2073 -0.1933 -0.1828 -0.1741 -0.1667 -0.1605
 -0.1560
 -5.2777 -4.6978 -4.1464 -3.6374 -3.1806 -2.7897 -2.4624 -2.1930 -1.9710 -1.7864
 -1.6299 -1.4947 -1.3761 -1.2709 -1.1669 -0.9664 -0.8180 -0.6580 -0.5267
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.8709 -6.5575 -6.2633 -5.9917 -5.7632 -5.4430 -4.8814 -4.0494 -3.2396 -2.6121
 -2.1745 -1.8712 -1.6523 -1.4843 -1.3465 -1.0803 -0.8795 -0.7153 -0.5730
